name	term	lev	seq	value
"protein acetyltransferase complex"	GO:0000123;GO:0031248;GO:1902493	3	"LOC111105834"	-0.0247884571355357
"protein acetyltransferase complex"	GO:0000123;GO:0031248;GO:1902493	3	"LOC111118359"	0.0284687544683409
"protein acetyltransferase complex"	GO:0000123;GO:0031248;GO:1902493	3	"LOC111121210"	0.0116300773736582
"protein acetyltransferase complex"	GO:0000123;GO:0031248;GO:1902493	3	"LOC111125431"	-0.0269239658095117
"protein acetyltransferase complex"	GO:0000123;GO:0031248;GO:1902493	3	"LOC111128991"	-0.043261855831804
"protein acetyltransferase complex"	GO:0000123;GO:0031248;GO:1902493	3	"LOC111130875"	-0.00844219249113154
"protein acetyltransferase complex"	GO:0000123;GO:0031248;GO:1902493	3	"LOC111137354"	0.00914242763732509
"PAN complex"	GO:0031251	2	"LOC111110780"	-0.00426055405979153
"PAN complex"	GO:0031251	2	"LOC111125680"	0.00269528171641253
"transcriptional repressor complex"	GO:0017053	2	"LOC111119953"	0.00428271476615238
"transcriptional repressor complex"	GO:0017053	2	"LOC111120501"	-0.00394515779491023
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111119023"	0.0222603453847907
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111121019"	-0.0119321973091833
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111121020"	-0.0183968723275943
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111121997"	0.0619414159661187
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111122210"	0.00598980685477701
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111124589"	0.000211143823718229
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111128159"	0.0104043701243129
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111131036"	0.0167043335436614
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111133045"	0.00696965769224533
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111134482"	-0.0121914160556523
"eukaryotic translation initiation factor 3 complex"	GO:0005852	2	"LOC111137841"	0.000148139873899722
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111105096"	0.0211008317715776
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111110350"	-0.0136403623214361
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111114644"	-0.0197893405508737
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111115099"	0.00691473371966778
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111118558"	-0.0181673003905377
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111119404"	-0.00737659268309176
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111119942"	-0.00644508086957918
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111122806"	0.000591683292672229
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111124748"	-0.00939618002716891
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111127322"	-0.0303665015093371
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111129281"	-0.0314735999670198
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111135536"	-0.0288774517900403
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111127920"	-0.0104392891618807
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111122514"	-0.0197398305024103
"transporter complex"	GO:0034703;GO:0034702;GO:1902495;GO:1990351	2	"LOC111138275"	0.0210236604885957
"nuclear chromosome"	GO:0000794;GO:0000228;GO:0000793	6	"LOC111119807"	-0.0485952466512737
"nuclear chromosome"	GO:0000794;GO:0000228;GO:0000793	6	"LOC111119831"	0.000969369853466961
"extracellular matrix"	GO:0031012	2	"LOC111125811"	0.0154241285912127
"extracellular matrix"	GO:0031012	2	"LOC111129706"	-0.0228105785008156
"extracellular matrix"	GO:0031012	2	"LOC111129826"	-0.0554247558348094
"extracellular matrix"	GO:0031012	2	"LOC111132907"	-0.0312342648822313
"centriole"	GO:0005814	5	"LOC111105908"	-0.0732182971722258
"centriole"	GO:0005814	5	"LOC111126185"	0.0110019207747819
"vesicle"	GO:0031410;GO:0097708;GO:0031982	2	"LOC111103244"	-0.000632120084502641
"vesicle"	GO:0031410;GO:0097708;GO:0031982	2	"LOC111103287"	-0.0106410146965298
"vesicle"	GO:0031410;GO:0097708;GO:0031982	2	"LOC111103370"	0.00736670743717271
"vesicle"	GO:0031410;GO:0097708;GO:0031982	2	"LOC111105923"	0.0523402837222817
"vesicle"	GO:0031410;GO:0097708;GO:0031982	2	"LOC111122347"	0.00427852258566885
"vesicle"	GO:0031410;GO:0097708;GO:0031982	2	"LOC111125427"	-0.0335432313275682
"vesicle"	GO:0031410;GO:0097708;GO:0031982	2	"LOC111129838"	-0.00458821944045407
"DNA replication factor C complex"	GO:0005663	2	"LOC111108767"	-0.0664273317887774
"DNA replication factor C complex"	GO:0005663	2	"LOC111131355"	0.0212384364861484
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	"LOC111118815"	0.0334757965470851
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	"LOC111121773"	0.0186797229603959
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	"LOC111124327"	-0.0316043843216349
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	"LOC111128863"	0.0205272197447964
"intrinsic component of organelle membrane"	GO:0031301;GO:0031300	3	"LOC111129201"	0.0425784813199868
"tubulin complex"	GO:0045298	2	"LOC111100645"	-0.0338041056727857
"tubulin complex"	GO:0045298	2	"LOC111103866"	-0.00324498167511089
"tubulin complex"	GO:0045298	2	"LOC111105923"	0.0523402837222817
"tubulin complex"	GO:0045298	2	"LOC111106830"	-0.00426333078422014
"tubulin complex"	GO:0045298	2	"LOC111109171"	-0.0100885984181248
"tubulin complex"	GO:0045298	2	"LOC111110660"	0.0480668307764586
"tubulin complex"	GO:0045298	2	"LOC111115046"	-0.0196885568426868
"tubulin complex"	GO:0045298	2	"LOC111119711"	-0.00502508938810997
"tubulin complex"	GO:0045298	2	"LOC111125721"	-0.000829176584232982
"tubulin complex"	GO:0045298	2	"LOC111125905"	-0.00257191076292795
"tubulin complex"	GO:0045298	2	"LOC111129913"	0.00609479032611493
"tubulin complex"	GO:0045298	2	"LOC111130048"	0.0241749820955537
"tubulin complex"	GO:0045298	2	"LOC111130641"	-0.0354660563453518
