name	term	lev	seq	value
"acetyl-CoA carboxylase complex"	GO:0009317	3	"LOC111099995"	-0.149288165171399
"acetyl-CoA carboxylase complex"	GO:0009317	3	"LOC111100523"	-0.16243392239141
"catalytic complex"	GO:1902494	2	"LOC111099792"	-0.407949381908755
"catalytic complex"	GO:1902494	2	"LOC111099857"	-0.309025194517787
"catalytic complex"	GO:1902494	2	"LOC111099995"	-0.149288165171399
"catalytic complex"	GO:1902494	2	"LOC111100386"	0.199723126329251
"catalytic complex"	GO:1902494	2	"LOC111100523"	-0.16243392239141
"catalytic complex"	GO:1902494	2	"LOC111101359"	0.14016547084131
"catalytic complex"	GO:1902494	2	"LOC111102132"	0.147379878419862
"catalytic complex"	GO:1902494	2	"LOC111102234"	-0.0872833728489821
"catalytic complex"	GO:1902494	2	"LOC111102789"	-0.618932132570352
"catalytic complex"	GO:1902494	2	"LOC111103115"	-0.0575434745650112
"catalytic complex"	GO:1902494	2	"LOC111103552"	-0.0325936688776229
"catalytic complex"	GO:1902494	2	"LOC111103560"	0.0773444127962284
"catalytic complex"	GO:1902494	2	"LOC111103787"	-0.0215706047452517
"catalytic complex"	GO:1902494	2	"LOC111103789"	0.11078504629516
"catalytic complex"	GO:1902494	2	"LOC111103975"	-0.290330600160562
"catalytic complex"	GO:1902494	2	"LOC111104663"	-0.0557353715039381
"catalytic complex"	GO:1902494	2	"LOC111104775"	0.18887698964121
"catalytic complex"	GO:1902494	2	"LOC111105834"	-0.386816097205005
"catalytic complex"	GO:1902494	2	"LOC111105866"	-0.166607416422011
"catalytic complex"	GO:1902494	2	"LOC111105925"	0.161805122578715
"catalytic complex"	GO:1902494	2	"LOC111107181"	0.450587385061679
"catalytic complex"	GO:1902494	2	"LOC111107565"	0.0407384532266892
"catalytic complex"	GO:1902494	2	"LOC111108423"	0.0394543540662431
"catalytic complex"	GO:1902494	2	"LOC111109469"	0.137407506841368
"catalytic complex"	GO:1902494	2	"LOC111110485"	-0.156957833977171
"catalytic complex"	GO:1902494	2	"LOC111111015"	0.0105895164235856
"catalytic complex"	GO:1902494	2	"LOC111111569"	0.046545206393791
"catalytic complex"	GO:1902494	2	"LOC111113098"	-0.214590553581023
"catalytic complex"	GO:1902494	2	"LOC111113134"	-0.177717879055147
"catalytic complex"	GO:1902494	2	"LOC111113388"	0.202905408537677
"catalytic complex"	GO:1902494	2	"LOC111113417"	-0.0180793485230799
"catalytic complex"	GO:1902494	2	"LOC111114538"	-0.131257481398997
"catalytic complex"	GO:1902494	2	"LOC111114552"	0.595213652866983
"catalytic complex"	GO:1902494	2	"LOC111114820"	0.0418414694278768
"catalytic complex"	GO:1902494	2	"LOC111114842"	-0.0700285520706903
"catalytic complex"	GO:1902494	2	"LOC111115556"	0.220244324867469
"catalytic complex"	GO:1902494	2	"LOC111116740"	-0.40801706350447
"catalytic complex"	GO:1902494	2	"LOC111117013"	-0.0260331503485203
"catalytic complex"	GO:1902494	2	"LOC111118072"	-0.0513727375175517
"catalytic complex"	GO:1902494	2	"LOC111118291"	-0.119557980152568
"catalytic complex"	GO:1902494	2	"LOC111118330"	0.380456217105035
"catalytic complex"	GO:1902494	2	"LOC111118357"	0.0245973683043053
"catalytic complex"	GO:1902494	2	"LOC111118359"	-0.481872708635935
"catalytic complex"	GO:1902494	2	"LOC111118611"	0.0316538673014888
"catalytic complex"	GO:1902494	2	"LOC111119106"	0.105202617667833
"catalytic complex"	GO:1902494	2	"LOC111119597"	-0.0399065333716848
"catalytic complex"	GO:1902494	2	"LOC111120056"	0.0593658687465362
"catalytic complex"	GO:1902494	2	"LOC111120126"	-0.461273703162521
"catalytic complex"	GO:1902494	2	"LOC111121015"	-0.0510729267258201
"catalytic complex"	GO:1902494	2	"LOC111121057"	-7.51685604465383
"catalytic complex"	GO:1902494	2	"LOC111121210"	0.0187272026068026
"catalytic complex"	GO:1902494	2	"LOC111121616"	0.00176533654076838
"catalytic complex"	GO:1902494	2	"LOC111122333"	-0.290615352157953
"catalytic complex"	GO:1902494	2	"LOC111123066"	-0.204484851542412
"catalytic complex"	GO:1902494	2	"LOC111123152"	0.653888454285279
"catalytic complex"	GO:1902494	2	"LOC111123499"	-0.402982807037738
"catalytic complex"	GO:1902494	2	"LOC111123588"	-0.133586839846356
"catalytic complex"	GO:1902494	2	"LOC111123590"	0.18767675775929
"catalytic complex"	GO:1902494	2	"LOC111123631"	-0.0526243095619652
"catalytic complex"	GO:1902494	2	"LOC111123658"	-0.888769760038202
"catalytic complex"	GO:1902494	2	"LOC111123963"	-0.074693026192608
"catalytic complex"	GO:1902494	2	"LOC111124329"	-0.404056509438233
"catalytic complex"	GO:1902494	2	"LOC111124464"	0.355883009563341
"catalytic complex"	GO:1902494	2	"LOC111124500"	0.665561852182495
"catalytic complex"	GO:1902494	2	"LOC111124867"	-0.0587521538858971
"catalytic complex"	GO:1902494	2	"LOC111124955"	-0.394317390133787
"catalytic complex"	GO:1902494	2	"LOC111125431"	0.135237853399609
"catalytic complex"	GO:1902494	2	"LOC111125572"	-0.160134992165156
"catalytic complex"	GO:1902494	2	"LOC111125826"	0.0609977736624461
"catalytic complex"	GO:1902494	2	"LOC111125851"	0.244585135600381
"catalytic complex"	GO:1902494	2	"LOC111125867"	-0.161478370557858
"catalytic complex"	GO:1902494	2	"LOC111126140"	-0.16075077497605
"catalytic complex"	GO:1902494	2	"LOC111126828"	0.215568547048067
"catalytic complex"	GO:1902494	2	"LOC111126908"	1.81360093759223
"catalytic complex"	GO:1902494	2	"LOC111126979"	0.108719474543282
"catalytic complex"	GO:1902494	2	"LOC111127037"	0.246140390016986
"catalytic complex"	GO:1902494	2	"LOC111127274"	0.0888769758811678
"catalytic complex"	GO:1902494	2	"LOC111127434"	0.573403635598269
"catalytic complex"	GO:1902494	2	"LOC111128054"	-0.0588528088669671
"catalytic complex"	GO:1902494	2	"LOC111128154"	0.0587292661431373
"catalytic complex"	GO:1902494	2	"LOC111128458"	-0.703081671019019
"catalytic complex"	GO:1902494	2	"LOC111128688"	0.339122111015902
"catalytic complex"	GO:1902494	2	"LOC111128991"	-0.531276829091829
"catalytic complex"	GO:1902494	2	"LOC111129147"	-0.0498663660401597
"catalytic complex"	GO:1902494	2	"LOC111129283"	-0.000477753942339731
"catalytic complex"	GO:1902494	2	"LOC111129838"	-0.154985989881393
"catalytic complex"	GO:1902494	2	"LOC111129961"	0.107825760572853
"catalytic complex"	GO:1902494	2	"LOC111130105"	0.15083694784875
"catalytic complex"	GO:1902494	2	"LOC111130240"	-0.0488534977575101
"catalytic complex"	GO:1902494	2	"LOC111130252"	1.23243822487494
"catalytic complex"	GO:1902494	2	"LOC111130292"	1.21800622972338
"catalytic complex"	GO:1902494	2	"LOC111130718"	0.228929725474759
"catalytic complex"	GO:1902494	2	"LOC111130850"	-0.173050815800103
"catalytic complex"	GO:1902494	2	"LOC111130852"	0.186837377735164
"catalytic complex"	GO:1902494	2	"LOC111130875"	0.145403661899802
"catalytic complex"	GO:1902494	2	"LOC111131247"	0.0121706623245201
"catalytic complex"	GO:1902494	2	"LOC111131347"	-0.298061167108441
"catalytic complex"	GO:1902494	2	"LOC111131492"	0.00395890522554465
"catalytic complex"	GO:1902494	2	"LOC111131660"	-0.238449081962688
"catalytic complex"	GO:1902494	2	"LOC111131749"	0.184639238374545
"catalytic complex"	GO:1902494	2	"LOC111132118"	0.147024315553066
"catalytic complex"	GO:1902494	2	"LOC111132184"	-0.050559696117479
"catalytic complex"	GO:1902494	2	"LOC111132307"	0.109169371123141
"catalytic complex"	GO:1902494	2	"LOC111133017"	-0.277273116443061
"catalytic complex"	GO:1902494	2	"LOC111133939"	-0.201808048247846
"catalytic complex"	GO:1902494	2	"LOC111134000"	0.189989901804818
"catalytic complex"	GO:1902494	2	"LOC111134430"	-0.34599014235497
"catalytic complex"	GO:1902494	2	"LOC111134478"	0.161887058853181
"catalytic complex"	GO:1902494	2	"LOC111134540"	0.234579839844765
"catalytic complex"	GO:1902494	2	"LOC111134651"	0.0136519945773044
"catalytic complex"	GO:1902494	2	"LOC111134658"	-0.127137330162303
"catalytic complex"	GO:1902494	2	"LOC111134949"	-0.18805802238341
"catalytic complex"	GO:1902494	2	"LOC111135118"	-0.664517996834739
"catalytic complex"	GO:1902494	2	"LOC111135183"	-0.216487149181181
"catalytic complex"	GO:1902494	2	"LOC111135325"	0.037759202843394
"catalytic complex"	GO:1902494	2	"LOC111135331"	-0.310448714114095
"catalytic complex"	GO:1902494	2	"LOC111135380"	-0.137230827052412
"catalytic complex"	GO:1902494	2	"LOC111135399"	-0.520950218854588
"catalytic complex"	GO:1902494	2	"LOC111135851"	0.0568345705021924
"catalytic complex"	GO:1902494	2	"LOC111135868"	0.0696974562269461
"catalytic complex"	GO:1902494	2	"LOC111135946"	0.32564337616866
"catalytic complex"	GO:1902494	2	"LOC111136089"	0.020958437228221
"catalytic complex"	GO:1902494	2	"LOC111136520"	-0.491436863667072
"catalytic complex"	GO:1902494	2	"LOC111136555"	-0.107673774419708
"catalytic complex"	GO:1902494	2	"LOC111137104"	-0.125669674457555
"catalytic complex"	GO:1902494	2	"LOC111137190"	0.424277953239306
"catalytic complex"	GO:1902494	2	"LOC111137354"	0.0355444551478303
"catalytic complex"	GO:1902494	2	"LOC111137415"	-0.147621110941346
"ATPase complex"	GO:1904949;GO:0070603	3	"LOC111099792"	-0.407949381908755
