name	term	lev	seq	value
"phosphorus-oxygen lyase activity"	GO:0016849	3	"LOC111110860"	-0.000617918847167664
"phosphorus-oxygen lyase activity"	GO:0016849	3	"LOC111120610"	-0.053289633279528
"phosphorus-oxygen lyase activity"	GO:0016849	3	"LOC111123748"	-0.003406600398419
"phosphorus-oxygen lyase activity"	GO:0016849	3	"LOC111132868"	-0.0536323301511331
"phosphorus-oxygen lyase activity"	GO:0016849	3	"LOC111135180"	-0.0461562160977843
"phosphorus-oxygen lyase activity"	GO:0016849	3	"LOC111136960"	-0.0301873428843711
"phosphatidylinositol binding"	GO:0035091	3	"LOC111103356"	-0.0157223033693786
"phosphatidylinositol binding"	GO:0035091	3	"LOC111119147"	0.00416847855998015
"phosphatidylinositol binding"	GO:0035091	3	"LOC111120702"	0.00232425387295387
"phosphatidylinositol binding"	GO:0035091	3	"LOC111120968"	-0.0121099693826996
"phosphatidylinositol binding"	GO:0035091	3	"LOC111125151"	0.0380900079398008
"phosphatidylinositol binding"	GO:0035091	3	"LOC111126338"	-0.000740047309713554
"phosphatidylinositol binding"	GO:0035091	3	"LOC111130070"	-0.00284560499559172
"phosphatidylinositol binding"	GO:0035091	3	"LOC111130078"	0.0509458534496775
"phosphatidylinositol binding"	GO:0035091	3	"LOC111130940"	-0.0731655017996966
"phosphatidylinositol binding"	GO:0035091	3	"LOC111131214"	-0.0287245062720378
"sulfurtransferase activity"	GO:0016783;GO:0016782	3	"LOC111102230"	0.0583515445404247
"sulfurtransferase activity"	GO:0016783;GO:0016782	3	"LOC111125202"	-0.00477108853036545
"sulfurtransferase activity"	GO:0016783;GO:0016782	3	"LOC111136090"	-0.0755101981949987
"NAD+ kinase activity"	GO:0003951	4	"LOC111100477"	-0.0134671161491881
"NAD+ kinase activity"	GO:0003951	4	"LOC111130737"	-0.0289384489094832
"DNA helicase activity"	GO:0003678	2	"LOC111103623"	-0.00863381424914678
"DNA helicase activity"	GO:0003678	2	"LOC111105213"	-0.0103368728129115
"DNA helicase activity"	GO:0003678	2	"LOC111122310"	-0.0121010609209091
"DNA helicase activity"	GO:0003678	2	"LOC111135545"	-0.00481232177773705
"DNA helicase activity"	GO:0003678	2	"LOC111136042"	-0.00302012141457153
"mismatched DNA binding"	GO:0030983	4	"LOC111112943"	-0.0331436529731194
"mismatched DNA binding"	GO:0030983	4	"LOC111113121"	-0.0360625700580081
"mismatched DNA binding"	GO:0030983	4	"LOC111114242"	-0.00387726206690242
"mismatched DNA binding"	GO:0030983	4	"LOC111118905"	0.017752781943015
"mismatched DNA binding"	GO:0030983	4	"LOC111119232"	-0.0251917651947665
"mismatched DNA binding"	GO:0030983	4	"LOC111130995"	0.000206273351988528
"mismatched DNA binding"	GO:0030983	4	"LOC111137452"	-0.0257459867111142
"cAMP-dependent protein kinase regulator activity"	GO:0008603	5	"LOC111108022"	0.0250662213845007
"cAMP-dependent protein kinase regulator activity"	GO:0008603	5	"LOC111119982"	-0.0295587551493122
"cAMP-dependent protein kinase regulator activity"	GO:0008603	5	"LOC111135307"	0.0114363204356223
"manganese ion binding"	GO:0030145	4	"LOC111120092"	-0.0498341236047974
"manganese ion binding"	GO:0030145	4	"LOC111123554"	-0.0178329745210745
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111099746"	0.00939849518506086
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111099748"	0.00889470753738419
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111100029"	-0.0307044327498207
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111100266"	-0.00403790259864589
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111100466"	-0.000988146172919868
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111101805"	0.0369664287752471
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111102147"	-0.0103807847906979
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111102414"	-0.000134472467741009
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111106467"	-0.020476513749274
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111106753"	-0.0299878049883113
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111107316"	-0.0820491474062335
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111110891"	-0.0371782096883083
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111119118"	0.00878500548444772
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111119172"	-0.0185816895233977
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111119803"	-0.0111356785009838
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111120164"	0.00372705533417017
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111122264"	0.00356025782921099
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111122321"	-0.0399833125974913
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111122428"	0.0514567603233362
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111122539"	0.0496570574633395
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111122544"	-0.0427115720753539
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111123124"	0.0268073906972954
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111124769"	-0.00996248729783422
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111124859"	-0.0136800847618698
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111125072"	-0.0408197476547415
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111125575"	-0.00720400178599778
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111126222"	-0.0230510520246257
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111126335"	-0.0466498427751117
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111126448"	-0.0653995351217884
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111126942"	-0.0303863389785149
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111127019"	0.00860250157258025
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111128509"	-0.00790262845828082
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111128540"	0.0147122160458483
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111128542"	0.0177134526926935
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111129174"	-0.00797540327792901
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111130128"	-0.0517517093260232
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111130820"	-0.0662712601566727
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111130884"	-0.00342866829488919
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111131164"	0.014595538577334
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111131752"	-0.000790128470148033
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111133216"	-0.103637014649591
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111133973"	-0.018709161598655
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111134337"	0.0102146523845822
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111134520"	-0.0183786168568387
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111134580"	-0.0226361934858601
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111135252"	-0.00395225901717688
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111135843"	-0.0269976344910462
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111135925"	-0.021853767299915
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111136019"	-0.0172067297466003
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111136967"	-0.0239778351309203
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111137015"	-0.00903059155208807
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111137326"	-0.0135634310383252
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111137590"	-0.0788848856538524
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111137727"	-0.000509287294423233
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111137822"	-0.0224791190500186
"ion transmembrane transporter activity"	GO:0015075	2	"LOC111137998"	-0.0315595707062544
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides"	GO:0016812	4	"LOC111134478"	-0.00891144375649766
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides"	GO:0016812	4	"LOC111135359"	0.00808527203224674
