name	term	lev	seq	value
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111099740"	-0.374405971744658
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111103157"	0.268722160986476
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111104029"	-0.26992336080429
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111104189"	0.234636749029558
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111104228"	-0.103520274909744
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111105280"	-0.497075588887262
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111106026"	0.297050580525021
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111106977"	0.830484310973245
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111108322"	-0.241765692916196
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111110495"	-0.383141607208032
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111110503"	1.34547806454756
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111110506"	0.142608369478966
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111111124"	-0.0677857286126029
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111111437"	-0.432617463910817
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111111510"	0.152290406663295
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111112225"	0.103096718326027
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111112226"	0.0929454153433114
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111112624"	0.135720151166577
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111113132"	0.67664174908647
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111114025"	0.336860270034818
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111114170"	-0.137212626465764
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111114790"	-0.493956030288128
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111114854"	-0.186087521743239
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111115005"	-0.121880549797777
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111115540"	-0.210758985347089
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111115600"	-0.262305388172273
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111115635"	-0.43517004563297
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111117450"	0.743154087302897
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111117570"	-0.183115986057103
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111118220"	-0.45104765447703
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111118280"	0.30576196113504
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111118577"	0.310094945561866
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111118630"	0.120154933042112
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111118747"	-0.444226424275371
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111119322"	-0.190651381787493
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111119489"	0.0110635604896361
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111119565"	-0.245158044131959
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111119758"	-0.664057779677406
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111119790"	-0.775264074214013
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111119818"	-0.0249761331295568
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111120027"	0.581370081643155
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111120030"	-0.1725252589926
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111120503"	-0.0417970116544497
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111120678"	0.102115927344948
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111120726"	-0.0432401398986904
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111120821"	0.0486830028717677
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111121072"	0.683544404268688
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111121100"	0.0238833299621852
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111122346"	0.494356743239728
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111122660"	-0.200487004133516
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111123098"	0.102931591523699
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111125081"	-0.09025327751535
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111125157"	-0.0474609363645753
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111125242"	-0.937090716666234
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111125283"	-0.211863401699071
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111125589"	-0.185932252916166
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111125669"	-0.620133611910086
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111127463"	-0.046840612898829
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111127863"	0.0442895121987807
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111128195"	-0.0442543681060755
"transferase activity, transferring glycosyl groups"	GO:0016758;GO:0016757	2	"LOC111128276"	0.114764912055814
