"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-307 0.23667530457145 4 5 "GO:0000162;GO:0046219;GO:0042401;GO:0042435;GO:0009309" "cellular biogenic amine biosynthetic process" 0.838062565674057
-137 0.360540576708536 4 15 "GO:0000226" "microtubule cytoskeleton organization" 0.852357388704702
-719 0.0797005206405437 5 2 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.76853510446099
360 0.282251754524662 2 3 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.851707048741085
205 0.540759218626972 2 3 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.887861667197825
-68 0.553501266747712 2 26 "GO:0001505;GO:0042133" "regulation of neurotransmitter levels" 0.891559584293644
-266 0.516439640675031 3 2 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.885325098300053
-236 0.481191681571898 5 3 "GO:0002098;GO:0002097" "tRNA wobble base modification" 0.869087251591835
11 0.865645913611353 2 87 "GO:0005975" "carbohydrate metabolic process" 0.966825306111381
482 0.0964934434100102 4 4 "GO:0005978;GO:0005977;GO:0009250;GO:0006112;GO:0033692;GO:0000271;GO:0034637" "glycogen biosynthetic process" 0.79032725078675
457 0.018339176506462 5 9 "GO:0005982;GO:0006073;GO:0044042;GO:0044264;GO:0005976;GO:0005985;GO:0005984;GO:0009311" "glucan metabolic process" 0.752666981396126
255 0.188617682070847 5 9 "GO:0006000" "fructose metabolic process" 0.806145989938349
289 0.0988527768443159 2 11 "GO:0006012" "galactose metabolic process" 0.797000513307297
89 0.552725628843589 2 15 "GO:0006013" "mannose metabolic process" 0.891559584293644
-51 0.878365979509031 2 3 "GO:0006020" "inositol metabolic process" 0.972611256280386
29 0.824306977535686 2 20 "GO:0006022" "aminoglycan metabolic process" 0.956728244057519
291 0.478534594861325 5 2 "GO:0006024;GO:0006023;GO:1903510" "mucopolysaccharide metabolic process" 0.869087251591835
209 0.21393253414205 4 12 "GO:0006027;GO:0006026;GO:0030203" "glycosaminoglycan metabolic process" 0.833665105175698
-240 0.241863411731869 3 8 "GO:0006030;GO:1901071" "chitin metabolic process" 0.838062565674057
-129 0.406000126018243 2 14 "GO:0006040" "amino sugar metabolic process" 0.862060510103587
118 0.416853251153495 2 16 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.866996101325631
-255 0.379060550765615 2 4 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.852357388704702
-153 0.518798596591445 3 6 "GO:0006085;GO:0006084;GO:0071616;GO:0035384" "acetyl-CoA metabolic process" 0.885946165088583
32 0.766873763049071 2 29 "GO:0006090" "pyruvate metabolic process" 0.956508733691254
97 0.276186269152062 3 43 "GO:0006091" "generation of precursor metabolites and energy" 0.851707048741085
-70 0.511438680195838 3 30 "GO:0006094;GO:0006006;GO:0019319;GO:0046364;GO:0016051" "carbohydrate biosynthetic process" 0.884673680855054
-180 0.325995517153752 3 10 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process" 0.852357388704702
-45 0.711359885059178 3 23 "GO:0006099" "tricarboxylic acid cycle" 0.95031915820238
-288 0.483092865110924 3 2 "GO:0006101" "citrate metabolic process" 0.869087251591835
79 0.847528769616235 2 2 "GO:0006102;GO:1902652" "isocitrate metabolic process" 0.95694714468704
-132 0.648694961058929 3 4 "GO:0006108" "malate metabolic process" 0.930505813909646
77 0.520235829499691 -1 24 "GO:0006118" "obsolete electron transport" 0.885946165088583
137 0.598490985229613 2 5 "GO:0006119" "oxidative phosphorylation" 0.91095228250076
242 0.307140350294952 5 6 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 0.852357388704702
380 0.353832746330962 3 2 "GO:0006123;GO:0019646;GO:0009060;GO:0045333" "mitochondrial electron transport, cytochrome c to oxygen" 0.852357388704702
-31 0.315053552711891 2 476 "GO:0006139;GO:0006725;GO:0046483" "heterocycle metabolic process" 0.852357388704702
-138 0.0305137388192795 2 86 "GO:0006144;GO:0009112" "nucleobase metabolic process" 0.752666981396126
-404 0.22747837573337 4 3 "GO:0006171;GO:0046058;GO:0052652" "cyclic purine nucleotide metabolic process" 0.833665105175698
589 0.150932653156239 5 2 "GO:0006183;GO:0046039;GO:0006228;GO:0009209;GO:0009220;GO:0046051;GO:0009148;GO:0009208;GO:0009147;GO:0009218" "GTP metabolic process" 0.806145989938349
