"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
242 0.623388533480598 3 6 "GO:0000162;GO:0046219;GO:0042435" "indolalkylamine biosynthetic process" 0.916133553398681
220 0.467308868187264 4 16 "GO:0000226" "microtubule cytoskeleton organization" 0.901238531504009
-616 0.176736828253345 6 7 "GO:0000270" "peptidoglycan metabolic process" 0.777886385718583
-15 0.986663930004035 4 2 "GO:0000387;GO:0022618;GO:0071826" "ribonucleoprotein complex subunit organization" 0.991253064562193
-1001 0.24068347961681 3 2 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 0.82085734100891
91 0.895785903691205 4 3 "GO:0000724;GO:0000725" "recombinational repair" 0.965839044246091
293 0.627882899943994 2 4 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.916133553398681
201 0.270854166367443 2 44 "GO:0001505;GO:0042133" "regulation of neurotransmitter levels" 0.844287193378639
-178 0.834839814542768 7 2 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "RNA 5'-end processing" 0.964529207997984
-353 0.439481628592773 3 7 "GO:0001819;GO:0051240" "positive regulation of multicellular organismal process" 0.893416496155683
97 0.831946516762943 3 7 "GO:0001934;GO:0045860;GO:0033674;GO:0051347" "positive regulation of protein phosphorylation" 0.964529207997984
336 0.694139378526363 2 2 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.921378854196071
-420 0.54700705419907 3 3 "GO:0002098;GO:0002097" "tRNA wobble uridine modification" 0.909916539474597
-154 0.321008209410523 1 61 "GO:0002376" "immune system process" 0.883313454206005
-1 0.996359308420371 5 27 "GO:0002755;GO:0002224;GO:0002221;GO:0002758;GO:0002218;GO:0002757;GO:0002253;GO:0045089;GO:0002764;GO:0050778;GO:0002833;GO:0031349;GO:0032103;GO:0043902;GO:0002684;GO:0031663;GO:0034142;GO:0042116;GO:0002274;GO:0045321;GO:0001775;GO:0050707;GO:0050708;GO:0002791;GO:0051223;GO:1903530;GO:0051046;GO:0090087;GO:0070201;GO:0051049;GO:0032880;GO:0032879" "regulation of localization" 0.997899276439568
-80 0.422851646368877 3 152 "GO:0005975" "carbohydrate metabolic process" 0.886756850637645
