"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-52 0.689469977710571 6 7 "GO:0000123;GO:0031248;GO:1902493" "histone acetyltransferase complex" 0.941077353593747
50 0.718394714759438 3 6 "GO:0000136;GO:0031501" "alpha-1,6-mannosyltransferase complex" 0.941077353593747
32 0.872747380105163 3 3 "GO:0000152" "nuclear ubiquitin ligase complex" 0.968993364473323
270 0.263837602648292 2 2 "GO:0000775" "chromosome, centromeric region" 0.775359485333756
-544 0.0242988743873748 2 2 "GO:0000794;GO:0000228;GO:0000793" "condensed nuclear chromosome" 0.581425735814836
-37 0.708486774223175 2 12 "GO:0005576" "extracellular region" 0.941077353593747
44 0.855928743459834 2 2 "GO:0005581" "collagen trimer" 0.968993364473323
-86 0.0672684361239299 1 55 "GO:0005622" "intracellular" 0.581425735814836
-37 0.132745616145227 2 242 "GO:0005634;GO:0043231;GO:0043227" "membrane-bounded organelle" 0.597416743161544
-208 0.291385874857647 2 3 "GO:0005643" "nuclear pore" 0.783872909357173
35 0.604212042435103 2 26 "GO:0005657" "replication fork" 0.941077353593747
440 0.0686405382559181 2 2 "GO:0005663" "DNA replication factor C complex" 0.581425735814836
145 0.548038970891649 3 2 "GO:0005664;GO:0000808" "nuclear origin of replication recognition complex" 0.941077353593747
212 0.128555899898567 4 6 "GO:0005665;GO:0055029;GO:0000428;GO:0030880" "DNA-directed RNA polymerase complex" 0.597416743161544
20 0.469126235468031 2 170 "GO:0005667" "transcription factor complex" 0.941077353593747
70 0.725066695404459 4 3 "GO:0005669;GO:0090575;GO:0044798" "RNA polymerase II transcription factor complex" 0.941077353593747
119 0.623618607549647 2 2 "GO:0005680" "anaphase-promoting complex" 0.941077353593747
234 0.12598073088977 3 5 "GO:0005685;GO:0097525;GO:0030532;GO:0120114" "U1 snRNP" 0.597416743161544
-210 0.0417389725072394 5 11 "GO:0005694" "chromosome" 0.581425735814836
34 0.612835938469539 3 27 "GO:0005730" "nucleolus" 0.941077353593747
-108 0.656262532975776 3 2 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.941077353593747
-7 0.873838518047193 2 66 "GO:0005737" "cytoplasm" 0.968993364473323
134 0.240851703770882 2 9 "GO:0005739" "mitochondrion" 0.775359485333756
-52 0.829955620818366 3 2 "GO:0005759;GO:0070013;GO:0043233;GO:0031974" "organelle lumen" 0.968993364473323
-21 0.931378266313763 3 2 "GO:0005762;GO:0000315" "organellar large ribosomal subunit" 0.973708373575154
2 0.995861069758296 5 2 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 0.995861069758296
-164 0.496789565077673 4 2 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 0.941077353593747
380 0.116000856606509 2 2 "GO:0005768" "endosome" 0.597416743161544
64 0.620486402558863 2 7 "GO:0005777" "peroxisome" 0.941077353593747
107 0.589313390447411 3 3 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.941077353593747
-68 0.78018167845453 3 2 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 0.960223604251729
26 0.833178769383575 2 8 "GO:0005783" "endoplasmic reticulum" 0.968993364473323
-471 0.0512445641683052 4 2 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.581425735814836
98 0.620061333334819 3 3 "GO:0005789" "endoplasmic reticulum membrane" 0.941077353593747
-92 0.548614179242499 2 5 "GO:0005794" "Golgi apparatus" 0.941077353593747
-214 0.126160007646039 2 6 "GO:0005802;GO:0098791;GO:0031984" "trans-Golgi network" 0.597416743161544
-287 0.0399922689187856 2 6 "GO:0005813" "centrosome" 0.581425735814836
-363 0.132759276258121 3 2 "GO:0005814" "centriole" 0.597416743161544
