"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-98 0.571857247217524 3 4 "GO:0000287" "magnesium ion binding" 0.929270910736123
190 0.180284315047732 4 6 "GO:0000987;GO:0000976;GO:0035326;GO:0044212;GO:1990837;GO:0001067" "sequence-specific double-stranded DNA binding" 0.872447310320275
179 0.466980915496678 2 2 "GO:0000995;GO:0140223" "RNA polymerase III general transcription initiation factor activity" 0.929270910736123
-17 0.913059440630755 3 5 "GO:0002161;GO:0052689;GO:0004822" "carboxylic ester hydrolase activity" 0.986184681155433
15 0.660989842440797 3 110 "GO:0003676" "nucleic acid binding" 0.957866977548327
-7 0.888442470931553 2 56 "GO:0003677" "DNA binding" 0.986184681155433
-7 0.964444798484057 2 5 "GO:0003678" "DNA helicase activity" 0.988972845085979
-1 0.996329222521067 2 12 "GO:0003682" "chromatin binding" 0.996329222521067
-126 0.375842014406981 3 6 "GO:0003684" "damaged DNA binding" 0.929270910736123
9 0.922181196101807 3 13 "GO:0003690" "double-stranded DNA binding" 0.986184681155433
-241 0.32688437676335 3 2 "GO:0003697" "single-stranded DNA binding" 0.929270910736123
103 0.119547488706699 3 28 "GO:0003707" "steroid hormone receptor activity" 0.766684881885525
-94 0.373283446381048 2 11 "GO:0003712" "transcription coregulator activity" 0.929270910736123
-56 0.667945095305262 2 7 "GO:0003713" "transcription coactivator activity" 0.957866977548327
84 0.732527142810511 3 2 "GO:0003714" "transcription corepressor activity" 0.986184681155433
42 0.456918893999703 2 40 "GO:0003723" "RNA binding" 0.929270910736123
194 0.263412044176844 2 4 "GO:0003724" "RNA helicase activity" 0.9282696657223
97 0.354370350308506 2 11 "GO:0003735" "structural constituent of ribosome" 0.929270910736123
-52 0.832746298674187 4 2 "GO:0003743;GO:0008135;GO:0090079" "translation initiation factor activity" 0.986184681155433
85 0.418444995797522 3 11 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.929270910736123
-134 0.504452216958268 4 3 "GO:0003777;GO:0003774" "microtubule motor activity" 0.929270910736123
-143 0.275631760454894 4 7 "GO:0003779" "actin binding" 0.9282696657223
56 0.494172324900207 3 18 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.929270910736123
-55 0.558681395921986 5 14 "GO:0003899;GO:0034062;GO:0097747" "DNA-directed 5'-3' RNA polymerase activity" 0.929270910736123
-25 0.919550898500182 3 2 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.986184681155433
140 0.485489332586233 3 3 "GO:0003910;GO:0003909;GO:0016886" "DNA ligase activity" 0.929270910736123
-22 0.899456231798918 4 4 "GO:0003917;GO:0003916" "DNA topoisomerase activity" 0.986184681155433
265 0.00848858453032458 3 12 "GO:0003924" "GTPase activity" 0.708263465255256
-62 0.593379494537649 4 9 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.929270910736123
-279 0.256174826261022 4 2 "GO:0003951" "NAD+ kinase activity" 0.9282696657223
225 0.263068379226617 3 3 "GO:0004000;GO:0016814;GO:0019239" "deaminase activity" 0.9282696657223
-110 0.655723050834856 4 2 "GO:0004020;GO:0004781;GO:0004779" "adenylylsulfate kinase activity" 0.957866977548327
-25 0.849606043544341 5 7 "GO:0004143" "diacylglycerol kinase activity" 0.986184681155433
-170 0.195094999076053 3 7 "GO:0004175" "endopeptidase activity" 0.876043727102718
-457 0.0629112635228915 6 2 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.766684881885525
93 0.706580531507637 4 2 "GO:0004252" "serine-type endopeptidase activity" 0.986184681155433
-64 0.794747999179748 5 2 "GO:0004337;GO:0004659" "geranyltranstransferase activity" 0.986184681155433
-346 0.15886731618395 4 2 "GO:0004349;GO:0016774;GO:0019202;GO:0004350" "glutamate 5-kinase activity" 0.827943128574047
78 0.751030321870217 4 2 "GO:0004376;GO:0000030" "mannosyltransferase activity" 0.986184681155433
-57 0.368106106729298 3 31 "GO:0004386;GO:0042623" "ATPase activity, coupled" 0.929270910736123
386 0.11592209371552 4 2 "GO:0004396;GO:0019200;GO:0005536" "carbohydrate kinase activity" 0.766684881885525
200 0.12886113085842 2 7 "GO:0004407;GO:0016811;GO:0033558;GO:0019213" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 0.766684881885525
193 0.335797831173272 2 3 "GO:0004448" "isocitrate dehydrogenase activity" 0.929270910736123
43 0.861508999876287 6 2 "GO:0004450" "isocitrate dehydrogenase (NADP+) activity" 0.986184681155433
39 0.846045170871021 3 3 "GO:0004497" "monooxygenase activity" 0.986184681155433
38 0.567693362315719 2 28 "GO:0004518" "nuclease activity" 0.929270910736123
21 0.829085017000428 2 13 "GO:0004519" "endonuclease activity" 0.986184681155433
141 0.565717045302039 3 2 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.929270910736123
113 0.468937948681688 3 5 "GO:0004535;GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.929270910736123
25 0.919550898500182 3 2 "GO:0004536" "deoxyribonuclease activity" 0.986184681155433
-15 0.875100716573943 2 13 "GO:0004540" "ribonuclease activity" 0.986184681155433
83 0.498039535905578 3 8 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.929270910736123
-111 0.476906152109571 3 5 "GO:0004563;GO:0015929" "hexosaminidase activity" 0.929270910736123
-418 0.0886227526579899 2 2 "GO:0004634" "phosphopyruvate hydratase activity" 0.766684881885525
-182 0.459516994300852 5 2 "GO:0004641;GO:0016882;GO:0004644" "phosphoribosylglycinamide formyltransferase activity" 0.929270910736123
-358 0.145442295891543 3 2 "GO:0004643" "phosphoribosylaminoimidazolecarboxamide formyltransferase activity" 0.80438494258384
-128 0.603565505633862 2 2 "GO:0004652" "polynucleotide adenylyltransferase activity" 0.933788409004876
-3 0.962966741884533 3 31 "GO:0004672" "protein kinase activity" 0.988972845085979
7 0.936091828074859 4 16 "GO:0004674" "protein serine/threonine kinase activity" 0.987085157230688
268 0.123559093181905 2 4 "GO:0004709" "MAP kinase kinase kinase activity" 0.766684881885525
12 0.954146842416074 4 3 "GO:0004713" "protein tyrosine kinase activity" 0.988972845085979
24 0.924411517325224 3 2 "GO:0004714;GO:0019199" "transmembrane receptor protein tyrosine kinase activity" 0.986184681155433
-115 0.235817967987057 2 13 "GO:0004721;GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.9282696657223
45 0.752269944769716 5 6 "GO:0004722" "protein serine/threonine phosphatase activity" 0.986184681155433
-431 0.013136895072686 2 4 "GO:0004725" "protein tyrosine phosphatase activity" 0.708263465255256
-594 0.0154810215952639 4 2 "GO:0004726" "non-membrane spanning protein tyrosine phosphatase activity" 0.708263465255256
-237 0.335002992330092 4 2 "GO:0004743" "pyruvate kinase activity" 0.929270910736123
277 0.259608448028027 4 2 "GO:0004749;GO:0016778" "diphosphotransferase activity" 0.9282696657223
-56 0.473518855438428 3 20 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.929270910736123
213 0.386409674330408 2 2 "GO:0004813" "alanine-tRNA ligase activity" 0.929270910736123
-151 0.539785054814837 2 2 "GO:0004823" "leucine-tRNA ligase activity" 0.929270910736123
-203 0.312894036967913 2 3 "GO:0004826" "phenylalanine-tRNA ligase activity" 0.929270910736123
-134 0.585199919340804 2 2 "GO:0004831" "tyrosine-tRNA ligase activity" 0.929270910736123
250 0.309088806323409 2 2 "GO:0004832" "valine-tRNA ligase activity" 0.929270910736123
-50 0.589837712539775 2 14 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.929270910736123
-315 0.200423288119441 4 2 "GO:0004866;GO:0030414;GO:0061135;GO:0004857;GO:0061134" "endopeptidase regulator activity" 0.876043727102718
38 0.741826929434948 2 9 "GO:0004879;GO:0000981;GO:0098531" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.986184681155433
-60 0.482362708709446 3 17 "GO:0004888" "transmembrane signaling receptor activity" 0.929270910736123
-67 0.61015948899056 2 7 "GO:0004930" "G protein-coupled receptor activity" 0.933788409004876
-278 0.257030259775909 2 2 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.9282696657223
54 0.728649770322288 3 5 "GO:0005085;GO:0005088" "guanyl-nucleotide exchange factor activity" 0.986184681155433
8 0.970086298569036 3 3 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.988972845085979
-78 0.581190953941294 4 6 "GO:0005096;GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 0.929270910736123
-197 0.0612148273070048 2 11 "GO:0005102" "signaling receptor binding" 0.766684881885525
-237 0.172618068744151 4 4 "GO:0005164;GO:0032813;GO:0005126" "cytokine receptor binding" 0.850536302357544
73 0.35035137623254 1 20 "GO:0005198" "structural molecule activity" 0.929270910736123
-67 0.637350452454288 2 6 "GO:0005200" "structural constituent of cytoskeleton" 0.943835915929574
-114 0.191379578295844 3 16 "GO:0005216;GO:0015267;GO:0022803" "channel activity" 0.876043727102718
-71 0.461201319336972 5 13 "GO:0005230;GO:0015276;GO:0022834;GO:0022836" "gated channel activity" 0.929270910736123
-107 0.332946936181313 3 10 "GO:0005261" "cation channel activity" 0.929270910736123
-120 0.625072445822667 3 2 "GO:0005496" "steroid binding" 0.935881949270402
-22 0.866769913161504 6 7 "GO:0005506" "iron ion binding" 0.986184681155433
-12 0.816566559448424 5 45 "GO:0005509" "calcium ion binding" 0.986184681155433
131 0.515153495863247 3 3 "GO:0005516" "calmodulin binding" 0.929270910736123
20 0.671567253631668 4 59 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "guanyl nucleotide binding" 0.957866977548327
-142 0.564337417672852 2 2 "GO:0005534" "galactose binding" 0.929270910736123
67 0.414592923306371 2 18 "GO:0005543;GO:0008289" "lipid binding" 0.929270910736123
26 0.616410368072908 2 45 "GO:0008017" "microtubule binding" 0.933788409004876
-95 0.441521832199411 3 8 "GO:0008047" "enzyme activator activity" 0.929270910736123
128 0.297560195761033 5 8 "GO:0008080;GO:0016407;GO:0016410;GO:0004402;GO:0061733;GO:0034212" "acetyltransferase activity" 0.929270910736123
-148 0.547909454208241 2 2 "GO:0008081" "phosphoric diester hydrolase activity" 0.929270910736123
-230 0.104572719353553 3 6 "GO:0008083;GO:0048018;GO:0030546;GO:0030545" "receptor regulator activity" 0.766684881885525
-66 0.592363493988962 2 8 "GO:0008094" "DNA-dependent ATPase activity" 0.929270910736123
159 0.305849627802331 2 5 "GO:0008107;GO:0031127" "galactoside 2-alpha-L-fucosyltransferase activity" 0.929270910736123
422 0.085608726280011 2 2 "GO:0008134" "transcription factor binding" 0.766684881885525
-29 0.782909549557992 4 11 "GO:0008137;GO:0050136;GO:0003954;GO:0016655;GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.986184681155433
50 0.431148324933883 2 31 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.929270910736123
-149 0.545194617526246 5 2 "GO:0008171" "O-methyltransferase activity" 0.929270910736123
210 0.0563310240895566 3 10 "GO:0008173" "RNA methyltransferase activity" 0.766684881885525
426 0.0142397889325501 2 4 "GO:0008175;GO:0004809;GO:0016423" "tRNA methyltransferase activity" 0.708263465255256
521 0.0339227782371082 6 2 "GO:0008184;GO:0004645" "glycogen phosphorylase activity" 0.708263465255256
-142 0.480291179613011 4 3 "GO:0008194" "UDP-glycosyltransferase activity" 0.929270910736123
8 0.976397472588975 3 2 "GO:0008235;GO:0008238" "exopeptidase activity" 0.988972845085979
-94 0.545813614119124 3 5 "GO:0008236;GO:0017171;GO:0016825" "serine-type peptidase activity" 0.929270910736123
-73 0.508300979351845 3 10 "GO:0008237" "metallopeptidase activity" 0.929270910736123
28 0.382953903219194 3 135 "GO:0008270;GO:0046914" "transition metal ion binding" 0.929270910736123
