"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-385 0.488613400914178 2 3 "GO:0000030" "mannosyltransferase activity" 0.911197963866981
66 0.891284345841096 5 4 "GO:0000287" "magnesium ion binding" 0.983718434287164
683 0.112530224290852 7 5 "GO:0000987;GO:0000976;GO:0035326;GO:1990837" "sequence-specific double-stranded DNA binding" 0.611180665664326
-369 0.587198838144637 2 2 "GO:0000995;GO:0140223" "RNA polymerase III general transcription initiation factor activity" 0.912538734954503
-267 0.534366463897495 3 5 "GO:0002161;GO:0052689;GO:0004822" "carboxylic ester hydrolase activity" 0.912538734954503
131 0.0759790111501461 2 179 "GO:0003676" "nucleic acid binding" 0.51117157140921
352 0.000283883713858495 3 101 "GO:0003677" "DNA binding" 0.0244849703202952
500 0.100194476624159 2 10 "GO:0003678" "DNA helicase activity" 0.595984386816118
-82 0.750138938368309 2 14 "GO:0003682" "chromatin binding" 0.981972512300722
-3 0.993722805347197 5 6 "GO:0003684" "damaged DNA binding" 0.996611534432509
905 0.000705144234401712 2 13 "GO:0003690" "double-stranded DNA binding" 0.0486549521737181
1056 0.0570907595515724 2 3 "GO:0003697" "single-stranded DNA binding" 0.468959810602202
-72 0.52466802171178 2 74 "GO:0003700" "DNA-binding transcription factor activity" 0.912538734954503
-206 0.213009052962566 3 34 "GO:0003707" "steroid hormone receptor activity" 0.747315760849906
-383 0.047088731749966 2 25 "GO:0003712;GO:0003713" "transcription coregulator activity" 0.439070606857791
-375 0.581131051598673 3 2 "GO:0003714" "transcription corepressor activity" 0.912538734954503
-260 0.0449691393768729 3 56 "GO:0003723" "RNA binding" 0.439070606857791
429 0.372849458658171 6 4 "GO:0003724" "RNA helicase activity" 0.842808906303727
-319 0.565499606235224 5 3 "GO:0003725" "double-stranded RNA binding" 0.912538734954503
321 0.169792762269878 2 17 "GO:0003735" "structural constituent of ribosome" 0.650872255367866
-307 0.475487285207001 4 5 "GO:0003743;GO:0008135;GO:0090079;GO:0045182" "translation regulator activity" 0.911197963866981
-246 0.307154131714979 3 16 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.806221692054649
646 0.244256846075462 3 3 "GO:0003777;GO:0003774" "microtubule motor activity" 0.747315760849906
-49 0.877695862371999 2 9 "GO:0003779" "actin binding" 0.983718434287164
74 0.041965432659545 1 984 "GO:0003824" "catalytic activity" 0.439070606857791
238 0.207640290262953 2 26 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.747315760849906
-46 0.829510887390346 3 20 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.983718434287164
85 0.900701741364149 3 2 "GO:0003905;GO:0019104;GO:0016799" "hydrolase activity, hydrolyzing N-glycosyl compounds" 0.983718434287164
698 0.146667598568271 3 4 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.611180665664326
-88 0.874851377579304 2 3 "GO:0003910;GO:0003909;GO:0016886" "DNA ligase (ATP) activity" 0.983718434287164
-150 0.755322758817807 2 4 "GO:0003917;GO:0003916" "DNA topoisomerase activity" 0.981972512300722
-137 0.607702319565102 3 13 "GO:0003924" "GTPase activity" 0.931810223333156
-112 0.662776608113713 2 14 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.951002521393746
96 0.887893723221863 4 2 "GO:0003951" "NAD+ kinase activity" 0.983718434287164
-237 0.545503086211275 3 6 "GO:0004000;GO:0016814;GO:0019239" "adenosine deaminase activity" 0.912538734954503
783 0.24945112441207 5 2 "GO:0004020;GO:0004781;GO:0004779" "adenylylsulfate kinase activity" 0.747315760849906
-200 0.5825165180322 4 7 "GO:0004143" "diacylglycerol kinase activity" 0.912538734954503
-573 0.00643805387695671 2 21 "GO:0004175" "endopeptidase activity" 0.180876066896438
-639 0.0214351853255275 2 12 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.296029798600345
-839 0.0808823863523627 3 4 "GO:0004222" "metalloendopeptidase activity" 0.516748579473428
-236 0.728525386405467 2 2 "GO:0004252" "serine-type endopeptidase activity" 0.981972512300722
178 0.794123399845271 3 2 "GO:0004298;GO:0070003" "threonine-type endopeptidase activity" 0.981972512300722
-808 0.234350560492425 3 2 "GO:0004337;GO:0004659" "prenyltransferase activity" 0.747315760849906
1352 0.0466564662498222 5 2 "GO:0004349;GO:0016774;GO:0019202" "amino acid kinase activity" 0.439070606857791
1306 0.0185990074496392 3 3 "GO:0004350" "glutamate-5-semialdehyde dehydrogenase activity" 0.291666253187524
