Rank,ID,WaterSample_ID,shelf,tank,pCO2,DIC,TA,pCO2_calc,Calcite,pH_meas,survival,survival_date,sample_date,bw1_BW,bw1_date,bw1_date_alt,bw1_std_wt,bw1_temp,bw1_sal,bw2_BW,bw2_date,bw2_date_alt,bw2_std_wt,bw2_temp2,bw2_sal,bw3_BW,bw3_date,bw3_date_alt,bw3_std_wt,bw3_temp,bw3_sal,dry_end_meas,dry_measurer,bw1_bw2_std_corr,bw1_bw3_std_corr,bw2_BW_corr,bw3_BW_corr,"dry1_final
",dry2_final,dry3_final,bw1_bw2_dayRange,bw2_bw3_dayRange,bw1_bw2_diff,bw2_bw3_diff,bw1_bw2_daily,bw2_bw3_daily,bw1_bw2_daily_sizeCorr,bw2_bw3_daily_sizeCorr,"Calcification_daily_sizeCorr
","Calcification_daily_sizeCorr_percent
"
1,17002,5,2,2,400,2329.53,2437.2,590.67,2.86,7.83,Y,20170509,20170509,28.924,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.89,Isabel,NA,NA,NA,NA,51.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,17009,18,6,3,2800,2622.52,2522.02,2555.7,1.13,7.23,Y,20170509,20170509,37.168,170504,05/04/17,2.76,13.00,32.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.85,Isabel,NA,NA,NA,NA,66.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,17014,14,5,2,900,2441,2468.42,865.45,2.15,7.62,Y,20170509,20170509,37.192,170506,05/06/17,2.80,13.00,32.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.54,Isabel,NA,NA,NA,NA,66.715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,17016,13,5,1,900,2439.9,2459.91,936.56,2.02,7.62,Y,20170509,20170509,39.398,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.18,Isabel,NA,NA,NA,NA,70.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,17018,3,1,3,400,2377.12,2484.38,574.36,2.93,7.84,Y,20170509,20170509,16.632,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.34,Isabel,NA,NA,NA,NA,28.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
6,17035,15,5,3,900,2441.67,2467.77,890.65,2.12,7.62,Y,20170509,20170509,22.056,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.56,Isabel,NA,NA,NA,NA,38.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,17047,16,6,1,2800,2616.63,2523.13,2423.47,1.17,7.24,Y,20170509,20170509,18.373,170504,05/04/17,2.76,13.00,32.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.27,Isabel,NA,NA,NA,NA,31.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,17060,2,1,2,400,2388.7,2486.18,535.06,3.1,7.84,Y,20170509,20170509,28.299,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.58,Isabel,NA,NA,NA,NA,50.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,17063,12,4,3,2800,2612.89,2488.3,2516.92,1.01,7.22,Y,20170509,20170509,27.798,170505,05/05/17,2.79,12.90,32.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.12,Isabel,NA,NA,NA,NA,49.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,17067,4,2,1,400,2359.13,2470.99,545.47,2.98,7.83,Y,20170509,20170509,17.092,170504,05/04/17,2.76,13.00,32.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.76,Isabel,NA,NA,NA,NA,29.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
