Rank,ID,Tank_ID,shelf,tank,pCO2,survival,sample_date,PercentChangePerDay_DW2_DW3,PercentChangePerDayStandardized_Exposure
127,17001,3,1,3,400,Y,20170724,-0.0112,0.0128
128,17041,18,6,3,2800,Y,20170724,-0.0233,0.0230
129,17042,13,5,1,900,Y,20170724,0.0043,-0.0125
130,17052,5,2,2,400,Y,20170724,-0.0299,-0.0202
131,17085,16,6,1,2800,Y,20170724,-0.0245,0.0050
132,17106,14,5,2,900,Y,20170724,-0.0070,0.0190
133,17111,4,2,1,400,Y,20170724,0.0253,0.0142
134,17113,1,1,1,400,Y,20170724,-0.0001,-0.0105
135,17120,7,3,1,900,Y,20170724,0.0101,0.0307
136,17129,12,4,3,2800,Y,20170724,-0.0436,0.0270
137,17133,10,4,1,2800,Y,20170724,-0.0261,-0.0268
138,17143,2,1,2,400,Y,20170724,0.0128,0.0031
139,17158,9,3,3,900,Y,20170724,-0.0496,0.0179
140,17166,6,2,3,400,Y,20170724,0.0312,-0.0174
141,17170,11,4,2,2800,Y,20170724,-0.0268,-0.0359
142,17206,8,3,2,900,Y,20170724,0.0077,-0.0396
143,17210,17,6,2,2800,Y,20170724,-0.0387,-0.0203
144,17218,15,5,3,900,Y,20170724,-0.0280,0.0869
145,17007,2,1,2,400,Y,20170822,0.0168,0.0185
146,17012,7,3,1,900,Y,20170822,-0.0010,0.0126
147,17019,12,4,3,2800,Y,20170822,-0.0560,-0.0552
148,17027,8,3,2,900,Y,20170822,-0.0004,0.0183
149,17029,13,5,1,900,Y,20170822,-0.0037,-0.0031
150,17079,6,2,3,400,Y,20170822,0.0091,0.0069
151,17082,9,3,3,900,Y,20170822,0.0174,-0.0023
152,17094,17,6,2,2800,Y,20170822,-0.0457,-0.0271
153,17099,3,1,3,400,Y,20170822,-0.0243,-0.0085
154,17130,18,6,3,2800,Y,20170822,-0.0354,-0.0598
155,17145,16,6,1,2800,Y,20170822,-0.0204,-0.0321
156,17178,11,4,2,2800,Y,20170822,-0.0433,-0.0035
157,17203,4,2,1,400,Y,20170822,0.0254,0.0301
158,17204,15,5,3,900,Y,20170822,0.0046,-0.0037
159,17208,14,5,2,900,Y,20170822,0.0025,0.0185
160,17211,5,2,2,400,Y,20170822,-0.0347,-0.0287
161,17213,10,4,1,2800,Y,20170822,-0.0228,-0.0094
162,17005,5,2,2,400,Y,20170824,0.0039,0.0247
163,17043,16,6,1,2800,Y,20170824,-0.0342,-0.0349
164,17051,10,4,1,2800,Y,20170824,-0.0243,0.0382
165,17062,6,2,3,400,Y,20170824,-0.0205,-0.0193
166,17068,8,3,2,900,Y,20170824,-0.0191,0.0072
167,17089,7,3,1,900,Y,20170824,-0.0004,-0.0392
168,17123,13,5,1,900,Y,20170824,0.0090,0.0047
170,17153,12,4,3,2800,Y,20170824,-0.0188,-0.0250
171,17156,15,5,3,900,Y,20170824,-0.0126,-0.0083
172,17159,11,4,2,2800,Y,20170824,-0.0239,-0.0554
173,17168,9,3,3,900,Y,20170824,-0.0211,-0.0290
