ID,experiment,Acc_Exp,shelf,tank,tankID,exp_pCO2,pCO2,PopOrigin,length,width,pop,DrillDate,survival,survival_date,sample_index,tpnum_actual,sample_date,t_start,t_shuck,t_end,g_index,g_collect,g_20,m_tissue,dm_tissue,g_tissue,p_fluid,wet_wgt,tin_wgt,dry_wgt,wet_wgtcorr,dry_wgtcorr,bag_wgt,totalshell_wgt,shell_wgt,dry_end_meas,Hard_Nell_Index,Hard_Nell_Size_Correction,ShellWt_ShellSizeCor,Simple_ConditionIndex,Repair_Shell_Quality,notes
17001,exposure,Exposure,1,3,3,400,400,Rowley2-Sawyers,3.586,2.523,Rowley2,20170427,Y,20170724,129,8,20170724,13:37,13:45,13:49,0,N,N,Y,Y,Y,Y,5.23,1.29,1.867,3.94,0.577,NA,NA,NA,53.827,2.720692227,0.7586983344,5.949392748,19.18280205,2,0=None; 1=Removed; 2=Minimal; 3=Minor; 4=Some; 5=Lots
17002,exposure,Acclimation,2,2,5,400,400,Rowley1-RR,3.099,2.162,Rowley,20170427,Y,20170509,5,1,20170509,NA,13:30,NA,0,Y,NA,Y,Y,Y,Y,6.25,1.31,1.12,4.94,-0.19,6.67,56.56,49.89,49.89,-0.7709268082,-0.2487663144,7.446226424,-7.340319572,2,
17003,exposure,Acclimation,4,2,11,2800,400,Ipswich,3.094,1.96,Ipswich,20170427,Y,20170517,29,2,20170517,10:47,11:00,11:05,0,N,NA,Y,Y,Y,Y,4.01,1.29,1.62,2.72,0.33,11.41,52.3,40.89,40.89,2.967070908,0.9589757297,6.742807013,13.40064646,0,
17004,calcein,Calcein,6,3,18,2800,2800,Rowley2-Sawyers,3.223,2.091,Rowley2,20170427,Y,20170915,202,11,20170915,14:14,14:16,14:18,0,N,N,Y,Y,Y,N,4.07,1.31,NA,NA,NA,NA,NA,NA,38.563,#VALUE!,#VALUE!,5.722113581,#VALUE!,1,
17005,exposure,Exposure,1,1,1,400,400,Rowley1-RR,4.279,2.077,Rowley,20170427,Y,20170822,162,10,20170824,11:03,11:05,11:10,0,N,N,Y,Y,Y,Y,7.62,1.27,1.985,6.35,0.715,NA,NA,NA,73.613,1.529599734,0.3574666356,8.282772524,23.9837258,3,
17006,exposure,Acclimation,3,2,8,900,400,Ipswich,2.707,1.852,Ipswich,20170427,Y,20170517,26,2,20170517,13:57,14:07,14:14,0,Y,NA,Y,Y,Y,Y,5.44,1.27,1.75,4.17,0.48,11.31,51.87,40.56,40.56,2.837966313,1.048380611,8.090376043,21.43762246,2,
17007,exposure,Exposure,1,2,2,400,400,Rowley2-Sawyers,2.934,1.425,Rowley2,20170427,Y,20170822,145,9,20170822,11:08,11:12,11:17,0,N,N,Y,Y,Y,Y,2.63,1.28,1.457,1.35,0.177,NA,NA,NA,17.054,7.687997602,2.620312748,4.078977266,8.656369366,0,
17008,exposure,Exposure,2,2,5,400,400,Rowley1-RR,3.101,1.852,Rowley,20170427,Y,20170626,113,7,20170626,13:06,13:12,13:17,0,N,NA,Y,Y,Y,Y,4.71,1.29,1.86,3.42,0.57,NA,NA,NA,27.208,6.125649319,1.97537869,4.737550696,23.78501783,1,
17009,exposure,Acclimation,6,3,18,2800,400,Ipswich,3.838,2.181,Ipswich,20170427,Y,20170509,18,1,20170509,NA,15:32,NA,0,N,NA,Y,Y,Y,Y,5.96,1.27,0.88,4.69,-0.39,11.4,75.25,63.85,63.85,-1.302359441,-0.3393328403,7.627817006,-13.47982609,0,
17010,exposure,Acclimation,5,2,14,900,400,Rowley2-Sawyers,3.31,1.992,Rowley2,20170427,Y,20170602,50,3,20170602,14:28,14:38,14:42,0,N,NA,Y,Y,Y,N,6.1,1.3,2.09,4.8,0.79,11.48,49.11,37.63,37.63,4.373726637,1.321367564,5.707118504,30.76581522,3,
17011,exposure,Exposure,5,2,14,900,900,Rowley1-RR,7.55,2.358,Rowley,20170427,Y,20170605,66,4,20170605,14:22,14:30,14:35,0,N,NA,Y,Y,Y,Y,11.59,1.29,2.31,10.3,1.02,11.55,133.45,121.9,121.9,0.8123800346,0.1076000046,6.847199052,24.17434944,0,Shelf 3 heaters were disconnected; start temp 56 9am
17012,exposure,Exposure,3,1,7,900,900,Ipswich,3.81,2.311,Ipswich,20170427,Y,20170822,150,9,20170822,14:08,14:14,14:18,0,N,N,Y,Y,Y,Y,5.38,1.29,1.918,4.09,0.628,NA,NA,NA,47.354,3.24249762,0.851049244,5.378135608,21.16397224,3,
17013,exposure,Exposure,2,2,5,400,400,Rowley2-Sawyers,4.446,2.338,Rowley2,20170427,Y,20170613,95,6,20170613,14:17,14:20,14:25,0,N,NA,Y,Y,Y,Y,9.26,1.29,2.4,7.97,1.11,11.39,76.96,65.57,65.57,2.124024264,0.4777382511,6.307993229,34.4283331,NA,"Extrapallial fluid may be contaminated, chamber flooded before measurement"
17014,exposure,Acclimation,5,2,14,900,400,Rowley1-RR,4.191,2.362,Rowley,20170427,Y,20170509,14,1,20170509,NA,14:04,NA,0,Y,NA,Y,Y,Y,Y,5.77,1.29,0.93,4.48,-0.36,6.63,72.17,65.54,65.54,-1.226077859,-0.292550193,6.620775821,-11.4420469,3,Not sure drilled through. P1 to Louise/no P2. M1/M2 mantle mangled a little
17015,exposure,DEAD,NA,NA,NA,NA,NA,Ipswich,3.909,2.403,Ipswich,20170427,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,
17016,exposure,Acclimation,5,1,13,900,400,Rowley2-Sawyers,4.86,2.157,Rowley2,20170427,Y,20170509,13,1,20170509,NA,11:40,NA,0,N,NA,Y,Y,Y,Y,7.64,1.28,1.06,6.36,-0.22,6.65,78.83,72.18,72.18,-0.4792351755,-0.09860806081,6.885420423,-6.794843738,0,
17017,exposure,Acclimation,1,1,1,400,400,Rowley1-RR,3.216,1.897,Rowley,20170427,Y,20170517,19,2,20170517,10:39,10:49,10:55,0,Y,NA,Y,Y,Y,Y,5.41,1.3,1.94,4.11,0.64,11.39,50.36,38.97,38.97,3.995836837,1.242486579,6.387737118,25.91124546,5,
17018,exposure,Acclimation,1,3,3,400,400,Ipswich,3.078,2.058,Ipswich,20170427,Y,20170509,3,1,20170509,NA,12:30,NA,0,N,NA,Y,Y,Y,Y,3.36,1.29,0.54,2.07,-0.75,11.38,39.72,28.34,28.34,-12.78471562,-4.153578823,4.47389575,-29.79917704,0,
