"","ID","Date","Acc_Exp","shelf","tank","tankID","pCO2","length","width","pop","Timepoint","pHMeasured","pHNBS","pHSW","pHTotal","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","delta_ph_NBS","delta_ph_total"
"1",17011,2017-06-05,"Exposure",5,2,14,900,7.55,2.358,"Rowley",1,7.09,7,6.87,6.88,18,30.52,2007.97,2083.55,7.68,966.6,1.85,1.18,18,30.523,7.831,7.701,7.709,7.541,-0.831,-0.829
"2",17020,2017-06-05,"Exposure",3,3,9,900,3.755,2.099,"Ipswich",1,7.7,7.62,7.49,7.5,17.4,30.52,2002.9,2082.91,7.7,910.7,1.89,1.21,17.4,30.523,7.792,7.661,7.67,7.502,-0.172,-0.17
"3",17023,2017-06-05,"Exposure",4,2,11,2800,3.696,2.131,"Ipswich",1,7.05,6.96,6.83,6.84,18.2,30.52,2214.57,2131.86,7.17,3427.4,0.63,0.4,18.2,30.523,7.391,7.261,7.27,7.102,-0.431,-0.43
"4",17049,2017-06-05,"Exposure",2,2,5,400,4.7,2.283,"Ipswich",1,8.21,8.13,8,8.01,17.9,30.52,1936.97,2063.5,7.83,645.4,2.51,1.61,17.9,30.523,8.079,7.949,7.958,7.789,0.0510000000000002,0.0519999999999996
"5",17054,2017-06-05,"Exposure",4,3,12,2800,3.435,2.719,"Rowley",1,7.88,7.8,7.66,7.68,18.8,30.52,2198.41,2142.05,7.24,2928.7,0.75,0.48,18.8,30.523,7.397,7.267,7.275,7.107,0.403,0.404999999999999
"6",17066,2017-06-05,"Exposure",6,3,18,2800,5.322,2.794,"Rowley",1,7.1,7.02,6.89,6.9,17.6,30.52,2168.47,2112.64,7.25,2784.4,0.73,0.46,17.6,30.523,7.386,7.255,7.264,7.096,-0.366000000000001,-0.364
"7",17098,2017-06-05,"Exposure",4,1,10,2800,4.453,2.251,"Rowley2",1,7.47,7.38,7.25,7.26,17.8,30.52,2156.1,2119.87,7.31,2428.4,0.84,0.54,17.8,30.523,7.374,7.244,7.253,7.085,0.00600000000000023,0.00699999999999967
"8",17119,2017-06-05,"Exposure",1,3,3,400,5.387,2.004,"Ipswich",1,7.1,7.02,6.89,6.9,18.1,30.52,1913.17,2068.18,7.91,536.6,2.93,1.87,18.1,30.523,8.108,7.977,7.986,7.818,-1.088,-1.086
"9",17131,2017-06-05,"Exposure",6,2,17,2800,3.983,1.8,"Ipswich",1,7.31,7.22,7.09,7.1,17.6,30.52,2170.23,2115.39,7.25,2766.5,0.73,0.47,17.6,30.523,7.38,7.25,7.258,7.09,-0.16,-0.158
"10",17138,2017-06-05,"Exposure",2,1,4,400,3.127,1.58,"Rowley2",1,7.28,7.2,7.07,7.08,17.9,30.52,1934.24,2067.49,7.85,617.3,2.61,1.67,17.9,30.523,8.079,7.949,7.958,7.789,-0.879,-0.878
