ID,PCO2,Date,LongDate,Step,Timepoint,pHMeasured,pHNBS,pHSW,pHTotal
17001,400,7/24/2017,20170724,Exposure,50,7.23,7.14,7.01,7.02
17007,400,8/22/2017,20170822,Exposure,80,7.46,7.37,7.23,7.24
17008,400,6/26/2017,20170626,Exposure,22,6.67,6.59,6.46,6.47
17011,900,6/5/2017,20170605,Exposure,1,7.09,7.00,6.87,6.88
17012,900,8/22/2017,20170822,Exposure,80,7.47,7.39,7.25,7.26
17013,400,6/13/2017,20170613,Exposure,9,7.39,7.30,7.17,7.18
17019,2800,8/22/2017,20170822,Exposure,80,7.15,7.06,6.93,6.94
17020,900,6/5/2017,20170605,Exposure,1,7.70,7.62,7.49,7.50
17022,2800,6/26/2017,20170626,Exposure,22,7.28,7.19,7.06,7.07
17023,2800,6/5/2017,20170605,Exposure,1,7.05,6.96,6.83,6.84
17026,2800,6/6/2017,20170606,Exposure,2,6.75,6.67,6.54,6.55
17027,900,8/22/2017,20170822,Exposure,80,7.56,7.47,7.34,7.35
17028,400,6/26/2017,20170626,Exposure,22,7.66,7.58,7.44,7.46
17029,900,8/22/2017,20170822,Exposure,80,7.44,7.36,7.22,7.23
17030,900,6/26/2017,20170626,Exposure,22,7.45,7.36,7.23,7.24
17031,900,6/13/2017,20170613,Exposure,9,7.20,7.12,6.99,7.00
17032,900,6/6/2017,20170606,Exposure,2,7.37,7.29,7.16,7.17
17036,2800,6/6/2017,20170606,Exposure,2,7.89,7.81,7.68,7.69
17040,2800,6/6/2017,20170606,Exposure,2,6.84,6.75,6.62,6.63
17041,2800,7/24/2017,20170724,Exposure,50,7.21,7.13,6.99,7.00
17042,900,7/24/2017,20170724,Exposure,50,7.55,7.47,7.33,7.34
17045,2800,6/6/2017,20170606,Exposure,2,6.97,6.88,6.75,6.76
17048,900,6/26/2017,20170626,Exposure,22,7.40,7.31,7.18,7.19
17049,400,6/5/2017,20170605,Exposure,1,8.21,8.13,8.00,8.01
17050,2800,6/6/2017,20170606,Exposure,2,7.01,6.92,6.79,6.80
17052,400,7/24/2017,20170724,Exposure,50,7.44,7.36,7.22,7.23
17053,2800,6/26/2017,20170626,Exposure,22,7.52,7.43,7.30,7.31
17054,2800,6/5/2017,20170605,Exposure,1,7.88,7.80,7.66,7.68
