ID,experiment,Acc_Exp,shelf,tank,tankID,pCO2,length,width,pop,sample_date,Timepoint
17011,exposure,Exposure,5,2,14,900,7.55,2.358,Rowley,20170605,1
17020,exposure,Exposure,3,3,9,900,3.755,2.099,Ipswich,20170605,1
17023,exposure,Exposure,4,2,11,2800,3.696,2.131,Ipswich,20170605,1
17049,exposure,Exposure,2,2,5,400,4.7,2.283,Ipswich,20170605,1
17054,exposure,Exposure,4,3,12,2800,3.435,2.719,Rowley,20170605,1
17066,exposure,Exposure,6,3,18,2800,5.322,2.794,Rowley,20170605,1
17098,exposure,Exposure,4,1,10,2800,4.453,2.251,Rowley2,20170605,1
17119,exposure,Exposure,1,3,3,400,5.387,2.004,Ipswich,20170605,1
17131,exposure,Exposure,6,2,17,2800,3.983,1.8,Ipswich,20170605,1
17138,exposure,Exposure,2,1,4,400,3.127,1.58,Rowley2,20170605,1
17141,exposure,Exposure,3,1,7,900,2.513,2.045,Rowley2,20170605,1
17186,exposure,Exposure,2,3,6,400,3.781,2.148,Rowley,20170605,1
17189,exposure,Exposure,1,2,2,400,5.373,2.222,Rowley,20170605,1
17196,exposure,Exposure,5,1,13,900,3.941,2.612,Rowley2,20170605,1
17199,exposure,Exposure,6,1,16,2800,2.899,1.585,Rowley2,20170605,1
17212,exposure,Exposure,5,3,15,900,3.409,2.374,Ipswich,20170605,1
17215,exposure,Exposure,3,2,8,900,2.03,1.997,Rowley,20170605,1
17217,exposure,Exposure,1,1,1,400,2.419,1.848,Rowley2,20170605,1
17026,exposure,Exposure,6,1,16,2800,3.971,2.663,Ipswich,20170606,2
17032,exposure,Exposure,3,2,8,900,4.055,2.135,Ipswich,20170606,2
17036,exposure,Exposure,4,3,12,2800,2.36,2.144,Rowley2,20170606,2
17040,exposure,Exposure,4,2,11,2800,4.415,2.609,Ipswich,20170606,2
17045,exposure,Exposure,6,2,17,2800,4.087,2.017,Rowley,20170606,2
17050,exposure,Exposure,6,3,18,2800,4.35,2.097,Rowley2,20170606,2
17061,exposure,Exposure,1,3,3,400,3.739,2.289,Rowley2,20170606,2
17065,exposure,Exposure,5,1,13,900,3.566,2.058,Rowley,20170606,2
17080,exposure,Exposure,5,2,14,900,3.322,2.372,Ipswich,20170606,2
17104,exposure,Exposure,2,3,6,400,3.947,1.813,Rowley2,20170606,2
17117,exposure,Exposure,2,2,5,400,5.018,2.397,Ipswich,20170606,2
17147,exposure,Exposure,4,1,10,2800,4.948,1.615,Rowley,20170606,2
17155,exposure,Exposure,3,3,9,900,2.498,1.876,Rowley2,20170606,2
17187,exposure,Exposure,5,3,15,900,3.33,1.93,Rowley2,20170606,2
17195,exposure,Exposure,1,1,1,400,5.115,1.813,Rowley,20170606,2
17198,exposure,Exposure,3,1,7,900,2.713,1.894,Rowley,20170606,2
17207,exposure,Exposure,2,1,4,400,2.921,2.149,Rowley,20170606,2
17220,exposure,Exposure,1,2,2,400,3.746,2.213,Ipswich,20170606,2
17013,exposure,Exposure,2,2,5,400,4.446,2.338,Rowley2,20170613,9
17031,exposure,Exposure,5,1,13,900,3.089,1.675,Rowley,20170613,9
17069,exposure,Exposure,1,1,1,400,4.999,2.539,Ipswich,20170613,9
17070,exposure,Exposure,1,2,2,400,4.804,2.232,Rowley2,20170613,9
17072,exposure,Exposure,4,3,12,2800,4.074,2.292,Rowley,20170613,9
17090,exposure,Exposure,6,2,17,2800,5.49,2.316,Rowley2,20170613,9
17093,exposure,Exposure,3,3,9,900,4.47,2.838,Rowley,20170613,9
