"","ID","Date","Timepoint","TankID","shelf","tank","pCO2","PopOrigin","length","width","DrillDate","t_start","t_shuck","t_end","g_index","g_collect","g_20","m_tissue","dm_tissue","g_tissue","p_fluid","wet_wgt","tin_wgt","dry_wgt","wet_wgtcorr","dry_wgtcorr","bag_wgt","totalshell_wgt","shell_wgt","dry_end_meas","Hard_Nell_Index","Hard_Nell_Size_Correction","ShellWt_ShellSizeCor","Simple_ConditionIndex","Repair_Shell_Quality","notes.x","buoyant_bw1","date_bw1","asDate_bw1","StandardWgt_bw1","Temp_bw1","Salinity_bw1","buoyant_bw2","date_bw2","asDate_bw2","StandardWgt_bw2","Temp_bw2","Salinity_bw2","buoyant_bw3","date_bw3","asDate_bw3","StandardWgt_bw3","Temp_bw3","Salinity_bw3","density_bw1","density_bw2","density_bw3","DayDiff_bw1_bw2","DayDiff_bw2_bw3","DensityCorrection_bw2","StandardCorrection_bw2","DensityCorrection_bw3","StandardCorrection_bw3","DW1_calc","DW2pre_calc","DW2_calc","DW3_calc","dry_Shell_Wgt","Measurer","CompleteRecord","DryWgtDelta_DW1_DW2","PercentChange_DW1_DW2","PercentChangePerDay_DW1_DW2","DryWgtDelta_DW2_DW3","PercentChange_DW2_DW3","PercentChangePerDay_DW2_DW3","PercentChangePerDayStandardized_Exposure","notes.y","EPF_pH_raw","EPF_NBS_Corr","EPF_NBS_pH","EPF_Total_Corr","EPF_Total_pH","EPF_DIC","EPF_Salinity","EPF_Calcite_Calc","EPF_TA_Calc","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","Temp_Cal","Sal_Cal","CT_Cal","AT_Cal","pH_Cal","pCO2_Cal","CaSat_Cal","ArgSat_Cal"
"1",17001,2017-07-24,50,3,1,3,400,"Rowley2-Sawyers",3.586,2.523,20170427,"13:37","13:45","13:49",0,"N","N","Y","Y","Y","Y",5.23,1.29,1.867,3.94,0.577,NA,NA,NA,53.827,"2.720692227","0.7586983344",5.949392748,19.18280205,2,"0=None; 1=Removed; 2=Minimal; 3=Minor; 4=Some; 5=Lots",32.65,170505,"05/05/17",2.79,12.9,32.53,32.455,170531,"05/31/17",2.79,17.2,29.47,32.323,170705,"07/05/17",2.79,17,NA,1.0245,1.02123,1.0226,26,35,32.56,32.45,32.28,32.33,58.26,57.89,57.89,57.67,53.83,"Louise",1,-0.3649,-0.6264,-0.0241,-0.227,-0.3936,-0.0112,0.0128,"",7.230326296,0.079423,7.309749,-0.020434,7.209893,NA,NA,NA,NA,17.7,30.777133078,1954.5697332,2107.9823184,7.8986,556.46,2.918,1.866,17.9714285714286,30.8421312271429,8.13208142857143,8.00871142857143,8.00916499871429,7.82692,17.5333333333333,30.5660055833333,1925.63579233333,2078.63817833333,7.907,536.233333333333,2.89333333333333,1.85
"2",17007,2017-08-23,80,2,1,2,400,"Rowley2-Sawyers",2.934,1.425,20170427,"11:08","11:12","11:17",0,"N","N","Y","Y","Y","Y",2.63,1.28,1.457,1.35,0.177,NA,NA,NA,17.054,"7.687997602","2.620312748",4.078977266,8.656369366,0,"",9.963,170506,"05/06/17",2.8,13,32.67,9.959,170601,"06/01/17",2.8,17,29.6,9.986,170705,"07/05/17",2.79,17,NA,1.02459,1.02138,1.0226,26,34,9.99,10,9.97,10.01,15.87,15.94,15.87,15.96,17.05,"Louise",1,-0.0069,-0.0432,-0.0017,0.0912,0.5714,0.0168,0.0185,"",7.455279862,0.079423,7.534703,-0.020434,7.434846,NA,NA,NA,NA,18.1142857142857,30.8458971514286,1967.19961314286,2121.993538,7.89,582.785714285714,2.96142857142857,1.89857142857143,19.3428571428571,31.0236142414286,8.08025428571429,7.95616142857143,7.95661570942857,7.77329714285714,17.5333333333333,30.5660055833333,1944.45466866667,2082.163501,7.862,627.566666666667,2.69333333333333,1.72333333333333
"3",17008,2017-06-26,22,5,2,2,400,"Rowley1-RR",3.101,1.852,20170427,"13:06","13:12","13:17",0,"N",NA,"Y","Y","Y","Y",4.71,1.29,1.86,3.42,0.57,NA,NA,NA,27.208,"6.125649319","1.97537869",4.737550696,23.78501783,1,"",16.333,170505,"05/05/17",2.79,12.9,32.53,15.878,170531,"05/31/17",2.81,17.2,29.47,NA,NA,NA,NA,NA,NA,1.0245,1.02123,NA,NA,NA,15.93,15.81,NA,NA,27.77,26.8,26.92,NA,27.21,"Louise",0,NA,NA,NA,NA,NA,NA,NA,"",6.672413793,0.079423,6.751837,-0.020434,6.65198,NA,NA,NA,NA,17.3333333333333,30.5660055833333,1935.80093233333,2066.05191366667,7.84733333333333,626.533333333333,2.56,1.63666666666667,16.8571428571429,30.6861221985714,8.20902285714286,8.08628,8.08672841342857,7.90540571428571,NA,NA,NA,NA,NA,NA,NA,NA
"4",17011,2017-06-05,1,14,5,2,900,"Rowley1-RR",7.55,2.358,20170427,"14:22","14:30","14:35",0,"N",NA,"Y","Y","Y","Y",11.59,1.29,2.31,10.3,1.02,11.55,133.45,121.9,121.9,"0.8123800346","0.1076000046",6.847199052,24.17434944,0,"Shelf 3 heaters were disconnected; start temp 56 9am",65.26,170506,"05/06/17",2.8,13,32.67,65.03,170530,"05/30/17",2.8,17.2,29.43,NA,NA,NA,NA,NA,NA,1.02459,1.0212,NA,NA,NA,65.25,65.32,NA,NA,119.18,119.28,118.75,NA,121.9,"Isabel",0,NA,NA,NA,NA,NA,NA,NA,"Yellow P2",7.086372195,0.079423,7.165795,-0.020434,7.065939,NA,NA,NA,NA,18,30.52271327,2007.967781,2083.553736,7.678,966.6,1.85,1.18,17.7,29.976523415,7.924815,7.80491,7.8053482875,7.628215,NA,NA,NA,NA,NA,NA,NA,NA
"5",17012,2017-08-23,80,7,3,1,900,"Ipswich",3.81,2.311,20170427,"14:08","14:14","14:18",0,"N","N","Y","Y","Y","Y",5.38,1.29,1.918,4.09,0.628,NA,NA,NA,47.354,"3.24249762","0.851049244",5.378135608,21.16397224,3,"",28.959,170505,"05/05/17",2.79,12.9,32.53,28.862,170531,"05/31/17",2.79,17.2,29.47,28.843,170705,"07/05/17",2.79,17,NA,1.0245,1.02123,1.0226,26,35,28.95,28.87,28.8,28.85,51.36,51.19,51.18,51.16,47.35,"Louise",1,-0.1818,-0.354,-0.0136,-0.0186,-0.0364,-0.001,0.0126,"",7.472590883,0.079423,7.552014,-0.020434,7.452157,3788.05,32.081,1.97,3772.6,18.075,30.8918150225,2057.0211705,2127.22981525,7.65320875,1054.2135,1.8100975,1.1599075,19.7571428571429,31.0620901728571,7.82593428571429,7.70168857142857,7.70214308771429,7.51859857142857,17.375,30.7527124375,2034.85212425,2104.5855655,7.66475,1015.775,1.7825,1.14
"6",17013,2017-06-13,9,5,2,2,400,"Rowley2-Sawyers",4.446,2.338,20170427,"14:17","14:20","14:25",0,"N",NA,"Y","Y","Y","Y",9.26,1.29,2.4,7.97,1.11,11.39,76.96,65.57,65.57,"2.124024264","0.4777382511",6.307993229,34.4283331,NA,"Extrapallial fluid may be contaminated, chamber flooded before measurement",37.542,170505,"05/05/17",2.79,12.9,32.53,37.228,170530,"05/30/17",2.8,17.2,29.43,NA,NA,NA,NA,NA,NA,1.0245,1.0212,NA,NA,NA,37.35,37.13,NA,NA,67.4,66.63,66.81,NA,65.57,"Isabel",0,NA,NA,NA,NA,NA,NA,NA,"",7.385795805,0.079423,7.465219,-0.020434,7.365362,NA,NA,NA,NA,17.55,30.30817371,1912.5652015,2025.712543,7.806,680.45,2.3,1.47,17.3666666666667,30.09945176,8.10600166666667,7.98560666666667,7.98604603183333,7.80819,NA,NA,NA,NA,NA,NA,NA,NA
"7",17019,2017-08-23,80,12,4,3,2800,"Rowley1-RR",3.974,2.059,20170427,"11:00","11:03","11:07",0,"N","N","Y","Y","Y","Y",7.09,1.29,1.997,5.8,0.707,NA,NA,NA,44.99,"2.709414353","0.6817851919",5.498342431,24.71595006,1,"Maybe dead/dying",28.342,170506,"05/06/17",2.8,13,32.67,28.336,170531,"05/31/17",2.81,17.2,29.47,27.701,170707,"07/07/17",2.79,16.7,NA,1.02459,1.02123,1.02267,25,37,28.43,28.35,27.66,27.79,50.21,50.23,50.2,49.18,44.99,"Louise",1,-0.0106,-0.0211,-8e-04,-1.0192,-2.0725,-0.056,-0.0552,"",7.149451818,0.079423,7.228875,-0.020434,7.129018,NA,NA,NA,NA,18.0625,30.90852973875,2082.949614625,2139.07752525,7.30828375,2480.918,0.86882625,0.55768625,19.1285714285714,31.03796867,7.35088857142857,7.22673857142857,7.22719478471429,7.04379285714286,17.55,30.7527124375,1982.34567075,2130.862156,7.31825,2403.1,0.8625,0.5525
"8",17020,2017-06-05,1,9,3,3,900,"Ipswich",3.755,2.099,20170427,"14:38","14:43","14:48",0,"Y",NA,"Y","Y","Y","Y",8.79,1.29,2.19,7.5,0.9,11.51,69.8,58.29,58.29,"2.058672156","0.5482482441",7.395570397,32.05762316,1,"Hole punched in tissue by syringe",33.112,170504,"05/04/17",2.76,13,32.43,33.03,170531,"05/31/17",2.79,17.2,29.47,NA,NA,NA,NA,NA,NA,1.02441,1.02123,NA,NA,NA,33.13,32.67,NA,NA,59.12,58.29,58.97,NA,58.29,"Isabel",0,NA,NA,NA,NA,NA,NA,NA,"",7.702493853,0.079423,7.781917,-0.020434,7.68206,NA,NA,NA,NA,17.4,30.52271327,2002.897836,2082.907693,7.701,910.7,1.89,1.21,17.3,29.910683745,7.904425,7.784785,7.7852224025,7.60848,NA,NA,NA,NA,NA,NA,NA,NA
"9",17022,2017-06-26,22,12,4,3,2800,"Rowley1-RR",3.095,2.497,20170427,"11:24","11:32","11:38",0,"Y",NA,"Y","Y","Y","Y",6.11,1.28,2.31,4.83,1.03,NA,NA,NA,52.629,"4.05195838","1.309194953",6.809981348,37.05080317,3,"",31.978,170506,"05/06/17",2.8,13,32.67,32,170601,"06/01/17",2.81,17,29.6,NA,NA,NA,NA,NA,NA,1.02459,1.02138,NA,NA,NA,32.1,32.01,NA,NA,57,57.07,57.04,NA,52.63,"Louise",0,NA,NA,NA,NA,NA,NA,NA,"",7.275862069,0.079423,7.355285,-0.020434,7.255428,NA,NA,NA,NA,17.6,30.5660055833333,1904.705035,2116.33748566667,7.32533333333333,2356.23333333333,0.87,0.556666666666667,17,30.7243843157143,7.52948714285714,7.40659285714286,7.40704280957143,7.22549285714286,NA,NA,NA,NA,NA,NA,NA,NA
"10",17023,2017-06-05,1,11,4,2,2800,"Ipswich",3.696,2.131,20170427,"13:15","13:21","13:25",0,"N",NA,"Y","Y","Y","Y",8.56,1.3,2.28,7.26,0.98,11.49,75.88,64.39,64.39,"2.096384934","0.5672037159",8.175287094,34.91952838,0,"",36.697,170506,"05/06/17",2.8,13,32.67,36.483,170530,"05/30/17",2.8,17.2,29.43,NA,NA,NA,NA,NA,NA,1.02459,1.0212,NA,NA,NA,36.6,36.63,NA,NA,65.82,65.69,65.42,NA,64.39,"Isabel",0,NA,NA,NA,NA,NA,NA,NA,"",6.971209268,0.079423,7.050632,-0.020434,6.950776,NA,NA,NA,NA,18.2,30.52271327,2214.570131,2131.860534,7.166,3427.4,0.63,0.4,17.65,29.910683745,7.709825,7.59018,7.590621025,7.41388,NA,NA,NA,NA,NA,NA,NA,NA
