ID,date,sample_date,acclimation_experimental,experimental_period,pCO2_target,temp_target,shelf,tank,tankID,salinity,salinity,temp,pH_scaleFree,pH_SW,pH_Total,corr_CT,corr_AT,complete,pH_out,fCO2_out,pCO2_out,HCO3_out,CO3_out,CO2_out,B_Alk_out,OH_out,P_Alk_out,Si_Alk_out,Revelle_out,Ca_out,Ar_out,CO2_dry_out
550_17_1-1_20170605_Exposure_9,06/05/17,20170605,Exposure,9,550,17,1,1,1,30.42,30.42,18.20,7.83,7.99,8.00,1902.42,2073.01,Y,7.94,485.50,487.20,1756.90,128.50,17.00,56.40,2.70,0.00,0.00,12.24,3.17,2.03,497.20
550_17_1-2_20170605_Exposure_9,06/05/17,20170605,Exposure,9,550,17,1,2,2,30.52,30.52,18.10,7.81,7.97,7.97,1899.83,2076.77,Y,7.96,467.00,468.60,1751.10,132.40,16.40,58.20,2.70,0.00,0.00,12.04,3.26,2.09,478.20
550_17_1-3_20170605_Exposure_9,06/05/17,20170605,Exposure,9,550,17,1,3,3,30.52,30.52,18.10,7.82,7.98,7.99,1913.17,2068.18,Y,7.91,534.70,536.60,1775.60,118.90,18.70,52.50,2.40,0.00,0.00,12.77,2.93,1.87,547.60
550_17_2-1_20170605_Exposure_9,06/05/17,20170605,Exposure,9,550,17,2,1,4,30.52,30.52,17.90,7.79,7.95,7.96,1934.24,2067.49,Y,7.85,615.20,617.30,1806.60,105.90,21.70,46.90,2.10,0.00,0.00,13.60,2.61,1.67,629.80
550_17_2-2_20170605_Exposure_9,06/05/17,20170605,Exposure,9,550,17,2,2,5,30.52,30.52,17.90,7.79,7.95,7.96,1936.97,2063.50,Y,7.83,643.20,645.40,1812.30,102.00,22.70,45.20,2.00,0.00,0.00,13.85,2.51,1.61,658.50
550_17_2-3_20170605_Exposure_9,06/05/17,20170605,Exposure,9,550,17,2,3,6,30.52,30.52,17.90,7.78,7.94,7.95,1918.23,2068.10,Y,7.90,548.80,550.70,1783.20,115.70,19.30,51.20,2.30,0.00,0.00,12.96,2.85,1.82,561.90
1000_17_3-1_20170605_Exposure_9,06/05/17,20170605,Exposure,9,1000,17,3,1,7,30.52,30.52,17.50,7.52,7.68,7.69,2027.87,2082.51,Y,7.62,1118.60,1122.50,1923.20,64.80,39.90,28.60,1.20,0.00,0.00,16.74,1.59,1.02,1144.70
1000_17_3-2_20170605_Exposure_9,06/05/17,20170605,Exposure,9,1000,17,3,2,8,30.52,30.52,17.40,7.50,7.66,7.66,2014.61,2083.95,Y,7.67,989.00,992.50,1907.50,71.70,35.40,31.70,1.30,0.00,0.00,16.26,1.76,1.13,1012.00
1000_17_3-3_20170605_Exposure_9,06/05/17,20170605,Exposure,9,1000,17,3,3,9,30.52,30.52,17.40,7.50,7.66,7.67,2002.90,2082.91,Y,7.70,907.50,910.70,1893.40,77.00,32.40,34.00,1.40,0.00,0.00,15.85,1.89,1.21,928.60
2800_17_4-1_20170605_Exposure_9,06/05/17,20170605,Exposure,9,2800,17,4,1,10,30.52,30.52,17.80,7.08,7.24,7.25,2156.10,2119.87,Y,7.31,2420.00,2428.40,2036.50,34.10,85.50,14.70,0.60,0.00,0.00,16.42,0.84,0.54,2477.40
2800_17_4-2_20170605_Exposure_9,06/05/17,20170605,Exposure,9,2800,17,4,2,11,30.52,30.52,18.20,7.10,7.26,7.27,2214.57,2131.86,Y,7.17,3415.50,3427.40,2069.80,25.40,119.30,10.80,0.40,0.00,0.00,14.37,0.63,0.40,3498.30
2800_17_4-3_20170605_Exposure_9,06/05/17,20170605,Exposure,9,2800,17,4,3,12,30.52,30.52,18.80,7.11,7.27,7.28,2198.41,2142.05,Y,7.24,2918.60,2928.70,2067.70,30.50,100.20,12.90,0.60,0.00,0.00,15.55,0.75,0.48,2991.70
1000_17_5-1_20170605_Exposure_9,06/05/17,20170605,Exposure,9,1000,17,5,1,13,30.52,30.52,18.00,7.55,7.71,7.72,2024.83,2068.73,Y,7.57,1237.40,1241.70,1921.50,59.90,43.50,26.40,1.10,0.00,0.00,16.95,1.47,0.94,1267.10
1000_17_5-2_20170605_Exposure_9,06/05/17,20170605,Exposure,9,1000,17,5,2,14,30.52,30.52,18.00,7.54,7.70,7.71,2007.97,2083.55,Y,7.68,963.20,966.60,1899.00,75.10,33.80,32.90,1.40,0.00,0.00,15.97,1.85,1.18,986.30
1000_17_5-3_20170605_Exposure_9,06/05/17,20170605,Exposure,9,1000,17,5,3,15,30.52,30.52,18.10,7.55,7.71,7.72,2011.74,2076.42,Y,7.64,1051.00,1054.60,1905.30,69.60,36.80,30.60,1.30,0.00,0.00,16.34,1.71,1.10,1076.30
2800_17_6-1_20170605_Exposure_9,06/05/17,20170605,Exposure,9,2800,17,6,1,16,30.52,30.52,17.60,7.07,7.23,7.24,2168.98,2115.12,Y,7.26,2737.00,2746.60,2041.70,30.00,97.30,13.00,0.50,0.00,0.00,15.72,0.74,0.47,2801.30
2800_17_6-2_20170605_Exposure_9,06/05/17,20170605,Exposure,9,2800,17,6,2,17,30.52,30.52,17.60,7.09,7.25,7.26,2170.23,2115.39,Y,7.25,2756.80,2766.50,2042.40,29.80,98.00,12.90,0.50,0.00,0.00,15.67,0.73,0.47,2821.60
2800_17_6-3_20170605_Exposure_9,06/05/17,20170605,Exposure,9,2800,17,6,3,18,30.52,30.52,17.60,7.10,7.26,7.26,2168.47,2112.64,Y,7.25,2774.60,2784.40,2040.30,29.50,98.60,12.80,0.50,0.00,0.00,15.62,0.73,0.46,2839.80
550_17_1-1_20170609_Exposure_9,06/09/17,20170609,Exposure,9,550,17,1,1,1,30.06,30.06,17.40,7.93,8.08,8.09,1890.29,2041.92,Y,7.92,513.30,515.10,1755.90,116.00,18.40,51.70,2.30,0.00,0.00,12.86,2.86,1.83,525.20
550_17_1-2_20170609_Exposure_9,06/09/17,20170609,Exposure,9,550,17,1,2,2,30.09,30.09,17.40,7.93,8.08,8.09,1887.52,2036.78,Y,7.91,519.90,521.70,1754.50,114.40,18.60,51.20,2.30,0.00,0.00,12.93,2.82,1.80,531.90
550_17_1-3_20170609_Exposure_9,06/09/17,20170609,Exposure,9,550,17,1,3,3,30.09,30.09,17.40,7.93,8.08,8.09,1887.63,2038.87,Y,7.92,513.80,515.60,1753.50,115.70,18.40,51.70,2.30,0.00,0.00,12.86,2.85,1.82,525.70
550_17_2-1_20170609_Exposure_9,06/09/17,20170609,Exposure,9,550,17,2,1,4,30.09,30.09,17.20,7.95,8.10,8.11,1889.52,2034.97,Y,7.90,528.40,530.30,1758.40,112.00,19.10,50.30,2.20,0.00,0.00,13.07,2.76,1.76,540.50
550_17_2-2_20170609_Exposure_9,06/09/17,20170609,Exposure,9,550,17,2,2,5,30.09,30.09,17.20,7.93,8.09,8.10,1888.16,1987.92,Y,7.78,713.00,715.50,1777.60,84.80,25.70,39.00,1.60,0.00,0.00,14.82,2.09,1.33,729.40
550_17_2-3_20170609_Exposure_9,06/09/17,20170609,Exposure,9,550,17,2,3,6,30.09,30.09,17.20,7.95,8.10,8.11,1875.10,2047.07,Y,7.97,447.00,448.50,1730.70,128.30,16.10,57.20,2.60,0.00,0.00,12.16,3.16,2.02,457.20
1000_17_3-1_20170609_Exposure_9,06/09/17,20170609,Exposure,9,1000,17,3,1,7,30.09,30.09,16.90,7.63,7.79,7.80,1959.48,2050.53,Y,7.75,789.30,792.10,1849.00,81.70,28.70,36.50,1.50,0.00,0.00,15.40,2.01,1.28,807.10
1000_17_3-2_20170609_Exposure_9,06/09/17,20170609,Exposure,9,1000,17,3,2,8,30.09,30.09,16.90,7.63,7.79,7.80,1952.15,2042.55,Y,7.75,788.90,791.70,1842.30,81.20,28.70,36.40,1.50,0.00,0.00,15.40,2.00,1.28,806.70
1000_17_3-3_20170609_Exposure_9,06/09/17,20170609,Exposure,9,1000,17,3,3,9,30.09,30.09,16.90,7.63,7.78,7.79,1920.04,2050.37,Y,7.87,587.60,589.70,1795.20,103.50,21.40,46.30,2.00,0.00,0.00,13.74,2.55,1.63,600.90
2800_17_4-1_20170609_Exposure_9,06/09/17,20170609,Exposure,9,2800,17,4,1,10,30.09,30.09,17.50,7.25,7.41,7.42,1811.71,2063.73,N,7.34,2171.50,2179.10,1977.80,35.00,77.60,15.40,0.60,0.00,0.00,16.77,0.86,0.55,2222.20
2800_17_4-2_20170609_Exposure_9,06/09/17,20170609,Exposure,9,2800,17,4,2,11,30.09,30.09,17.50,7.22,7.37,7.38,1718.53,2068.45,N,7.31,2373.70,2382.00,1989.00,32.40,84.80,14.20,0.60,0.00,0.00,16.37,0.80,0.51,2429.20
2800_17_4-3_20170609_Exposure_9,06/09/17,20170609,Exposure,9,2800,17,4,3,12,30.09,30.09,17.50,7.24,7.40,7.41,1345.15,2045.56,N,7.33,2214.30,2222.10,1962.40,33.80,79.10,15.00,0.60,0.00,0.00,16.63,0.83,0.53,2266.00
1000_17_5-1_20170609_Exposure_9,06/09/17,20170609,Exposure,9,1000,17,5,1,13,30.09,30.09,17.40,7.70,7.86,7.87,1252.08,2050.22,N,7.81,674.10,676.50,1817.10,94.70,24.20,42.10,1.80,0.00,0.00,14.38,2.33,1.49,689.80
1000_17_5-2_20170609_Exposure_9,06/09/17,20170609,Exposure,9,1000,17,5,2,14,30.09,30.09,17.40,7.68,7.84,7.85,1063.25,2051.40,N,7.80,706.40,708.90,1826.60,91.30,25.30,40.50,1.70,0.00,0.00,14.64,2.25,1.44,722.80
1000_17_5-3_20170609_Exposure_9,06/09/17,20170609,Exposure,9,1000,17,5,3,15,30.09,30.09,17.40,7.68,7.83,7.84,2006.50,2038.89,N,7.79,707.20,709.70,1816.50,90.20,25.30,40.30,1.70,0.00,0.00,14.66,2.22,1.42,723.60
2800_17_6-1_20170609_Exposure_9,06/09/17,20170609,Exposure,9,2800,17,6,1,16,30.13,30.13,17.00,7.26,7.42,7.43,2137.11,2057.32,Y,7.18,3164.50,3175.60,1998.40,23.90,114.70,10.70,0.40,0.00,0.00,14.45,0.59,0.38,3236.50
2800_17_6-2_20170609_Exposure_9,06/09/17,20170609,Exposure,9,2800,17,6,2,17,30.09,30.09,17.00,7.27,7.43,7.43,2125.40,2062.81,Y,7.23,2808.40,2818.40,1996.60,26.90,101.80,11.90,0.50,0.00,0.00,15.31,0.66,0.42,2872.30
2800_17_6-3_20170609_Exposure_9,06/09/17,20170609,Exposure,9,2800,17,6,3,18,30.09,30.09,17.00,7.25,7.41,7.42,2109.89,2057.62,Y,7.26,2600.30,2609.50,1986.80,28.80,94.30,12.80,0.50,0.00,0.00,15.78,0.71,0.45,2659.50
550_17_1-1_20170623_Exposure_80,06/23/17,20170623,Exposure,80,550,17,1,1,1,30.98,30.98,17.10,7.93,8.10,8.11,1983.08,2131.73,Y,7.89,569.70,571.70,1846.40,116.20,20.50,50.90,2.10,0.00,0.00,13.21,2.85,1.82,582.70
550_17_1-2_20170623_Exposure_80,06/23/17,20170623,Exposure,80,550,17,1,2,2,31.08,31.08,17.10,7.91,8.08,8.08,2046.02,2132.94,Y,7.72,889.20,892.40,1932.40,81.70,32.00,35.80,1.40,0.00,0.00,15.66,2.00,1.28,909.50
550_17_1-3_20170623_Exposure_80,06/23/17,20170623,Exposure,80,550,17,1,3,3,31.08,31.08,17.10,7.94,8.10,8.11,1976.11,2128.86,Y,7.90,554.50,556.50,1837.70,118.50,19.90,52.10,2.20,0.00,0.00,13.05,2.90,1.86,567.20
550_17_2-1_20170623_Exposure_80,06/23/17,20170623,Exposure,80,550,17,2,1,4,31.08,31.08,16.90,7.94,8.10,8.11,1982.45,2147.54,Y,7.93,515.10,516.90,1837.50,126.30,18.60,55.10,2.30,0.00,0.00,12.68,3.09,1.98,526.80
550_17_2-2_20170623_Exposure_80,06/23/17,20170623,Exposure,80,550,17,2,2,5,31.08,31.08,16.90,7.94,8.11,8.12,1982.27,2146.73,Y,7.93,516.80,518.70,1837.70,125.90,18.70,55.00,2.30,0.00,0.00,12.70,3.08,1.97,528.50
550_17_2-3_20170623_Exposure_80,06/23/17,20170623,Exposure,80,550,17,2,3,6,31.08,31.08,16.90,7.94,8.11,8.12,1980.60,2147.98,Y,7.94,507.80,509.60,1834.50,127.70,18.40,55.70,2.30,0.00,0.00,12.60,3.13,2.00,519.30
1000_17_3-1_20170623_Exposure_80,06/23/17,20170623,Exposure,80,1000,17,3,1,7,31.08,31.08,16.80,7.65,7.81,7.82,2072.14,2140.33,Y,7.66,1021.20,1024.90,1962.80,72.30,37.10,31.70,1.20,0.00,0.00,16.40,1.77,1.13,1044.20
1000_17_3-2_20170623_Exposure_80,06/23/17,20170623,Exposure,80,1000,17,3,2,8,30.98,30.98,16.80,7.66,7.82,7.83,2071.98,2134.06,Y,7.64,1065.90,1069.70,1964.00,69.20,38.70,30.40,1.20,0.00,0.00,16.60,1.70,1.08,1089.90
1000_17_3-3_20170623_Exposure_80,06/23/17,20170623,Exposure,80,1000,17,3,3,9,30.98,30.98,16.80,7.67,7.83,7.84,2055.21,2143.99,Y,7.73,870.40,873.50,1940.80,82.80,31.60,36.20,1.40,0.00,0.00,15.65,2.03,1.30,890.00
2800_17_4-1_20170623_Exposure_80,06/23/17,20170623,Exposure,80,2800,17,4,1,10,31.08,31.08,16.50,7.26,7.42,7.43,2170.67,2162.00,Y,7.41,1904.10,1910.90,2058.90,42.10,69.70,18.30,0.70,0.00,0.00,17.32,1.03,0.66,1946.30
2800_17_4-2_20170623_Exposure_80,06/23/17,20170623,Exposure,80,2800,17,4,2,11,31.05,31.05,16.50,7.26,7.42,7.43,2170.82,2161.28,Y,7.41,1916.00,1922.80,2058.90,41.80,70.10,18.20,0.70,0.00,0.00,17.31,1.02,0.65,1958.40
2800_17_4-3_20170623_Exposure_80,06/23/17,20170623,Exposure,80,2800,17,4,3,12,31.08,31.08,16.50,7.25,7.42,7.42,2170.55,2161.40,Y,7.41,1911.10,1917.90,2058.70,41.90,70.00,18.30,0.70,0.00,0.00,17.31,1.03,0.66,1953.40
1000_17_5-1_20170623_Exposure_80,06/23/17,20170623,Exposure,80,1000,17,5,1,13,31.08,31.08,16.80,7.68,7.85,7.86,2029.85,2147.97,Y,7.81,704.60,707.10,1905.50,98.80,25.60,43.20,1.70,0.00,0.00,14.46,2.42,1.55,720.50
1000_17_5-2_20170623_Exposure_80,06/23/17,20170623,Exposure,80,1000,17,5,2,14,31.15,31.15,16.80,7.68,7.85,7.86,2033.49,2148.15,Y,7.80,723.60,726.10,1910.40,96.80,26.20,42.40,1.70,0.00,0.00,14.60,2.37,1.52,739.80
1000_17_5-3_20170623_Exposure_80,06/23/17,20170623,Exposure,80,1000,17,5,3,15,31.08,31.08,16.80,7.71,7.87,7.88,2032.57,2151.25,Y,7.81,703.50,706.00,1907.90,99.20,25.50,43.30,1.70,0.00,0.00,14.45,2.43,1.55,719.30
