Date,acclimation_experimental,experimental_period,pCO2_target,shelf,tank,tankID,salinity,measured_pH,corr_CT,corr_AT,complete,pH_out,fCO2_out,pCO2_out,HCO3_out,CO3_out,CO2_out,B_Alk_out,OH_out,P_Alk_out,Si_Alk_out,Revelle_out,Ca_out,Ar_out,CO2_dry_out
2017-05-12,Acclimation,NA,550,2,1,4,30.10,7.88,142.91,2059.14,N,8,414.9,416.3,1720.9,137.3,14.9,60.8,2.8,0,0,11.735,3.39,2.16,424.5
2017-05-12,Acclimation,NA,550,2,2,5,30.14,7.89,1898.05,1985.01,Y,7.738,788.7,791.5,1791.6,78,28.4,35.9,1.5,0,0,15.359,1.92,1.23,806.9
2017-05-12,Acclimation,NA,550,2,3,6,30.20,7.87,1901.98,2061.15,Y,7.935,493.5,495.2,1763.3,120.9,17.8,53.7,2.4,0,0,12.644,2.98,1.9,504.8
2017-05-12,Acclimation,NA,550,3,1,7,30.20,7.89,1927.36,2057.85,Y,7.866,589.5,591.6,1802.2,103.7,21.5,46.4,1.9,0,0,13.75,2.55,1.63,602.8
2017-05-12,Acclimation,NA,550,3,2,8,30.27,7.87,1912.20,2055.71,Y,7.9,538,539.9,1781.4,111.2,19.6,49.8,2.1,0,0,13.22,2.74,1.75,550.1
2017-05-12,Acclimation,NA,550,3,3,9,30.30,7.86,1909.16,2055.51,Y,7.909,525.7,527.6,1777.2,112.8,19.2,50.7,2.1,0,0,13.112,2.78,1.77,537.5
2017-05-12,Acclimation,NA,550,4,1,10,30.20,7.87,1918.73,2059.97,Y,7.898,542.8,544.7,1788.9,109.9,19.9,49.2,2.1,0,0,13.336,2.71,1.73,554.9
2017-05-12,Acclimation,NA,550,4,2,11,30.20,7.88,1912.79,2059.48,Y,7.911,524.8,526.7,1780.4,113.2,19.2,50.6,2.1,0,0,13.119,2.79,1.78,536.6
2017-05-12,Acclimation,NA,550,4,3,12,30.20,7.87,202.29,2061.96,N,7.998,417.5,418.9,1730.6,134.4,15.3,60,2.6,0,0,11.891,3.31,2.11,426.8
2017-05-12,Acclimation,NA,550,5,1,13,30.07,7.75,1900.25,2063.92,Y,7.946,480.5,482.2,1759.2,123.8,17.3,54.7,2.4,0,0,12.498,3.05,1.95,491.6
2017-05-12,Acclimation,NA,550,5,2,14,30.17,7.85,1918.27,2061.50,Y,7.892,551.8,553.7,1787,111.5,19.8,49.4,2.2,0,0,13.238,2.75,1.75,564.6
2017-05-12,Acclimation,NA,550,5,3,15,30.20,7.88,1921.53,2061.42,Y,7.885,562.8,564.8,1791.8,109.5,20.3,48.6,2.1,0,0,13.369,2.7,1.72,575.7
