Date,Date_WQ,PCO2,Shelf,Tank,TankID,Date_VINDTA,acclimation_experimental,Exp_Temp,Time,Sal_AVG,Sal_Cert_Correction,Sal_Corr,mV_AVG,Temperature,Sal_Std_AVG,Sal_CRM_Cert,pH_7_Std_AVG,pH_10_Std_AVG,pH_Slope,pH_Intercept,pH_CRM_Std_AVG,pH_CRM_AVG,pH_CRM_Cert_NBS,pH_NBSperSalUnit,pH_CRM_CertSW,pH_CRM_Diff_SW,pH_CRM_CertTotal,pH_CRM_Diff_Total,pH_scaleFree,pH_NBS,pH_SW,pH_Total
2017-05-08,20170508,550,1,1,1,20170508,Acclimation,17,1:40 PM,30.17,1.003,30.089,-65.000,16.9,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.788,8.074,7.943,7.952
2017-05-08,20170508,550,1,2,2,20170508,Acclimation,17,1:40 PM,30.00,1.003,29.923,-65.000,16.91,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.788,8.072,7.942,7.950
2017-05-08,20170508,550,1,3,3,20170508,Acclimation,17,1:40 PM,30.13,1.003,30.056,-65.000,16.95,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.788,8.073,7.943,7.952
2017-05-08,20170508,550,2,1,4,20170508,Acclimation,17,1:40 PM,30.10,1.003,30.022,-67.667,16.5,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.833,8.118,7.988,7.996
2017-05-08,20170508,550,2,2,5,20170508,Acclimation,17,1:40 PM,30.13,1.003,30.056,-68.000,16.6,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.839,8.124,7.994,8.002
2017-05-08,20170508,550,2,3,6,20170508,Acclimation,17,1:40 PM,30.17,1.003,30.089,-64.667,16.4,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.782,8.068,7.938,7.946
2017-05-08,20170508,1000,3,1,7,20170508,Acclimation,17,1:40 PM,30.07,1.003,29.989,-66.000,16.25,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.805,8.090,7.959,7.968
2017-05-08,20170508,1000,3,2,8,20170508,Acclimation,17,1:40 PM,30.00,1.003,29.923,-66.000,16.3,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.805,8.089,7.959,7.967
2017-05-08,20170508,1000,3,3,9,20170508,Acclimation,17,1:40 PM,30.03,1.003,29.956,-65.667,16.2,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.799,8.084,7.953,7.962
2017-05-08,20170508,2800,4,1,10,20170508,Acclimation,17,1:40 PM,30.10,1.003,30.022,-65.333,16.85,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.794,8.079,7.948,7.957
2017-05-08,20170508,2800,4,2,11,20170508,Acclimation,17,1:40 PM,30.03,1.003,29.956,-66.000,17.3,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.805,8.089,7.959,7.968
2017-05-08,20170508,2800,4,3,12,20170508,Acclimation,17,1:40 PM,30.00,1.003,29.923,-65.667,16.7,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.799,8.083,7.953,7.962
2017-05-08,20170508,1000,5,1,13,20170508,Acclimation,17,1:40 PM,30.03,1.003,29.956,-68.667,16.5,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.850,8.134,8.004,8.013
2017-05-08,20170508,1000,5,2,14,20170508,Acclimation,17,1:40 PM,30.03,1.003,29.956,-67.667,16.5,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.833,8.118,7.987,7.996
2017-05-08,20170508,1000,5,3,15,20170508,Acclimation,17,1:40 PM,30.07,1.003,29.989,-68.000,16.4,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.839,8.123,7.993,8.002
2017-05-08,20170508,2800,6,1,16,20170508,Acclimation,17,1:40 PM,30.13,1.003,30.056,-64.667,15.3,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.782,8.068,7.937,7.946
2017-05-08,20170508,2800,6,2,17,20170508,Acclimation,17,1:40 PM,30.20,1.003,30.122,-64.667,15.4,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.782,8.068,7.938,7.947
2017-05-08,20170508,2800,6,3,18,20170508,Acclimation,17,1:40 PM,30.07,1.003,29.989,-65.000,15.4,33.433,33.347,-18.333,-196.000,-0.017,6.690,-66.333,7.811,8.071,0.009,7.940,-0.130,7.949,-0.122,7.788,8.073,7.942,7.951
2017-05-10,20170510,550,1,1,1,20170510,Acclimation,17,10:00 AM,30.40,0.997,30.504,-68.333,17.4,33.233,33.347,-23.333,-196.667,-0.017,6.596,-68.667,7.785,8.071,0.009,7.940,-0.130,7.949,-0.122,7.779,8.069,7.938,7.947
2017-05-10,20170510,550,1,2,2,20170510,Acclimation,17,10:00 AM,30.50,0.997,30.604,-67.000,17.4,33.233,33.347,-23.333,-196.667,-0.017,6.596,-68.667,7.785,8.071,0.009,7.940,-0.130,7.949,-0.122,7.756,8.046,7.916,7.925
2017-05-10,20170510,550,1,3,3,20170510,Acclimation,17,10:00 AM,30.57,0.997,30.671,-66.000,17.4,33.233,33.347,-23.333,-196.667,-0.017,6.596,-68.667,7.785,8.071,0.009,7.940,-0.130,7.949,-0.122,7.738,8.030,7.899,7.908
2017-05-10,20170510,550,2,1,4,20170510,Acclimation,17,10:00 AM,30.47,0.997,30.571,-67.000,17.4,33.233,33.347,-23.333,-196.667,-0.017,6.596,-68.667,7.785,8.071,0.009,7.940,-0.130,7.949,-0.122,7.756,8.046,7.916,7.924
