Date,Date_WQ,PCO2,Shelf,Tank,TankID,acclimation_experimental,Exp_Temp,Sal_Corr,Temperature,pH_scaleFree,pH_NBS,pH_SW,pH_Total
2017-06-05,20170605,550,1,1,1,Exposure_09,17,30.421,18.2,7.829,8.118,7.987,7.996
2017-06-05,20170605,550,1,2,2,Exposure_09,17,30.523,18.1,7.806,8.096,7.966,7.975
2017-06-05,20170605,550,1,3,3,Exposure_09,17,30.523,18.1,7.818,8.108,7.977,7.986
2017-06-05,20170605,550,2,1,4,Exposure_09,17,30.523,17.9,7.789,8.079,7.949,7.958
2017-06-05,20170605,550,2,2,5,Exposure_09,17,30.523,17.9,7.789,8.079,7.949,7.958
2017-06-05,20170605,550,2,3,6,Exposure_09,17,30.523,17.9,7.784,8.074,7.943,7.952
2017-06-05,20170605,1000,3,1,7,Exposure_09,17,30.523,17.5,7.519,7.809,7.678,7.687
2017-06-05,20170605,1000,3,2,8,Exposure_09,17,30.523,17.4,7.496,7.786,7.656,7.664
2017-06-05,20170605,1000,3,3,9,Exposure_09,17,30.523,17.4,7.502,7.792,7.661,7.67
2017-06-05,20170605,2800,4,1,10,Exposure_09,17,30.523,17.8,7.085,7.374,7.244,7.253
2017-06-05,20170605,2800,4,2,11,Exposure_09,17,30.523,18.2,7.102,7.391,7.261,7.27
2017-06-05,20170605,2800,4,3,12,Exposure_09,17,30.523,18.8,7.107,7.397,7.267,7.275
2017-06-05,20170605,1000,5,1,13,Exposure_09,17,30.523,18,7.547,7.837,7.706,7.715
2017-06-05,20170605,1000,5,2,14,Exposure_09,17,30.523,18,7.541,7.831,7.701,7.709
2017-06-05,20170605,1000,5,3,15,Exposure_09,17,30.523,18.1,7.547,7.837,7.706,7.715
2017-06-05,20170605,2800,6,1,16,Exposure_09,17,30.523,17.6,7.068,7.358,7.227,7.236
2017-06-05,20170605,2800,6,2,17,Exposure_09,17,30.523,17.6,7.09,7.38,7.25,7.258
2017-06-05,20170605,2800,6,3,18,Exposure_09,17,30.523,17.6,7.096,7.386,7.255,7.264
2017-06-06,20170606,550,1,1,1,Exposure_09,17,30.022,17.1,7.802,8.087,7.957,7.965
2017-06-06,20170606,550,1,2,2,Exposure_09,17,30.123,17.1,7.796,8.082,7.952,7.961
2017-06-06,20170606,550,1,3,3,Exposure_09,17,30.123,17.1,7.791,8.077,7.946,7.955
2017-06-06,20170606,550,2,1,4,Exposure_09,17,30.291,17.8,7.836,8.123,7.993,8.001
2017-06-06,20170606,550,2,2,5,Exposure_09,17,30.224,17.8,7.824,8.111,7.981,7.99
2017-06-06,20170606,550,2,3,6,Exposure_09,17,30.19,17.9,7.83,8.117,7.986,7.995
2017-06-06,20170606,1000,3,1,7,Exposure_09,17,30.157,17,7.505,7.791,7.661,7.669
2017-06-06,20170606,1000,3,2,8,Exposure_09,17,30.157,17.5,7.505,7.791,7.661,7.669
2017-06-06,20170606,1000,3,3,9,Exposure_09,17,30.123,17.5,7.51,7.796,7.666,7.675
2017-06-06,20170606,2800,4,1,10,Exposure_09,17,30.19,17,7.084,7.371,7.24,7.249
2017-06-06,20170606,2800,4,2,11,Exposure_09,17,30.157,17,7.095,7.382,7.251,7.26
2017-06-06,20170606,2800,4,3,12,Exposure_09,17,30.123,17.1,7.095,7.381,7.251,7.26
2017-06-06,20170606,1000,5,1,13,Exposure_09,17,30.224,18,7.555,7.842,7.712,7.72
2017-06-06,20170606,1000,5,2,14,Exposure_09,17,30.224,18.5,7.527,7.814,7.684,7.692
2017-06-06,20170606,1000,5,3,15,Exposure_09,17,30.123,18.5,7.55,7.836,7.705,7.714
2017-06-06,20170606,2800,6,1,16,Exposure_09,17,30.157,17.8,7.095,7.382,7.251,7.26
2017-06-06,20170606,2800,6,2,17,Exposure_09,17,30.224,17.5,7.09,7.377,7.246,7.255
2017-06-06,20170606,2800,6,3,18,Exposure_09,17,30.123,17.5,7.09,7.376,7.245,7.254
2017-06-07,20170607,550,1,1,1,Exposure_09,17,29.962,17.3,7.769,8.053,7.923,7.932
2017-06-07,20170607,550,1,2,2,Exposure_09,17,30.063,17.3,7.837,8.123,7.992,8.001
2017-06-07,20170607,550,1,3,3,Exposure_09,17,30.063,17.3,7.786,8.071,7.941,7.95
