"","ID","Date","Acc_Exp","shelf","tank","tankID","pCO2.x","length","width","pop","Timepoint","pCO2.y","pHMeasured","pHNBS","pHSW","pHTotal","Temp_Complete","Sal_Complete","CT_Complete","AT_Complete","pH_Complete","pCO2_Complete","CaSat_Complete","ArgSat_Complete","Temp_2W","Sal_2W","pH_NBS_2W","pH_SW_2W","pH_Total_2W","pH_scaleFree_2W","delta_ph_NBS","delta_ph_total"
"1",17011,2017-06-05,"Exposure",5,2,14,900,7.55,2.358,"Rowley",1,900,7.086372195,7.000735032623,6.87023700709887,6.88059119925885,18,30.52,2007.97,2083.55,7.68,966.6,1.85,1.18,18,30.523,7.831,7.701,7.709,7.541,-0.830264967377,-0.828408800741149
"2",17020,2017-06-05,"Exposure",3,3,9,900,3.755,2.099,"Ipswich",1,900,7.702493853,7.616856690623,7.48635866509887,7.49671285725885,17.4,30.52,2002.9,2082.91,7.7,910.7,1.89,1.21,17.4,30.523,7.792,7.661,7.67,7.502,-0.175143309377,-0.17328714274115
"3",17023,2017-06-05,"Exposure",4,2,11,2800,3.696,2.131,"Ipswich",1,2800,6.971209268,6.885572105623,6.75507408009887,6.76542827225885,18.2,30.52,2214.57,2131.86,7.17,3427.4,0.63,0.4,18.2,30.523,7.391,7.261,7.27,7.102,-0.505427894377,-0.504571727741149
"4",17049,2017-06-05,"Exposure",2,2,5,400,4.7,2.283,"Ipswich",1,400,7.046065171,6.960428008623,6.82992998309887,6.84028417525885,17.9,30.52,1936.97,2063.5,7.83,645.4,2.51,1.61,17.9,30.523,8.079,7.949,7.958,7.789,-1.118571991377,-1.11771582474115
"5",17054,2017-06-05,"Exposure",4,3,12,2800,3.435,2.719,"Rowley",1,2800,7.88099639,7.795359227623,7.66486120209887,7.67521539425885,18.8,30.52,2198.41,2142.05,7.24,2928.7,0.75,0.48,18.8,30.523,7.397,7.267,7.275,7.107,0.398359227623,0.40021539425885
"6",17066,2017-06-05,"Exposure",6,3,18,2800,5.322,2.794,"Rowley",1,2800,7.103646634,7.018009471623,6.88751144609887,6.89786563825885,17.6,30.52,2168.47,2112.64,7.25,2784.4,0.73,0.46,17.6,30.523,7.386,7.255,7.264,7.096,-0.367990528377,-0.366134361741151
"7",17098,2017-06-05,"Exposure",4,1,10,2800,4.453,2.251,"Rowley2",1,2800,7.380037658,7.294400495623,7.16390247009887,7.17425666225885,17.8,30.52,2156.1,2119.87,7.31,2428.4,0.84,0.54,17.8,30.523,7.374,7.244,7.253,7.085,-0.0795995043769997,-0.0787433377411499
"8",17119,2017-06-05,"Exposure",1,3,3,400,5.387,2.004,"Ipswich",1,400,7.466409853,7.380772690623,7.25027466509887,7.26062885725885,18.1,30.52,1913.17,2068.18,7.91,536.6,2.93,1.87,18.1,30.523,8.108,7.977,7.986,7.818,-0.727227309377001,-0.72537114274115
"9",17131,2017-06-05,"Exposure",6,2,17,2800,3.983,1.8,"Ipswich",1,2800,6.861804488,6.776167325623,6.64566930009887,6.65602349225885,17.6,30.52,2170.23,2115.39,7.25,2766.5,0.73,0.47,17.6,30.523,7.38,7.25,7.258,7.09,-0.603832674377,-0.60197650774115
"10",17138,2017-06-05,"Exposure",2,1,4,400,3.127,1.58,"Rowley2",1,400,7.282149171,7.196512008623,7.06601398309887,7.07636817525885,17.9,30.52,1934.24,2067.49,7.85,617.3,2.61,1.67,17.9,30.523,8.079,7.949,7.958,7.789,-0.882487991377,-0.881631824741151
"11",17141,2017-06-05,"Exposure",3,1,7,900,2.513,2.045,"Rowley2",1,900,7.616121658,7.530484495623,7.39998647009887,7.41034066225885,17.5,30.52,2027.87,2082.51,7.62,1122.5,1.59,1.02,17.5,30.523,7.809,7.678,7.687,7.519,-0.278515504377,-0.27665933774115
"12",17186,2017-06-05,"Exposure",2,3,6,400,3.781,2.148,"Rowley",1,400,7.886754536,7.801117373623,7.67061934809887,7.68097354025885,17.9,30.52,1918.23,2068.1,7.9,550.7,2.85,1.82,17.9,30.523,8.074,7.943,7.952,7.784,-0.272882626377,-0.27102645974115
"13",17189,2017-06-05,"Exposure",1,2,2,400,5.373,2.222,"Rowley",1,400,7.305181756,7.219544593623,7.08904656809887,7.09940076025885,18.1,30.52,1899.83,2076.77,7.96,468.6,3.26,2.09,18.1,30.523,8.096,7.966,7.975,7.806,-0.876455406377,-0.87559923974115
"14",17196,2017-06-05,"Exposure",5,1,13,900,3.941,2.612,"Rowley2",1,900,7.103646634,7.018009471623,6.88751144609887,6.89786563825885,18,30.52,2024.83,2068.73,7.57,1241.7,1.47,0.94,18,30.523,7.837,7.706,7.715,7.547,-0.818990528376999,-0.81713436174115
