"","ID","Date","LongDate","Timepoint","pHMeasured","pHNBS","pHSW","pHTotal","shelf","tank","pCO2"
"1",17186,"6/5/2017",20170605,"Exposure 1",7.886754536,7.801117373623,7.67061934809887,7.68097354025885,2,3,400
"2",17217,"6/5/2017",20170605,"Exposure 1",7.403070244,7.317433081623,7.18693505609887,7.19728924825885,1,1,400
"3",17138,"6/5/2017",20170605,"Exposure 1",7.282149171,7.196512008623,7.06601398309887,7.07636817525885,2,1,400
"4",17131,"6/5/2017",20170605,"Exposure 1",6.861804488,6.776167325623,6.64566930009887,6.65602349225885,6,2,2800
"5",17023,"6/5/2017",20170605,"Exposure 1",6.971209268,6.885572105623,6.75507408009887,6.76542827225885,4,2,2800
"6",17098,"6/5/2017",20170605,"Exposure 1",7.380037658,7.294400495623,7.16390247009887,7.17425666225885,4,1,2800
"7",17011,"6/5/2017",20170605,"Exposure 1",7.086372195,7.000735032623,6.87023700709887,6.88059119925885,5,2,900
"8",17141,"6/5/2017",20170605,"Exposure 1",7.616121658,7.530484495623,7.39998647009887,7.41034066225885,3,1,900
"9",17020,"6/5/2017",20170605,"Exposure 1",7.702493853,7.616856690623,7.48635866509887,7.49671285725885,3,3,900
"10",17189,"6/5/2017",20170605,"Exposure 1",7.305181756,7.219544593623,7.08904656809887,7.09940076025885,1,2,400
"11",17049,"6/5/2017",20170605,"Exposure 1",7.046065171,6.960428008623,6.82992998309887,6.84028417525885,2,2,400
"12",17119,"6/5/2017",20170605,"Exposure 1",7.466409853,7.380772690623,7.25027466509887,7.26062885725885,1,3,400
"13",17212,"6/5/2017",20170605,"Exposure 1",7.529749463,7.444112300623,7.31361427509887,7.32396846725885,5,3,900
"14",17215,"6/5/2017",20170605,"Exposure 1",8.214968877,8.129331714623,7.99883368909887,8.00918788125885,3,2,900
"15",17196,"6/5/2017",20170605,"Exposure 1",7.103646634,7.018009471623,6.88751144609887,6.89786563825885,5,1,900
"16",17199,"6/5/2017",20170605,"Exposure 1",6.976967415,6.891330252623,6.76083222709887,6.77118641925885,6,1,2800
"17",17054,"6/5/2017",20170605,"Exposure 1",7.88099639,7.795359227623,7.66486120209887,7.67521539425885,4,3,2800
"18",17066,"6/5/2017",20170605,"Exposure 1",7.103646634,7.018009471623,6.88751144609887,6.89786563825885,6,3,2800
"19",17195,"6/6/2017",20170606,"Exposure 2",7.708252,7.622614837623,7.49211681209887,7.50247100425885,1,1,400
"20",17220,"6/6/2017",20170606,"Exposure 2",7.679461268,7.593824105623,7.46332608009887,7.47368027225885,1,2,400
"21",17061,"6/6/2017",20170606,"Exposure 2",7.686534013,7.600896850623,7.47039882509887,7.48075301725885,1,3,400
"22",17207,"6/6/2017",20170606,"Exposure 2",7.571149175,7.485512012623,7.35501398709887,7.36536817925885,2,1,400
"23",17117,"6/6/2017",20170606,"Exposure 2",6.982725561,6.897088398623,6.76659037309887,6.77694456525885,2,2,400
"24",17104,"6/6/2017",20170606,"Exposure 2",7.692303254,7.606666091623,7.47616806609887,7.48652225825885,2,3,400
"25",17198,"6/6/2017",20170606,"Exposure 2",7.328214341,7.242577178623,7.11207915309887,7.12243334525885,3,1,900
"26",17032,"6/6/2017",20170606,"Exposure 2",7.397312097,7.311674934623,7.18117690909887,7.19153110125885,3,2,900
"27",17155,"6/6/2017",20170606,"Exposure 2",7.346148743,7.260511580623,7.13001355509887,7.14036774725885,3,3,900
"28",17147,"6/6/2017",20170606,"Exposure 2",7.305181756,7.219544593623,7.08904656809887,7.09940076025885,4,1,2800
"29",17040,"6/6/2017",20170606,"Exposure 2",6.832686217,6.747049054623,6.61655102909887,6.62690522125885,4,2,2800
"30",17036,"6/6/2017",20170606,"Exposure 2",7.915545268,7.829908105623,7.69941008009887,7.70976427225885,4,3,2800
"31",17065,"6/6/2017",20170606,"Exposure 2",7.58157278,7.495935617623,7.36543759209887,7.37579178425885,5,1,900
"32",17080,"6/6/2017",20170606,"Exposure 2",7.512475024,7.426837861623,7.29633983609887,7.30669402825885,5,2,900
"33",17187,"6/6/2017",20170606,"Exposure 2",7.628841594,7.543204431623,7.41270640609887,7.42306059825885,5,3,900
"34",17026,"6/6/2017",20170606,"Exposure 2",6.775432293,6.689795130623,6.55929710509887,6.56965129725885,6,1,2800
"35",17045,"6/6/2017",20170606,"Exposure 2",6.959609538,6.873972375623,6.74347435009887,6.75382854225885,6,2,2800
"36",17050,"6/6/2017",20170606,"Exposure 2",7.028790732,6.943153569623,6.81265554409887,6.82300973625885,6,3,2800
"37",17069,"6/13/2017",20170613,"Exposure 3",7.81765678,7.732019617623,7.60152159209887,7.61187578425885,1,1,400
"38",17070,"6/13/2017",20170613,"Exposure 3",6.786948586,6.701311423623,6.57081339809887,6.58116759025885,1,2,400
"39",17174,"6/13/2017",20170613,"Exposure 3",7.75431717,7.668680007623,7.53818198209887,7.54853617425885,1,3,400
"40",17176,"6/13/2017",20170613,"Exposure 3",7.132437366,7.046800203623,6.91630217809887,6.92665637025885,2,1,400
"41",17013,"6/13/2017",20170613,"Exposure 3",7.385795805,7.300158642623,7.16966061709887,7.18001480925885,2,2,400
"42",17162,"6/13/2017",20170613,"Exposure 3",7.570056487,7.484419324623,7.35392129909887,7.36427549125885,2,3,400
"43",17154,"6/13/2017",20170613,"Exposure 3",7.477926146,7.392288983623,7.26179095809887,7.27214515025885,3,1,900
"44",17184,"6/13/2017",20170613,"Exposure 3",7.690977561,7.605340398623,7.47484237309887,7.48519656525885,3,2,900
"45",17093,"6/13/2017",20170613,"Exposure 3",7.731284585,7.645647422623,7.51514939709887,7.52550358925885,3,3,900
"46",17122,"6/13/2017",20170613,"Exposure 3",7.857963804,7.772326641623,7.64182861609887,7.65218280825885,4,1,2800
"47",17181,"6/13/2017",20170613,"Exposure 3",7.506716878,7.421079715623,7.29058169009887,7.30093588225885,4,2,2800
"48",17072,"6/13/2017",20170613,"Exposure 3",7.616121658,7.530484495623,7.39998647009887,7.41034066225885,4,3,2800
"49",17031,"6/13/2017",20170613,"Exposure 3",7.201535122,7.115897959623,6.98539993409887,6.99575412625885,5,1,900
"50",17135,"6/13/2017",20170613,"Exposure 3",7.316698049,7.231060886623,7.10056286109887,7.11091705325885,5,2,900
"51",17173,"6/13/2017",20170613,"Exposure 3",7.564298341,7.478661178623,7.34816315309887,7.35851734525885,5,3,900
"52",17142,"6/13/2017",20170613,"Exposure 3",7.811898634,7.726261471623,7.59576344609887,7.60611763825885,6,1,2800
"53",17090,"6/13/2017",20170613,"Exposure 3",7.420344683,7.334707520623,7.20420949509887,7.21456368725885,6,2,2800
"54",17108,"6/13/2017",20170613,"Exposure 3",7.633396097,7.547758934623,7.41726090909887,7.42761510125885,6,3,2800
"55",17008,"6/26/2017",20170626,"Exposure 4",6.672413793,6.586776630623,6.45627860509887,6.46663279725885,2,2,400
