"","category","feature","count","percent"
"1","CpGs_all","Exon",2323389,16.06
"2","CpGs_all","Gene",7914103,54.71
"3","CpGs_all","Intron",5596808,38.69
"4","CpGs_all","Intergenic",6545363,45.25
"5","CpGs_5x","Exon",242102,59.86
"6","CpGs_5x","Gene",380168,94
"7","CpGs_5x","Intron",138534,34.25
"8","CpGs_5x","Intergenic",23808,5.89
"9","DML_trt","Exon",1,50
"10","DML_trt","Gene",2,100
"11","DML_trt","Intron",1,50
"12","DML_trt","Intergenic",0,0
"13","DML_trt_9","Exon",14,56
"14","DML_trt_9","Gene",24,96
"15","DML_trt_9","Intron",10,40
"16","DML_trt_9","Intergenic",1,4
"17","DML_trt_80","Exon",36,62.07
"18","DML_trt_80","Gene",54,93.1
"19","DML_trt_80","Intron",18,31.03
"20","DML_trt_80","Intergenic",4,6.9
