name	term	lev	seq	value
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111099327"	-0.00751658046578274
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111099657"	-0.0230207688093919
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111099882"	0.0151388884879686
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111100475"	-0.00681178313169972
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111108359"	-0.0368595847303829
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111116965"	-0.00273768702367461
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111119284"	-0.0187223207873282
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111124867"	0.00891115036770251
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111127323"	-0.0165838749789027
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111129260"	-0.0204209401778462
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111130103"	-0.0483933566901124
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111130514"	-0.0215024596894039
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111130977"	0.00404738612619682
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111132341"	0.012910337156785
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111132917"	-0.0330780500487911
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111135106"	0.0129833817073762
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111137133"	-0.00783183707492285
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111138044"	-0.0315841270635375
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111124944"	-0.039003607251521
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111127434"	-0.0235297848174705
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111136057"	-0.000231723617112989
"nucleoside diphosphate metabolic process"	GO:0046031;GO:0009179;GO:0009135;GO:0009185;GO:0009132;GO:0006096;GO:0006757;GO:0016052;GO:0006165;GO:0046939	6	"LOC111119678"	-0.0331208988383034
"regulation of biological quality"	GO:0065008	2	"LOC111100386"	-0.0719552413486929
"regulation of biological quality"	GO:0065008	2	"LOC111100466"	-0.0143683693145772
"regulation of biological quality"	GO:0065008	2	"LOC111103370"	-0.0202811375339172
"regulation of biological quality"	GO:0065008	2	"LOC111105923"	0.0627372960856175
"regulation of biological quality"	GO:0065008	2	"LOC111106299"	0.0127419343010866
"regulation of biological quality"	GO:0065008	2	"LOC111106392"	0.0364524277055527
"regulation of biological quality"	GO:0065008	2	"LOC111107154"	0.0207957639596508
"regulation of biological quality"	GO:0065008	2	"LOC111108232"	-0.0226671925962108
"regulation of biological quality"	GO:0065008	2	"LOC111108305"	0.0158847698201904
"regulation of biological quality"	GO:0065008	2	"LOC111108307"	-0.0261352084079016
"regulation of biological quality"	GO:0065008	2	"LOC111108359"	-0.0368595847303829
"regulation of biological quality"	GO:0065008	2	"LOC111109454"	-0.00596002569568288
"regulation of biological quality"	GO:0065008	2	"LOC111109592"	0.0209514221155612
"regulation of biological quality"	GO:0065008	2	"LOC111110313"	0.00620052499767831
"regulation of biological quality"	GO:0065008	2	"LOC111110660"	0.0210794231816597
"regulation of biological quality"	GO:0065008	2	"LOC111111318"	-0.0446136649313243
"regulation of biological quality"	GO:0065008	2	"LOC111112605"	-0.00399757018281333
"regulation of biological quality"	GO:0065008	2	"LOC111112919"	0.0126662416376414
"regulation of biological quality"	GO:0065008	2	"LOC111114229"	0.00483095640258779
"regulation of biological quality"	GO:0065008	2	"LOC111115125"	0.00469313102039981
"regulation of biological quality"	GO:0065008	2	"LOC111115612"	0.018456520143899
"regulation of biological quality"	GO:0065008	2	"LOC111115725"	-0.00756837290536427
"regulation of biological quality"	GO:0065008	2	"LOC111116065"	-0.0749022162558037
"regulation of biological quality"	GO:0065008	2	"LOC111117101"	-0.0116206204695357
"regulation of biological quality"	GO:0065008	2	"LOC111117164"	-0.0165889606596449
"regulation of biological quality"	GO:0065008	2	"LOC111117165"	-0.0310596372932203
"regulation of biological quality"	GO:0065008	2	"LOC111117281"	0.0370048149520906
"regulation of biological quality"	GO:0065008	2	"LOC111118090"	-0.0178927502274426
"regulation of biological quality"	GO:0065008	2	"LOC111118667"	-0.00662769343035696
"regulation of biological quality"	GO:0065008	2	"LOC111118698"	-0.0284285657843825
"regulation of biological quality"	GO:0065008	2	"LOC111119172"	-0.0150917782249159
"regulation of biological quality"	GO:0065008	2	"LOC111119686"	-0.00948665881081434
