name	term	lev	seq	value
"positive regulation of transcription by RNA polymerase II"	GO:0045944	2	"LOC111112228"	-0.000354601394605858
"positive regulation of transcription by RNA polymerase II"	GO:0045944	2	"LOC111128543"	-0.0346438103289008
"positive regulation of transcription by RNA polymerase II"	GO:0045944	2	"LOC111128546"	-0.451271999304394
"positive regulation of transcription by RNA polymerase II"	GO:0045944	2	"LOC111128548"	0.539680349832158
"positive regulation of transcription by RNA polymerase II"	GO:0045944	2	"LOC111129167"	0.389603612786825
"positive regulation of transcription by RNA polymerase II"	GO:0045944	2	"LOC111130592"	0.36714800836149
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111099327"	0.401769164010539
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111099657"	0.0147815456054254
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111102414"	-0.0514014443295592
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111103886"	-0.123085966479314
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111106467"	-0.146961968426103
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111107316"	1.02735610652677
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111108278"	0.067417022652636
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111110751"	0.186241999978977
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111111874"	-0.232358207666299
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111114597"	0.116079220998355
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111115195"	0.230325669068473
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111115790"	0.199747274003018
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111118145"	-0.509759130076537
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111119118"	-0.12865835708409
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111119284"	0.150080253925817
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111119627"	1.4154810362233
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111120031"	-0.509759130076537
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111120050"	-0.0569258481302519
"purine-containing compound biosynthetic process"	GO:0009152;GO:0006164;GO:0009260;GO:0072522;GO:0046390	4	"LOC111120351"	-0.608335917552997
