name	term	lev	seq	value
"anchored component of plasma membrane"	GO:0046658;GO:0031225	2	"LOC111132965"	-0.00593853306088155
"anchored component of plasma membrane"	GO:0046658;GO:0031225	2	"LOC111134769"	0.000406130988246822
"kinesin complex"	GO:0005871	3	"LOC111128085"	-0.00152419694707617
"kinesin complex"	GO:0005871	3	"LOC111136219"	-0.0251737642867265
"bounding membrane of organelle"	GO:0098588	3	"LOC111100641"	-0.0130000631669756
"bounding membrane of organelle"	GO:0098588	3	"LOC111101372"	0.0147003722864919
"bounding membrane of organelle"	GO:0098588	3	"LOC111105096"	-0.0713448849842696
"bounding membrane of organelle"	GO:0098588	3	"LOC111107850"	-0.0147250499721135
"bounding membrane of organelle"	GO:0098588	3	"LOC111128276"	-0.00959919145781118
"bounding membrane of organelle"	GO:0098588	3	"LOC111133050"	0.0190676265836013
"bounding membrane of organelle"	GO:0098588	3	"LOC111136548"	-0.0171230359044232
"NuA4 histone acetyltransferase complex"	GO:0035267;GO:0043189;GO:1902562	4	"LOC111105834"	-0.0363647164695255
"NuA4 histone acetyltransferase complex"	GO:0035267;GO:0043189;GO:1902562	4	"LOC111118359"	-0.0195077019976871
"NuA4 histone acetyltransferase complex"	GO:0035267;GO:0043189;GO:1902562	4	"LOC111121210"	0.0117652103901726
"NuA4 histone acetyltransferase complex"	GO:0035267;GO:0043189;GO:1902562	4	"LOC111130875"	0.00413922334040062
"signal recognition particle, endoplasmic reticulum targeting"	GO:0005786;GO:0048500	4	"LOC111122095"	-0.0359370789958623
"signal recognition particle, endoplasmic reticulum targeting"	GO:0005786;GO:0048500	4	"LOC111126975"	-0.0508019398667631
"oligosaccharyltransferase complex"	GO:0008250	3	"LOC111103552"	-0.0298883119303029
"oligosaccharyltransferase complex"	GO:0008250	3	"LOC111108423"	-0.0234583487001441
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111099746"	-0.0163948051193565
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111099748"	-0.0173017152014971
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111099932"	-0.00802817067956818
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111100311"	-0.0198189996463989
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111100466"	-0.0143683693145772
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111100737"	0.0444273122928598
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111101541"	-0.00240748016705039
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111102147"	-0.0307730722235035
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111102525"	-0.0216382742899424
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111103246"	-0.00925395667069995
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111103337"	0.0128496730641982
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111103871"	-0.0140016895140543
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111105847"	-0.0129216733915941
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111106706"	-0.095134334264769
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111106753"	0.0151365187506756
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111107351"	-0.0239750870419082
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111107356"	0.00667563525271964
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111107850"	-0.0147250499721135
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111107987"	0.0105518636064452
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111107999"	0.0198609312919514
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111108086"	-0.00440324579477491
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111108423"	-0.0234583487001441
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111108840"	-0.0137881537735352
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111110255"	-0.018833943037855
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111110346"	0.015956592630531
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111110860"	-0.0300757321381349
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111110863"	-0.00169272009334898
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111110891"	0.0125709789018489
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111111224"	-0.0154329092954585
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111111628"	0.000280361552907449
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111112699"	0.0173370630607309
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111112991"	-0.00919809022305262
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111113033"	0.00242658331654144
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111113114"	-0.0280352096507467
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111115797"	-0.059487841017365
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111116085"	0.0331428964986658
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111117954"	-0.0337359398308492
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111118150"	-0.0362611440309434
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111118667"	-0.00662769343035696
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111118713"	-0.0048930331357806
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	"LOC111118753"	-0.0304012938865191
