name	term	lev	seq	value
"catalytic complex"	GO:1902494	2	"LOC111099792"	0.652837975771804
"catalytic complex"	GO:1902494	2	"LOC111099857"	-0.263433808968899
"catalytic complex"	GO:1902494	2	"LOC111099995"	0.438016937814123
"catalytic complex"	GO:1902494	2	"LOC111100386"	0.252004681244123
"catalytic complex"	GO:1902494	2	"LOC111100523"	0.243736726247386
"catalytic complex"	GO:1902494	2	"LOC111101359"	-0.523418942352135
"catalytic complex"	GO:1902494	2	"LOC111102132"	-0.0861960791516942
"catalytic complex"	GO:1902494	2	"LOC111102234"	0.117540950210483
"catalytic complex"	GO:1902494	2	"LOC111102789"	-0.444518362857339
"catalytic complex"	GO:1902494	2	"LOC111103115"	-0.0537393162651156
"catalytic complex"	GO:1902494	2	"LOC111103552"	0.27464035141509
"catalytic complex"	GO:1902494	2	"LOC111103560"	0.159982411454288
"catalytic complex"	GO:1902494	2	"LOC111103787"	0.0598325708779655
"catalytic complex"	GO:1902494	2	"LOC111103789"	0.01755239334067
"catalytic complex"	GO:1902494	2	"LOC111103975"	-0.0402367273709627
"catalytic complex"	GO:1902494	2	"LOC111104663"	-0.211735534562109
"catalytic complex"	GO:1902494	2	"LOC111104775"	0.518927968709091
"catalytic complex"	GO:1902494	2	"LOC111105834"	0.162583351290866
"catalytic complex"	GO:1902494	2	"LOC111105866"	0.403932215520856
"catalytic complex"	GO:1902494	2	"LOC111105925"	-0.0623369163316534
"catalytic complex"	GO:1902494	2	"LOC111107181"	0.45962138556888
"catalytic complex"	GO:1902494	2	"LOC111107565"	0.226864481722647
"catalytic complex"	GO:1902494	2	"LOC111108423"	0.294117560122076
"catalytic complex"	GO:1902494	2	"LOC111109469"	0.18077818978728
"catalytic complex"	GO:1902494	2	"LOC111110485"	-0.888914798454222
"catalytic complex"	GO:1902494	2	"LOC111111015"	0.197381960907328
"catalytic complex"	GO:1902494	2	"LOC111111569"	0.0733782621164609
"catalytic complex"	GO:1902494	2	"LOC111113098"	0.0944907518422786
"catalytic complex"	GO:1902494	2	"LOC111113134"	0.0596599029399476
"catalytic complex"	GO:1902494	2	"LOC111113388"	-0.379081540560352
"catalytic complex"	GO:1902494	2	"LOC111113417"	0.366825040775362
"catalytic complex"	GO:1902494	2	"LOC111114538"	-0.0358736228069709
"catalytic complex"	GO:1902494	2	"LOC111114552"	0.473046931150801
"catalytic complex"	GO:1902494	2	"LOC111114820"	-0.0224153340272011
"catalytic complex"	GO:1902494	2	"LOC111114842"	0.0183252747231943
"catalytic complex"	GO:1902494	2	"LOC111115556"	0.444704930657819
"catalytic complex"	GO:1902494	2	"LOC111116740"	0.380566238465971
"catalytic complex"	GO:1902494	2	"LOC111117013"	-0.0955539380546897
"catalytic complex"	GO:1902494	2	"LOC111118072"	-0.0878706554888709
"catalytic complex"	GO:1902494	2	"LOC111118291"	-0.486718540030527
"catalytic complex"	GO:1902494	2	"LOC111118330"	-0.507250954952815
"catalytic complex"	GO:1902494	2	"LOC111118357"	-0.133052426043871
"catalytic complex"	GO:1902494	2	"LOC111118359"	0.0870297581486552
"catalytic complex"	GO:1902494	2	"LOC111118611"	0.0470173597520898
"catalytic complex"	GO:1902494	2	"LOC111119106"	-0.118134919390238
"catalytic complex"	GO:1902494	2	"LOC111119597"	0.0966899600571303
"catalytic complex"	GO:1902494	2	"LOC111120056"	-0.0591498434078996
"catalytic complex"	GO:1902494	2	"LOC111120126"	-0.168676979090338
"catalytic complex"	GO:1902494	2	"LOC111121015"	-0.282381930287469
"catalytic complex"	GO:1902494	2	"LOC111121057"	-0.234213309507368
"catalytic complex"	GO:1902494	2	"LOC111121210"	-0.121421703950789
"catalytic complex"	GO:1902494	2	"LOC111121616"	0.0187212317471523
"catalytic complex"	GO:1902494	2	"LOC111122333"	0.372885790389375
"catalytic complex"	GO:1902494	2	"LOC111123066"	0.0080391771810433
"catalytic complex"	GO:1902494	2	"LOC111123152"	0.107163097570786
"catalytic complex"	GO:1902494	2	"LOC111123499"	0.201004272378188
"catalytic complex"	GO:1902494	2	"LOC111123588"	0.0500263373122944
"catalytic complex"	GO:1902494	2	"LOC111123590"	-0.317206044324062
"catalytic complex"	GO:1902494	2	"LOC111123631"	0.395091151862041
"catalytic complex"	GO:1902494	2	"LOC111123658"	0.251843734284564
"catalytic complex"	GO:1902494	2	"LOC111123963"	-0.138906290713767
"catalytic complex"	GO:1902494	2	"LOC111124329"	0.135308938363901
"catalytic complex"	GO:1902494	2	"LOC111124464"	0.211289582958665
"catalytic complex"	GO:1902494	2	"LOC111124500"	0.663986841949846
"catalytic complex"	GO:1902494	2	"LOC111124867"	0.171110837500083
"catalytic complex"	GO:1902494	2	"LOC111124955"	-0.050196465102748
