name	term	lev	seq	value
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111108432"	0.00085026534495658
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111109336"	-0.0115171166973328
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111110551"	0.00390262823887511
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111114846"	-0.0402757934939793
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111117641"	-0.0310349708882119
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111119678"	-0.0331208988383034
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111131384"	-0.0176704008765948
"hydrolase activity, acting on glycosyl bonds"	GO:0004553;GO:0016798	3	"LOC111133398"	-0.00947241134609822
"alanine-tRNA ligase activity"	GO:0004813	2	"LOC111129859"	-0.0133748370304975
"alanine-tRNA ligase activity"	GO:0004813	2	"LOC111135733"	-0.0119242293269108
"7S RNA binding"	GO:0008312	2	"LOC111122095"	-0.0359370789958623
"7S RNA binding"	GO:0008312	2	"LOC111130615"	0.0257864560432992
"7S RNA binding"	GO:0008312	2	"LOC111131315"	0.00189655194467675
"7S RNA binding"	GO:0008312	2	"LOC111135297"	-0.0286052826893012
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111100398"	-0.0113136798080112
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111100399"	0.00166048778809536
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111101286"	-0.0113159198899039
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111103635"	0.005824658135825
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111104083"	-0.00440094651158662
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111104877"	-0.0177952293712711
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111106354"	0.00453624486639437
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111108184"	-0.0175020089710776
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111108305"	0.0158847698201904
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111109649"	-0.0118443715685145
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111109656"	0.0260683689300585
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111114902"	-0.0055698811484346
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111119361"	-0.00793523808447494
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111121380"	-0.0271879397588308
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111121738"	-0.0199724862003408
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111122265"	-0.00473725282005033
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111123103"	-0.00829954354223239
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111124193"	-0.0322952352144571
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111132090"	-0.0169949298655457
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111132337"	-0.0358882661017316
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111134403"	-0.0250895210294748
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111135113"	-0.0177189566465722
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111135137"	0.0548043560382729
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111135255"	0.00634803920477245
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111135491"	-0.0441596423779601
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111136468"	-0.0182444824299572
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111136483"	-0.00506690812581401
"flavin adenine dinucleotide binding"	GO:0050660	4	"LOC111136868"	-0.020382791963045
