"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
384 0.139481807166587 4 5 "GO:0000162;GO:0046219;GO:0042401;GO:0042435;GO:0009309" "cellular biogenic amine biosynthetic process" 0.798335430474441
234 0.118837910681857 2 15 "GO:0000226" "microtubule cytoskeleton organization" 0.798335430474441
550 0.180309234048356 7 2 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.8048514917563
-128 0.703678861517923 4 3 "GO:0000724;GO:0000725" "recombinational repair" 0.993948740596731
88 0.792004156536581 2 3 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.993971220984645
80 0.486170121258426 2 26 "GO:0001505;GO:0042133" "regulation of neurotransmitter levels" 0.975812376631489
20 0.962513274619921 3 2 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.997108399867374
17 0.959844294303369 4 3 "GO:0002098;GO:0002097" "tRNA wobble base modification" 0.997108399867374
55 0.3826597472139 2 87 "GO:0005975" "carbohydrate metabolic process" 0.956488402716485
30 0.919170229631883 4 4 "GO:0005978;GO:0005977;GO:0009250;GO:0006112;GO:0033692;GO:0000271;GO:0034637" "glycogen biosynthetic process" 0.993971220984645
5 0.978613940282313 3 9 "GO:0005982;GO:0006073;GO:0044042;GO:0044264;GO:0005976;GO:0005985;GO:0005984;GO:0009311" "starch metabolic process" 0.997108399867374
282 0.144619830506009 5 9 "GO:0006000" "fructose metabolic process" 0.798335430474441
199 0.257036745869239 4 11 "GO:0006012" "galactose metabolic process" 0.885367149515218
195 0.19488627688327 4 15 "GO:0006013" "mannose metabolic process" 0.82427310550629
366 0.274734711815643 4 3 "GO:0006020" "inositol metabolic process" 0.886019445605449
40 0.759483619325461 2 20 "GO:0006022" "aminoglycan metabolic process" 0.993948740596731
207 0.613705235094985 4 2 "GO:0006024;GO:0006023;GO:1903510" "glycosaminoglycan biosynthetic process" 0.986516826507826
21 0.898422056876136 4 12 "GO:0006027;GO:0006026;GO:0030203" "glycosaminoglycan metabolic process" 0.993971220984645
67 0.74432540266694 3 8 "GO:0006030;GO:1901071" "chitin metabolic process" 0.993948740596731
82 0.596660432519175 4 14 "GO:0006040" "amino sugar metabolic process" 0.983631895143432
-8 0.955960467585767 3 16 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.997108399867374
-5 0.987941317109027 3 4 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.999268374830205
-114 0.630148603710507 7 6 "GO:0006085;GO:0006084;GO:0071616;GO:0035384" "acetyl-CoA metabolic process" 0.989368565247794
12 0.909158438935588 2 29 "GO:0006090" "pyruvate metabolic process" 0.993971220984645
24 0.786850387243945 3 43 "GO:0006091" "generation of precursor metabolites and energy" 0.993971220984645
-18 0.864774246689495 3 30 "GO:0006094;GO:0006006;GO:0019319;GO:0046364;GO:0016051" "carbohydrate biosynthetic process" 0.993971220984645
298 0.104984298592038 3 10 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process" 0.758868177997921
-52 0.666067577908483 2 23 "GO:0006099" "tricarboxylic acid cycle" 0.993948740596731
262 0.523567200044247 5 2 "GO:0006101" "citrate metabolic process" 0.975812376631489
-230 0.574833431906193 6 2 "GO:0006102;GO:1902652" "isocitrate metabolic process" 0.975812376631489
-492 0.0897642770580619 2 4 "GO:0006108" "malate metabolic process" 0.745980369166727
134 0.261379520200117 -1 24 "GO:0006118" "obsolete electron transport" 0.885367149515218
-164 0.527107885246093 3 5 "GO:0006119" "oxidative phosphorylation" 0.975812376631489
271 0.252915769195255 2 6 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 0.885367149515218
490 0.232270335195237 4 2 "GO:0006123;GO:0019646;GO:0009060;GO:0045333" "cellular respiration" 0.883686363516396
