"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-778 0.114446270198108 4 6 "GO:0000162;GO:0046219;GO:0042435" "indolalkylamine biosynthetic process" 0.630913875236624
-249 0.410017388977202 4 16 "GO:0000226" "microtubule cytoskeleton organization" 0.91302841256779
578 0.204888993003655 3 7 "GO:0000270" "peptidoglycan metabolic process" 0.74588801947398
1202 0.158820230849022 3 2 "GO:0000387;GO:0022618;GO:0071826" "ribonucleoprotein complex assembly" 0.6589280993651
670 0.432097188711752 5 2 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.94048337024274
342 0.624005082434488 2 3 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.971179379747108
1 0.998841595674409 5 4 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 0.999500620774192
501 0.00616944279356312 2 44 "GO:0001505;GO:0042133" "regulation of neurotransmitter levels" 0.162067715056952
235 0.783040689381933 3 2 "GO:0001682;GO:0099116;GO:0034471;GO:0000966" "tRNA 5'-leader removal" 0.973691047198273
-663 0.14592631618651 4 7 "GO:0001819;GO:0051240" "positive regulation of cytokine production" 0.657556162321464
113 0.803675741845548 8 7 "GO:0001934;GO:0045860;GO:0033674;GO:0051347" "positive regulation of protein phosphorylation" 0.973691047198273
189 0.824779997382994 3 2 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.98048587609574
484 0.486953210105757 5 3 "GO:0002098;GO:0002097" "tRNA wobble base modification" 0.964220524889766
-52 0.735821674661719 1 61 "GO:0002376" "immune system process" 0.973691047198273
-115 0.622664409525175 5 27 "GO:0002755;GO:0002224;GO:0002221;GO:0002758;GO:0002218;GO:0002757;GO:0002253;GO:0045089;GO:0050778;GO:0002833;GO:0031349;GO:0032103;GO:0043902;GO:0002684;GO:0002764;GO:0031663;GO:0034142;GO:0042116;GO:0002274;GO:0045321;GO:0001775;GO:0050707;GO:0050708;GO:0002791;GO:0051223;GO:1903530;GO:0051046;GO:0090087;GO:0070201;GO:0032880;GO:0051049;GO:0032879" "regulation of localization" 0.971179379747108
187 0.0610265004933577 2 152 "GO:0005975" "carbohydrate metabolic process" 0.480104398473774
-113 0.804646559526532 5 7 "GO:0005978;GO:0005977;GO:0009250;GO:0006112;GO:0033692;GO:0000271;GO:0034637" "cellular carbohydrate biosynthetic process" 0.973691047198273
-316 0.267879749632653 5 18 "GO:0005982;GO:0006073;GO:0044042;GO:0044264;GO:0005976;GO:0005985;GO:0005984;GO:0009311" "cellular glucan metabolic process" 0.820001885517268
-186 0.593852184026267 3 12 "GO:0006000" "fructose metabolic process" 0.969310365866552
-206 0.49431984713262 3 16 "GO:0006012" "galactose metabolic process" 0.964220524889766
145 0.590583314476202 2 20 "GO:0006013" "mannose metabolic process" 0.969310365866552
379 0.656848263122341 4 2 "GO:0006014;GO:0019321" "pentose metabolic process" 0.971179379747108
191 0.697967070142386 3 6 "GO:0006020" "inositol metabolic process" 0.973691047198273
353 0.00825829537282655 2 83 "GO:0006022" "aminoglycan metabolic process" 0.198199088947837
849 0.0466141034493776 3 8 "GO:0006024;GO:0006023" "glycosaminoglycan biosynthetic process" 0.434284960819504
586 0.0200444871069005 2 23 "GO:0006027;GO:0006026" "aminoglycan catabolic process" 0.341811253822935
293 0.0499058728038874 2 66 "GO:0006030;GO:1901071;GO:0006040" "amino sugar metabolic process" 0.437013588877284
1824 0.032511721412486 4 2 "GO:0006032;GO:1901072;GO:0046348" "chitin catabolic process" 0.405146066832518
274 0.277559583945981 2 23 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.833373203147877
498 0.55971307735861 4 2 "GO:0006071;GO:0019400" "glycerol metabolic process" 0.964220524889766
-289 0.557025368798545 5 6 "GO:0006072;GO:0052646" "glycerol-3-phosphate metabolic process" 0.964220524889766
276 0.575367852684127 3 6 "GO:0006085;GO:0006084;GO:0071616;GO:0035384" "acetyl-CoA metabolic process" 0.968401586020821
-46 0.818854154771943 5 37 "GO:0006090" "pyruvate metabolic process" 0.98048587609574
65 0.662512234446611 2 67 "GO:0006091" "generation of precursor metabolites and energy" 0.971284904799556
-37 0.844670067657047 3 42 "GO:0006094;GO:0006006;GO:0019319;GO:0046364;GO:0016051" "carbohydrate biosynthetic process" 0.989959824933968
-7 0.981775247547058 3 15 "GO:0006098;GO:0006740;GO:0051156;GO:0006739" "NADP metabolic process" 0.998805485267984
235 0.296332074013903 3 29 "GO:0006099" "tricarboxylic acid cycle" 0.833373203147877
219 0.79794744620537 5 2 "GO:0006101" "citrate metabolic process" 0.973691047198273
236 0.78213974420404 3 2 "GO:0006102;GO:1902652" "secondary alcohol metabolic process" 0.973691047198273
-50 0.953932149425994 5 2 "GO:0006104" "succinyl-CoA metabolic process" 0.995282177584639
-420 0.437044132842687 5 5 "GO:0006108" "malate metabolic process" 0.94048337024274
271 0.138001636905823 -1 44 "GO:0006118" "obsolete electron transport" 0.654520208374343
232 0.586291984051177 2 8 "GO:0006119" "oxidative phosphorylation" 0.969310365866552
47 0.911557881902284 5 8 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 0.990448613638337
475 0.335054560249118 4 6 "GO:0006123;GO:0019646;GO:0009060;GO:0045333" "cellular respiration" 0.850951578183037
133 0.0124533687918178 3 604 "GO:0006139" "nucleobase-containing compound metabolic process" 0.252308224228717
63 0.536529845886476 4 147 "GO:0006144;GO:0009112" "nucleobase metabolic process" 0.964220524889766
-809 0.34309551732437 5 2 "GO:0006168;GO:0043096;GO:0046084;GO:0046083" "adenine biosynthetic process" 0.855099597023814
188 0.78688758914117 3 3 "GO:0006171;GO:0046058" "cAMP metabolic process" 0.973691047198273
1738 0.0416315059593124 5 2 "GO:0006172;GO:0009180;GO:0009136;GO:0009188;GO:0009133" "purine nucleoside diphosphate biosynthetic process" 0.421518997838038
-365 0.258172501889745 4 14 "GO:0006182;GO:0046068;GO:0052652" "cyclic purine nucleotide metabolic process" 0.804306640502667
541 0.525889840516668 5 2 "GO:0006189;GO:0006188;GO:0046040" "IMP metabolic process" 0.964220524889766
41 0.781724169441373 4 69 "GO:0006206;GO:0072527" "pyrimidine-containing compound metabolic process" 0.973691047198273
-203 0.770724586345265 3 3 "GO:0006207;GO:0019856" "'de novo' pyrimidine nucleobase biosynthetic process" 0.973691047198273
334 0.69543923291571 2 2 "GO:0006213" "pyrimidine nucleoside metabolic process" 0.973691047198273
-505 0.117545094941291 3 14 "GO:0006221;GO:0006220;GO:0072528" "pyrimidine-containing compound biosynthetic process" 0.630913875236624
-1683 0.0484662644215574 3 2 "GO:0006241;GO:0046036" "CTP metabolic process" 0.436196379794017
421 4.71178852812658e-06 2 180 "GO:0006259" "DNA metabolic process" 0.000763309741556506
233 0.196526415011716 4 45 "GO:0006260" "DNA replication" 0.727015108759547
-1150 0.056614857379288 2 4 "GO:0006261" "DNA-dependent DNA replication" 0.467379941101975
474 0.432190853304002 2 4 "GO:0006269" "DNA replication, synthesis of RNA primer" 0.94048337024274
1313 0.00210298213625132 2 8 "GO:0006270" "DNA replication initiation" 0.0973380303064897
285 0.0135753740108656 4 112 "GO:0006281;GO:0006974;GO:0033554;GO:0051716" "cellular response to stimulus" 0.266570980576997
59 0.877832976469813 5 10 "GO:0006284" "base-excision repair" 0.990448613638337
214 0.758302428916044 2 3 "GO:0006285" "base-excision repair, AP site formation" 0.973691047198273
-332 0.321543492089215 2 13 "GO:0006289" "nucleotide-excision repair" 0.842514625967902
726 0.0302193160751436 2 13 "GO:0006298" "mismatch repair" 0.383963074837119
-1100 0.197460893737161 2 2 "GO:0006301;GO:0006513" "postreplication repair" 0.727015108759547
158 0.600178180270317 2 16 "GO:0006302" "double-strand break repair" 0.971179379747108
697 0.316962918032858 2 3 "GO:0006303;GO:0000726" "double-strand break repair via nonhomologous end joining" 0.838334575042008
-214 0.722374429464026 2 4 "GO:0006308" "DNA catabolic process" 0.973691047198273
532 0.000227438493315059 2 71 "GO:0006310" "DNA recombination" 0.0210543062383083
1150 0.177829325791047 3 2 "GO:0006313;GO:0032196" "transposition, DNA-mediated" 0.706953393328825
37 0.863447154110415 2 31 "GO:0006325" "chromatin organization" 0.989959824933968
417 0.625368665843595 4 2 "GO:0006334;GO:0034728" "nucleosome assembly" 0.971179379747108
123 0.803492396843832 2 6 "GO:0006338" "chromatin remodeling" 0.973691047198273
-214 0.395123708828827 2 23 "GO:0006351;GO:0097659" "transcription, DNA-templated" 0.901549870848873
517 0.0778891499112557 2 17 "GO:0006352" "DNA-templated transcription, initiation" 0.554639221346085
-130 0.0379638236190404 4 414 "GO:0006355;GO:0010468;GO:1903506;GO:2000112;GO:0060255;GO:0019222;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:0031323;GO:0051252;GO:0019219;GO:0051171;GO:0080090" "regulation of metabolic process" 0.416958605171834
-135 0.479642920904273 5 40 "GO:0006357" "regulation of transcription by RNA polymerase II" 0.964220524889766
-510 0.102012443219322 5 15 "GO:0006364;GO:0016072" "rRNA metabolic process" 0.630913875236624
-765 0.156617980111848 2 5 "GO:0006366" "transcription by RNA polymerase II" 0.6589280993651
-139 0.778700099248978 3 6 "GO:0006367" "transcription initiation from RNA polymerase II promoter" 0.973691047198273
-549 0.519785190655026 2 2 "GO:0006368;GO:0006354" "transcription elongation from RNA polymerase II promoter" 0.964220524889766
-159 0.792717106882355 3 4 "GO:0006370;GO:0009452;GO:0036260" "7-methylguanosine RNA capping" 0.973691047198273
-326 0.546398841583231 2 5 "GO:0006378;GO:0031124;GO:0043631;GO:0031123" "RNA 3'-end processing" 0.964220524889766
-1331 0.118812036521062 2 2 "GO:0006379" "mRNA cleavage" 0.630913875236624
-181 0.795373605718997 2 3 "GO:0006388;GO:0000394" "tRNA splicing, via endonucleolytic cleavage and ligation" 0.973691047198273
-61 0.646271490249854 3 85 "GO:0006396" "RNA processing" 0.971179379747108
-258 0.307021226457737 4 23 "GO:0006397" "mRNA processing" 0.833373203147877
-264 0.0469134988539588 2 84 "GO:0006399;GO:0034660" "ncRNA metabolic process" 0.434284960819504
288 0.559530484610034 2 6 "GO:0006400" "tRNA modification" 0.964220524889766
10 0.980242135608325 2 9 "GO:0006401" "RNA catabolic process" 0.998805485267984
140 0.77662218782527 3 6 "GO:0006402" "mRNA catabolic process" 0.973691047198273
423 0.620392803208278 3 2 "GO:0006405;GO:0051168" "RNA export from nucleus" 0.971179379747108
1153 0.0977438955806592 4 3 "GO:0006414" "translational elongation" 0.627109349864031
149 0.620993746918453 3 16 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 0.971179379747108
-450 0.0118259193282916 3 46 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.252308224228717
955 0.262752437729704 3 2 "GO:0006419" "alanyl-tRNA aminoacylation" 0.81465827583181
-669 0.214870866694532 7 5 "GO:0006420" "arginyl-tRNA aminoacylation" 0.756719139228569
-1130 0.185500066539641 5 2 "GO:0006421" "asparaginyl-tRNA aminoacylation" 0.715500256652901
-1754 0.0397305633163151 7 2 "GO:0006423" "cysteinyl-tRNA aminoacylation" 0.421518997838038
-313 0.65378129093256 8 3 "GO:0006424" "glutamyl-tRNA aminoacylation" 0.971179379747108
-631 0.295967043090034 5 4 "GO:0006428" "isoleucyl-tRNA aminoacylation" 0.833373203147877
579 0.497594381881181 5 2 "GO:0006429" "leucyl-tRNA aminoacylation" 0.964220524889766
-339 0.691109887181762 3 2 "GO:0006431" "methionyl-tRNA aminoacylation" 0.973691047198273
-878 0.103594060182726 7 5 "GO:0006432" "phenylalanyl-tRNA aminoacylation" 0.630913875236624
145 0.809711006844095 2 4 "GO:0006433" "prolyl-tRNA aminoacylation" 0.977081438426394
555 0.51523081114941 3 2 "GO:0006434" "seryl-tRNA aminoacylation" 0.964220524889766
-511 0.549495307620959 2 2 "GO:0006435" "threonyl-tRNA aminoacylation" 0.964220524889766
-700 0.194484457168589 5 5 "GO:0006436" "tryptophanyl-tRNA aminoacylation" 0.727015108759547
-1105 0.19542915990955 7 2 "GO:0006437" "tyrosyl-tRNA aminoacylation" 0.727015108759547
-149 0.861947739767479 7 2 "GO:0006438" "valyl-tRNA aminoacylation" 0.989959824933968
39 0.936411126046306 4 6 "GO:0006446" "regulation of translational initiation" 0.992151011402244
737 0.289968931119051 4 3 "GO:0006448" "regulation of translational elongation" 0.833373203147877
-430 0.475678251210811 2 4 "GO:0006449;GO:0043244" "regulation of protein complex disassembly" 0.964220524889766
-396 0.0640477893601073 2 32 "GO:0006457" "protein folding" 0.493272918268722
-374 3.0061793481126e-12 3 591 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 1.94800421757696e-09
-537 0.373476087127689 3 4 "GO:0006465" "signal peptide processing" 0.882533041148035
-211 0.0344504792624664 3 152 "GO:0006468" "protein phosphorylation" 0.412406549930216
-523 4.87137559085459e-11 2 244 "GO:0006470;GO:0016311" "dephosphorylation" 1.57832569143689e-08
-105 0.8621804733048 2 4 "GO:0006471" "protein ADP-ribosylation" 0.989959824933968
97 0.725496190639031 6 19 "GO:0006479;GO:0008213;GO:0043414;GO:0032259" "macromolecule methylation" 0.973691047198273
38 0.913239177112842 2 12 "GO:0006486;GO:0043413;GO:0070085" "protein glycosylation" 0.990448613638337
-51 0.924762913598302 4 5 "GO:0006488" "dolichol-linked oligosaccharide biosynthetic process" 0.990448613638337
-30 0.946854458203299 2 7 "GO:0006490" "oligosaccharide-lipid intermediate biosynthetic process" 0.994427372634907
-322 0.551098465521426 2 5 "GO:0006497" "protein lipidation" 0.964220524889766
-281 0.742360094388223 6 2 "GO:0006499;GO:0006498;GO:0018377;GO:0031365" "N-terminal protein amino acid modification" 0.973691047198273
12 0.88555976833605 3 229 "GO:0006508" "proteolysis" 0.990448613638337
-225 0.792065959107595 -1 2 "GO:0006510" "obsolete ATP-dependent proteolysis" 0.973691047198273
-70 0.727280383564813 6 36 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "ubiquitin-dependent protein catabolic process" 0.973691047198273
242 0.371461216508508 6 20 "GO:0006522;GO:0009078" "pyruvate family amino acid metabolic process" 0.881710140283931
429 0.0124596653940107 4 50 "GO:0006525;GO:0006560" "arginine metabolic process" 0.252308224228717
-126 0.882734930583501 8 2 "GO:0006527" "arginine catabolic process" 0.990448613638337
542 0.369037753012692 2 4 "GO:0006528" "asparagine metabolic process" 0.881710140283931
235 0.783491271184437 4 2 "GO:0006529" "asparagine biosynthetic process" 0.973691047198273
492 0.221154780609021 2 9 "GO:0006531" "aspartate metabolic process" 0.758244962088072
523 0.0834674560116365 4 16 "GO:0006536" "glutamate metabolic process" 0.575392675484473
1676 0.000667768825744089 6 6 "GO:0006537" "glutamate biosynthetic process" 0.044285695794577
1121 0.00534488027410504 4 9 "GO:0006541" "glutamine metabolic process" 0.162067715056952
1100 0.0414686770804212 7 5 "GO:0006542" "glutamine biosynthetic process" 0.421518997838038
1011 0.0401573796377476 3 6 "GO:0006545;GO:0042136" "neurotransmitter biosynthetic process" 0.421518997838038
48 0.937015242973759 2 4 "GO:0006546;GO:0009071;GO:0042135" "neurotransmitter catabolic process" 0.992151011402244
