"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
4 0.975616055983397 3 7 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.97598448028435
-163 0.243203771524532 3 6 "GO:0000136;GO:0031501" "alpha-1,6-mannosyltransferase complex" 0.819305372555827
-100 0.614094131370645 3 3 "GO:0000152" "nuclear ubiquitin ligase complex" 0.940739945929499
26 0.914899647888364 3 2 "GO:0000775" "chromosome, centromeric region" 0.950577883302539
-162 0.50338385596704 6 2 "GO:0000794;GO:0000228;GO:0000793" "nuclear chromosome" 0.897429335202921
-55 0.579996384917836 2 12 "GO:0005576" "extracellular region" 0.92773739004731
135 0.576023835065992 2 2 "GO:0005581" "collagen trimer" 0.92773739004731
-11 0.812296173336086 1 55 "GO:0005622" "intracellular" 0.948816643867543
7 0.78909380716704 3 242 "GO:0005634;GO:0043231;GO:0043227" "membrane-bounded organelle" 0.948816643867543
-12 0.950670741691741 2 3 "GO:0005643" "nuclear pore" 0.970897778749012
-30 0.652895669420215 2 26 "GO:0005657" "replication fork" 0.948816643867543
-34 0.888612677334083 2 2 "GO:0005663" "DNA replication factor C complex" 0.950577883302539
285 0.23815319382072 3 2 "GO:0005664;GO:0000808" "nuclear origin of replication recognition complex" 0.819305372555827
150 0.282009974910279 5 6 "GO:0005665;GO:0055029;GO:0000428;GO:0030880" "RNA polymerase complex" 0.819305372555827
30 0.284731568374603 2 170 "GO:0005667" "transcription factor complex" 0.819305372555827
-82 0.677335152428686 3 3 "GO:0005669;GO:0090575;GO:0044798" "transcription factor TFIID complex" 0.948816643867543
-319 0.186597138974354 2 2 "GO:0005680" "anaphase-promoting complex" 0.819305372555827
-164 0.283326888085475 5 5 "GO:0005685;GO:0097525;GO:0030532;GO:0120114" "U1 snRNP" 0.819305372555827
160 0.12214141001403 3 11 "GO:0005694" "chromosome" 0.819305372555827
-70 0.288751765478226 5 27 "GO:0005730" "nucleolus" 0.819305372555827
-494 0.0406630683568073 3 2 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.61972165319905
-31 0.478637672804621 2 66 "GO:0005737" "cytoplasm" 0.895114608881369
-51 0.656383353172883 5 9 "GO:0005739" "mitochondrion" 0.948816643867543
-90 0.711098943154623 4 2 "GO:0005759;GO:0070013;GO:0043233;GO:0031974" "intracellular organelle lumen" 0.948816643867543
235 0.329960077890822 2 2 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.819305372555827
164 0.496789565077673 5 2 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 0.897429335202921
264 0.274627851514597 2 2 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 0.819305372555827
69 0.775408821906318 2 2 "GO:0005768" "endosome" 0.948816643867543
178 0.169337381006455 6 7 "GO:0005777" "peroxisome" 0.819305372555827
-132 0.504804001051643 5 3 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.897429335202921
500 0.0382795460810447 5 2 "GO:0005779;GO:0031231" "integral component of peroxisomal membrane" 0.61972165319905
-31 0.800058179925005 5 8 "GO:0005783" "endoplasmic reticulum" 0.948816643867543
156 0.51939682660612 4 2 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.899643971399451
-109 0.581156851258492 2 3 "GO:0005789" "endoplasmic reticulum membrane" 0.92773739004731
-137 0.369825341778672 3 5 "GO:0005794" "Golgi apparatus" 0.819305372555827
-148 0.288501406649297 3 6 "GO:0005802;GO:0098791;GO:0031984" "trans-Golgi network" 0.819305372555827
-18 0.897356219759579 3 6 "GO:0005813" "centrosome" 0.950577883302539
-85 0.725058815280984 5 2 "GO:0005814" "centriole" 0.948816643867543
-104 0.198480143838526 2 18 "GO:0005815" "microtubule organizing center" 0.819305372555827
-327 0.09756354921314 2 3 "GO:0005829" "cytosol" 0.739429004562745
181 0.359612868815166 2 3 "GO:0005835" "fatty acid synthase complex" 0.819305372555827
418 0.00274767193790347 2 6 "GO:0005839" "proteasome core complex" 0.19783237952905
67 0.0616331343615861 3 100 "GO:0005840" "ribosome" 0.61972165319905
-271 0.262068055349582 2 2 "GO:0005845" "mRNA cap binding complex" 0.819305372555827
244 0.215665128817322 3 3 "GO:0005846" "nuclear cap binding complex" 0.819305372555827
217 0.0358799970505378 2 11 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.61972165319905
177 0.464520314066137 2 2 "GO:0005853" "eukaryotic translation elongation factor 1 complex" 0.891879003006983
159 0.064554338874901 3 16 "GO:0005856" "cytoskeleton" 0.61972165319905
-5 0.97598448028435 3 4 "GO:0005858" "axonemal dynein complex" 0.97598448028435
-227 0.346707465938561 2 2 "GO:0005868" "cytoplasmic dynein complex" 0.819305372555827
19 0.937978359853648 2 2 "GO:0005871" "kinesin complex" 0.964777741563752
-48 0.23584179621365 4 75 "GO:0005874;GO:0099513;GO:0099512;GO:0099081;GO:0099080" "microtubule" 0.819305372555827
-60 0.599333546479071 2 9 "GO:0005875" "microtubule associated complex" 0.928842211924801
22 0.898922796612746 2 4 "GO:0005885" "Arp2/3 protein complex" 0.950577883302539
-100 0.103489930138623 3 32 "GO:0005886" "plasma membrane" 0.745127496998086
-48 0.671339983202651 2 9 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.948816643867543
-43 0.72321562215096 4 8 "GO:0005891;GO:0034704" "voltage-gated calcium channel complex" 0.948816643867543
82 0.633706130406599 2 4 "GO:0005911" "cell-cell junction" 0.948816643867543
-47 0.847793972655699 3 2 "GO:0005925;GO:0005924;GO:0005912;GO:0030055;GO:0070161" "adherens junction" 0.950577883302539
-92 0.703384768368965 2 2 "GO:0005929" "cilium" 0.948816643867543
-29 0.906673587351566 4 2 "GO:0005968" "Rab-protein geranylgeranyltransferase complex" 0.950577883302539
-157 0.358344087316064 6 4 "GO:0008076;GO:0034705" "potassium channel complex" 0.819305372555827
346 0.151926229604064 2 2 "GO:0008091" "spectrin" 0.819305372555827
56 0.817036554441495 3 2 "GO:0008250" "oligosaccharyltransferase complex" 0.948816643867543
31 0.763009391395967 4 11 "GO:0008287;GO:1903293" "protein serine/threonine phosphatase complex" 0.948816643867543
-109 0.653266394441292 2 2 "GO:0009317" "acetyl-CoA carboxylase complex" 0.948816643867543
-84 0.671145149310756 2 3 "GO:0009331" "glycerol-3-phosphate dehydrogenase complex" 0.948816643867543
-35 0.886973496373252 2 2 "GO:0009332" "glutamate-tRNA ligase complex" 0.950577883302539
383 0.0521942408131201 2 3 "GO:0009341" "beta-galactosidase complex" 0.61972165319905
59 0.586278489543786 4 10 "GO:0015934" "large ribosomal subunit" 0.92773739004731
159 0.163735126593426 4 9 "GO:0015935" "small ribosomal subunit" 0.819305372555827
-117 0.000339612025103758 2 121 "GO:0016020" "membrane" 0.0489041316149412
12 0.703810327170965 2 138 "GO:0016021;GO:0031224" "intrinsic component of membrane" 0.948816643867543
359 0.137091495952925 2 2 "GO:0016035" "zeta DNA polymerase complex" 0.819305372555827
13 0.959455765917944 2 2 "GO:0016272" "prefoldin complex" 0.972969227409746
-122 0.536708833235706 4 3 "GO:0016342" "catenin complex" 0.909247905716961
13 0.917571706798979 2 8 "GO:0016459" "myosin complex" 0.950577883302539
256 0.0934813462281566 5 5 "GO:0016514" "SWI/SNF complex" 0.739429004562745
238 0.323817162494605 2 2 "GO:0016529" "sarcoplasmic reticulum" 0.819305372555827
49 0.805209659313482 3 3 "GO:0016580;GO:0070822;GO:0000118" "Sin3 complex" 0.948816643867543
217 0.368388691106828 3 2 "GO:0016589;GO:0031010" "ISWI-type complex" 0.819305372555827
172 0.476000978590479 2 2 "GO:0017053" "transcriptional repressor complex" 0.895114608881369
449 0.0628568484431389 2 2 "GO:0017087" "mitochondrial processing peptidase complex" 0.61972165319905
150 0.448166275419574 2 3 "GO:0019008" "molybdopterin synthase complex" 0.891879003006983
202 0.403620933721531 2 2 "GO:0030014" "CCR4-NOT complex" 0.867483797849261
39 0.781162905446056 2 6 "GO:0030054" "cell junction" 0.948816643867543
53 0.72916439160581 4 5 "GO:0030120;GO:0030117" "vesicle coat" 0.948816643867543
42 0.831551473754317 2 3 "GO:0030127" "COPII vesicle coat" 0.950344541433505
69 0.775408821906318 4 2 "GO:0030130;GO:0030125;GO:0030118" "clathrin coat" 0.948816643867543
-269 0.265615374352607 3 2 "GO:0030131;GO:0030119" "clathrin adaptor complex" 0.819305372555827
108 0.58464604144664 3 3 "GO:0030136;GO:0030135" "coated vesicle" 0.92773739004731
206 0.297631066132564 2 3 "GO:0030176;GO:0031227" "integral component of endoplasmic reticulum membrane" 0.819305372555827
-80 0.569079308163812 2 6 "GO:0030286" "dynein complex" 0.92773739004731
203 0.303965078967202 3 3 "GO:0030677;GO:1902555;GO:1905348" "ribonuclease P complex" 0.819305372555827
181 0.454445971044478 3 2 "GO:0030684" "preribosome" 0.891879003006983
36 0.882058881304297 2 2 "GO:0030956" "glutamyl-tRNA(Gln) amidotransferase complex" 0.950577883302539
104 0.599877261868101 5 3 "GO:0031011;GO:0033202;GO:0097346" "Ino80 complex" 0.928842211924801
-210 0.218757175418171 2 4 "GO:0031012" "extracellular matrix" 0.819305372555827
-22 0.838784353419705 3 10 "GO:0031090" "organelle membrane" 0.950577883302539
154 0.52479231664968 2 2 "GO:0031251" "PAN complex" 0.899643971399451
324 0.0339952070605484 3 5 "GO:0031301;GO:0031300" "intrinsic component of organelle membrane" 0.61972165319905
123 0.342237539884008 2 7 "GO:0031410;GO:0097708;GO:0031982" "vesicle" 0.819305372555827
-103 0.340120307660024 5 10 "GO:0031461;GO:0000151" "ubiquitin ligase complex" 0.819305372555827
-163 0.133005594062962 3 10 "GO:0033178" "proton-transporting two-sector ATPase complex, catalytic domain" 0.819305372555827
23 0.906228681472416 4 3 "GO:0033179;GO:0033177" "proton-transporting V-type ATPase, V0 domain" 0.950577883302539
-216 0.157596919209285 4 5 "GO:0033180" "proton-transporting V-type ATPase, V1 domain" 0.819305372555827
-341 0.0258012657812141 2 5 "GO:0034464" "BBSome" 0.61972165319905
38 0.803359411478592 2 5 "GO:0034518" "RNA cap binding complex" 0.948816643867543
-58 0.516013108634506 2 15 "GO:0034703;GO:0034702;GO:1902495;GO:1990351" "transporter complex" 0.899643971399451
-27 0.858686754854006 2 5 "GO:0034708;GO:0048188;GO:0035097" "methyltransferase complex" 0.950577883302539
134 0.432515340821234 8 4 "GO:0035267;GO:0043189;GO:1902562" "H4/H2A histone acetyltransferase complex" 0.890264673260796
-261 0.185311099049927 3 3 "GO:0036064" "ciliary basal body" 0.819305372555827
-257 0.193310034204436 2 3 "GO:0042555" "MCM complex" 0.819305372555827
245 0.215037432509175 5 3 "GO:0042575" "DNA polymerase complex" 0.819305372555827
85 0.432767549501776 3 10 "GO:0042579" "microbody" 0.890264673260796
62 0.0326283382867519 3 157 "GO:0043232;GO:0043228" "non-membrane-bounded organelle" 0.61972165319905
-61 0.757076233715662 2 3 "GO:0043235" "receptor complex" 0.948816643867543
107 0.174058717941542 3 19 "GO:0044391" "ribosomal subunit" 0.819305372555827
-95 0.694167965415785 2 2 "GO:0045202" "synapse" 0.948816643867543
-430 0.0751939917553073 4 2 "GO:0045259;GO:0016469" "proton-transporting ATP synthase complex" 0.676745925797766
-155 0.363748411658082 2 4 "GO:0045261" "proton-transporting ATP synthase complex, catalytic core F(1)" 0.819305372555827
219 0.365083770726319 2 2 "GO:0045277" "respiratory chain complex IV" 0.819305372555827
63 0.461633724731669 2 16 "GO:0045298" "tubulin complex" 0.891879003006983
-77 0.751674945484008 3 2 "GO:0046658;GO:0031225" "anchored component of membrane" 0.948816643867543
-66 0.784962833850173 2 2 "GO:0046695" "SLIK (SAGA-like) complex" 0.948816643867543
168 0.0891020378886179 2 12 "GO:0061695" "transferase complex, transferring phosphorus-containing groups" 0.739429004562745
72 0.717452970794938 2 3 "GO:0070069;GO:0098803" "cytochrome complex" 0.948816643867543
-169 0.390629782585579 7 3 "GO:0070461" "SAGA-type complex" 0.8522831620049
204 0.0599286260415358 3 10 "GO:0070603;GO:1904949" "ATPase complex" 0.61972165319905
318 0.187985183479356 2 2 "GO:0071564" "npBAF complex" 0.819305372555827
-222 0.358529694136911 2 2 "GO:0097546" "ciliary base" 0.819305372555827
102 0.42840480047746 2 7 "GO:0098588" "bounding membrane of organelle" 0.890264673260796
191 0.331876857504734 2 3 "GO:0098687" "chromosomal region" 0.819305372555827
-60 0.190948751494793 2 58 "GO:0098796" "membrane protein complex" 0.819305372555827
-78 0.29758466372016 2 21 "GO:0098797" "plasma membrane protein complex" 0.819305372555827
249 0.015796547468818 2 11 "GO:0098798" "mitochondrial protein complex" 0.61972165319905
380 0.0540701759390259 2 3 "GO:0098800" "inner mitochondrial membrane protein complex" 0.61972165319905
20 0.895979125688046 3 5 "GO:0098805" "whole membrane" 0.950577883302539
-76 0.659014797556419 3 4 "GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.948816643867543
28 0.451830490910679 2 92 "GO:1902494" "catalytic complex" 0.891879003006983
-74 0.761141742683687 2 2 "GO:1990112" "RQC complex" 0.948816643867543
-193 0.206916125860713 3 5 "GO:1990204" "oxidoreductase complex" 0.819305372555827
11 0.830133832657975 3 46 "GO:1990234" "transferase complex" 0.950344541433505
39 0.503255366653606 2 35 "GO:1990904" "ribonucleoprotein complex" 0.897429335202921
