"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-159 0.411718647344847 3 10 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.948517173194082
-112 0.654977137764311 3 6 "GO:0000136;GO:0031501" "alpha-1,6-mannosyltransferase complex" 0.948517173194082
681 0.0536665419206151 2 3 "GO:0000152" "nuclear ubiquitin ligase complex" 0.787109281502355
-312 0.377149677118491 2 3 "GO:0000214" "tRNA-intron endonuclease complex" 0.948517173194082
-270 0.532751031053817 2 2 "GO:0000775" "chromosome, centromeric region" 0.948517173194082
56 0.897227545540955 7 2 "GO:0000794;GO:0000228;GO:0000793" "condensed nuclear chromosome" 0.952674032715483
46 0.915585591055254 2 2 "GO:0000974" "Prp19 complex" 0.952674032715483
-103 0.185940564366883 2 64 "GO:0005576" "extracellular region" 0.948517173194082
-72 0.793802382614028 2 5 "GO:0005581" "collagen trimer" 0.948517173194082
621 0.151039849297297 3 2 "GO:0005604;GO:0062023" "collagen-containing extracellular matrix" 0.948517173194082
-85 0.189723893100549 1 93 "GO:0005622" "intracellular" 0.948517173194082
7 0.83952095545979 3 363 "GO:0005634;GO:0043231;GO:0043227" "membrane-bounded organelle" 0.952674032715483
84 0.811195734034605 2 3 "GO:0005643" "nuclear pore" 0.948517173194082
314 0.00252498425417459 2 35 "GO:0005657" "replication fork" 0.111099307183682
6 0.989370982997737 2 2 "GO:0005663" "DNA replication factor C complex" 0.989370982997737
39 0.928463660300245 3 2 "GO:0005664;GO:0000808" "nuclear origin of replication recognition complex" 0.952674032715483
-350 0.200631749702907 3 5 "GO:0005665" "RNA polymerase II, core complex" 0.948517173194082
-165 0.589436475699294 2 4 "GO:0005666" "RNA polymerase III complex" 0.948517173194082
-147 9.64852980908628e-05 2 305 "GO:0005667" "transcription factor complex" 0.0169814124639919
-340 0.172776256893219 2 6 "GO:0005669;GO:0090575;GO:0044798" "RNA polymerase II transcription factor complex" 0.948517173194082
617 0.153361174043541 2 2 "GO:0005680" "anaphase-promoting complex" 0.948517173194082
91 0.766408944938708 2 4 "GO:0005681" "spliceosomal complex" 0.948517173194082
-86 0.754509844834975 2 5 "GO:0005685" "U1 snRNP" 0.948517173194082
956 0.0269657549517443 5 2 "GO:0005688" "U6 snRNP" 0.4745972871507
48 0.793238519091896 2 11 "GO:0005694" "chromosome" 0.948517173194082
38 0.690999179200122 2 42 "GO:0005730" "nucleolus" 0.948517173194082
-539 0.212806087602263 2 2 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.948517173194082
-5 0.931022350153767 2 99 "GO:0005737" "cytoplasm" 0.952674032715483
-88 0.521961953819843 5 20 "GO:0005739" "mitochondrion" 0.948517173194082
-311 0.472262359471242 3 2 "GO:0005740;GO:0031967;GO:0031975" "organelle envelope" 0.948517173194082
175 0.686425082071706 3 2 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.948517173194082
-444 0.303901623479029 4 2 "GO:0005759;GO:0070013;GO:0043233;GO:0031974" "mitochondrial matrix" 0.948517173194082
-79 0.85522802857476 4 2 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.952674032715483
8 0.980712388328603 5 4 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 0.986316459119052
65 0.881665955211858 7 2 "GO:0005764;GO:0000323;GO:0005773" "lysosome" 0.952674032715483
-372 0.389716940153171 2 2 "GO:0005768" "endosome" 0.948517173194082
60 0.714377484622112 6 14 "GO:0005777;GO:0042579" "microbody" 0.948517173194082
-426 0.227540893321854 2 3 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.948517173194082
-318 0.367013433436364 4 3 "GO:0005779;GO:0031231" "intrinsic component of peroxisomal membrane" 0.948517173194082
114 0.456387524331248 2 16 "GO:0005783" "endoplasmic reticulum" 0.948517173194082
-73 0.867061257232006 3 2 "GO:0005786;GO:0048500" "signal recognition particle, endoplasmic reticulum targeting" 0.952674032715483
348 0.25516173097609 2 4 "GO:0005789" "endoplasmic reticulum membrane" 0.948517173194082
151 0.309901700927682 2 17 "GO:0005794" "Golgi apparatus" 0.948517173194082
249 0.280863015536228 2 7 "GO:0005802;GO:0098791;GO:0031984" "trans-Golgi network" 0.948517173194082
-30 0.90541196174391 2 6 "GO:0005813" "centrosome" 0.952674032715483
250 0.563618603486654 2 2 "GO:0005814" "centriole" 0.948517173194082
-58 0.6858647633094 2 18 "GO:0005815" "microtubule organizing center" 0.948517173194082
