"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-632 0.254885269345314 3 3 "GO:0000030" "mannosyltransferase activity" 0.853806626726081
449 0.350921580250114 2 4 "GO:0000287" "magnesium ion binding" 0.882463094996827
31 0.942074981187511 3 5 "GO:0000987;GO:0000976;GO:1990837;GO:0035326" "sequence-specific double-stranded DNA binding" 0.998312536827024
-75 0.912951791194231 2 2 "GO:0000995;GO:0140223" "RNA polymerase III general transcription initiation factor activity" 0.998312536827024
650 0.130669878551543 3 5 "GO:0002161;GO:0052689;GO:0004822" "carboxylic ester hydrolase activity" 0.672538272816655
-28 0.708453146464383 2 179 "GO:0003676" "nucleic acid binding" 0.984569882206105
40 0.679540429477839 2 101 "GO:0003677" "DNA binding" 0.9708040448531
665 0.0287590883467072 2 10 "GO:0003678" "DNA helicase activity" 0.423865681829055
77 0.764769621830608 2 14 "GO:0003682" "chromatin binding" 0.998312536827024
234 0.550886466574482 3 6 "GO:0003684" "damaged DNA binding" 0.945124393665762
117 0.660641368533065 4 13 "GO:0003690" "double-stranded DNA binding" 0.9708040448531
-15 0.978418735703011 5 3 "GO:0003697" "single-stranded DNA binding" 0.998312536827024
-388 0.000587852842215171 2 74 "GO:0003700" "DNA-binding transcription factor activity" 0.202809230564234
-189 0.253753646844137 3 34 "GO:0003707" "steroid hormone receptor activity" 0.853806626726081
-83 0.666749578436469 2 25 "GO:0003712;GO:0003713" "transcription coregulator activity" 0.9708040448531
462 0.496617878343552 2 2 "GO:0003714" "transcription corepressor activity" 0.945124393665762
-7 0.959449701881866 3 56 "GO:0003723" "RNA binding" 0.998312536827024
543 0.258416397364711 2 4 "GO:0003724" "RNA helicase activity" 0.853806626726081
-575 0.300590925147507 4 3 "GO:0003725" "double-stranded RNA binding" 0.857056770048677
429 0.0661742214552853 2 17 "GO:0003735" "structural constituent of ribosome" 0.63143890574579
-521 0.22552495937486 4 5 "GO:0003743;GO:0008135;GO:0090079;GO:0045182" "translation regulator activity" 0.853806626726081
110 0.646493454982116 3 16 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.9708040448531
819 0.140157934139053 3 3 "GO:0003777;GO:0003774" "microtubule motor activity" 0.679921716376863
168 0.600380156900432 2 9 "GO:0003779" "actin binding" 0.950660906347201
50 0.171209304452407 1 984 "GO:0003824" "catalytic activity" 0.729881778285653
415 0.0282612581331735 2 26 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.423865681829055
-124 0.565746440414993 4 20 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.945124393665762
4 0.996182233469465 4 2 "GO:0003905;GO:0019104;GO:0016799" "alkylbase DNA N-glycosylase activity" 0.998312536827024
-337 0.482916139320258 2 4 "GO:0003906" "DNA-(apurinic or apyrimidinic site) endonuclease activity" 0.945124393665762
41 0.942014437302914 3 3 "GO:0003910;GO:0003909;GO:0016886" "DNA ligase activity" 0.998312536827024
17 0.972793642526778 2 4 "GO:0003917;GO:0003916" "DNA topoisomerase activity" 0.998312536827024
-195 0.464696925822075 2 13 "GO:0003924" "GTPase activity" 0.945124393665762
490 0.0568133334751043 2 14 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.603520302769743
233 0.731846018252526 2 2 "GO:0003951" "NAD+ kinase activity" 0.998312536827024
551 0.160189866051021 3 6 "GO:0004000;GO:0016814;GO:0019239" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines" 0.715102365300695
83 0.903033352366733 3 2 "GO:0004020;GO:0004781;GO:0004779" "sulfate adenylyltransferase (ATP) activity" 0.998312536827024
-298 0.412754456883334 2 7 "GO:0004143" "diacylglycerol kinase activity" 0.897820631927884
170 0.417719523471946 5 21 "GO:0004175" "endopeptidase activity" 0.897820631927884
180 0.517272298269698 5 12 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.945124393665762
491 0.30685664667171 2 4 "GO:0004222" "metalloendopeptidase activity" 0.863957767379382
-173 0.799236976074927 2 2 "GO:0004252" "serine-type endopeptidase activity" 0.998312536827024
628 0.355372936715953 2 2 "GO:0004298;GO:0070003" "threonine-type endopeptidase activity" 0.882463094996827
-20 0.977390015731985 4 2 "GO:0004337;GO:0004659" "geranyltranstransferase activity" 0.998312536827024
1146 0.0917731209450225 2 2 "GO:0004349;GO:0016774;GO:0019202" "glutamate 5-kinase activity" 0.63143890574579
1217 0.0283097543466571 2 3 "GO:0004350" "glutamate-5-semialdehyde dehydrogenase activity" 0.423865681829055
-688 0.311273234037297 2 2 "GO:0004376" "glycolipid mannosyltransferase activity" 0.866042465668286
367 0.0175850840712318 3 39 "GO:0004386;GO:0042623" "ATPase activity, coupled" 0.423865681829055
-228 0.680939585404369 2 3 "GO:0004396;GO:0019200;GO:0005536" "hexokinase activity" 0.9708040448531
-8 0.983035097736045 3 7 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 0.998312536827024
-259 0.445599191193449 2 8 "GO:0004407;GO:0033558;GO:0019213" "histone deacetylase activity" 0.934012934093018
-582 0.392132088186225 3 2 "GO:0004427" "inorganic diphosphatase activity" 0.897820631927884
538 0.113544037838923 2 8 "GO:0004448;GO:0016616" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 0.656665863263565
400 0.404939416407129 3 4 "GO:0004449" "isocitrate dehydrogenase (NAD+) activity" 0.897820631927884
587 0.387667715833202 3 2 "GO:0004450" "isocitrate dehydrogenase (NADP+) activity" 0.897820631927884
-262 0.16571670679131 2 26 "GO:0004497" "monooxygenase activity" 0.72369954231648
202 0.131935325005898 2 52 "GO:0004518" "nuclease activity" 0.672538272816655
338 0.0932037194342015 4 23 "GO:0004519" "endonuclease activity" 0.63143890574579
201 0.579818152139798 2 7 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.950660906347201
-274 0.622057336755143 4 3 "GO:0004526;GO:0004549" "tRNA-specific ribonuclease activity" 0.950660906347201
190 0.554588184227915 4 9 "GO:0004527" "exonuclease activity" 0.945124393665762
-434 0.523564049362458 5 2 "GO:0004534;GO:0008409" "5'-3' exonuclease activity" 0.945124393665762
151 0.753740256557598 7 4 "GO:0004535;GO:0000175" "poly(A)-specific ribonuclease activity" 0.998312536827024
1092 0.0491904123713448 3 3 "GO:0004536" "deoxyribonuclease activity" 0.582079395734445
4 0.979259829716199 2 35 "GO:0004540" "ribonuclease activity" 0.998312536827024
84 0.710602610635711 2 18 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.984569882206105
-21 0.941097686644893 5 12 "GO:0004563;GO:0015929" "beta-N-acetylhexosaminidase activity" 0.998312536827024
-186 0.784488691695636 3 2 "GO:0004634" "phosphopyruvate hydratase activity" 0.998312536827024
-269 0.69288971258938 3 2 "GO:0004641;GO:0016882;GO:0004644" "phosphoribosylformylglycinamidine cyclo-ligase activity" 0.977232354042142
-1282 0.0593474744845934 2 2 "GO:0004643" "phosphoribosylaminoimidazolecarboxamide formyltransferase activity" 0.603520302769743
-171 0.802081591518739 4 2 "GO:0004652" "polynucleotide adenylyltransferase activity" 0.998312536827024
-8 0.957194196197685 2 43 "GO:0004672" "protein kinase activity" 0.998312536827024
0 0.998312536827024 3 22 "GO:0004674" "protein serine/threonine kinase activity" 0.998312536827024
32 0.947484213040143 4 4 "GO:0004709" "MAP kinase kinase kinase activity" 0.998312536827024
32 0.954458752308366 2 3 "GO:0004713" "protein tyrosine kinase activity" 0.998312536827024
-628 0.355756257937602 4 2 "GO:0004714;GO:0019199" "transmembrane receptor protein tyrosine kinase activity" 0.882463094996827
36 0.889049134471358 3 14 "GO:0004721;GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 0.998312536827024
-166 0.673281284448167 2 6 "GO:0004722" "protein serine/threonine phosphatase activity" 0.9708040448531
-309 0.473185499359226 2 5 "GO:0004725" "protein tyrosine phosphatase activity" 0.945124393665762
-836 0.219080139388024 2 2 "GO:0004726" "non-membrane spanning protein tyrosine phosphatase activity" 0.853806626726081
-152 0.823210940624918 3 2 "GO:0004743" "pyruvate kinase activity" 0.998312536827024
-337 0.482916139320258 2 4 "GO:0004749;GO:0016778" "ribose phosphate diphosphokinase activity" 0.945124393665762
185 0.294113066630072 4 30 "GO:0004812;GO:0016875;GO:0016874" "ligase activity" 0.856544370709644
133 0.845045448254197 2 2 "GO:0004813" "alanine-tRNA ligase activity" 0.998312536827024
-339 0.61848722372949 2 2 "GO:0004823" "leucine-tRNA ligase activity" 0.950660906347201
220 0.609376366135497 2 5 "GO:0004826" "phenylalanine-tRNA ligase activity" 0.950660906347201
165 0.808919312047594 2 2 "GO:0004827" "proline-tRNA ligase activity" 0.998312536827024
716 0.291984756710433 2 2 "GO:0004831" "tyrosine-tRNA ligase activity" 0.856544370709644
780 0.250967367424821 2 2 "GO:0004832" "valine-tRNA ligase activity" 0.853806626726081
-482 0.0292278188749423 2 19 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.423865681829055
-985 0.147314625787599 3 2 "GO:0004855;GO:0016727;GO:0016725;GO:0043546" "oxidoreductase activity, acting on CH or CH2 groups" 0.679921716376863
-137 0.750739861947206 2 5 "GO:0004857" "enzyme inhibitor activity" 0.998312536827024
273 0.56981412719559 5 4 "GO:0004861;GO:0030291;GO:0004860;GO:0019210;GO:0017069" "snRNA binding" 0.945124393665762
-639 0.347383457780328 3 2 "GO:0004866;GO:0030414;GO:0061135;GO:0061134" "peptidase inhibitor activity" 0.881230095104508
38 0.890955054071517 2 12 "GO:0004879;GO:0000981;GO:0098531" "DNA-binding transcription factor activity, RNA polymerase II-specific" 0.998312536827024
-104 0.286431069807542 3 100 "GO:0004888" "transmembrane signaling receptor activity" 0.856544370709644
-175 0.193667028352657 2 52 "GO:0004930" "G protein-coupled receptor activity" 0.795418152162698
-621 0.00396743922271067 2 20 "GO:0005044;GO:0038024" "scavenger receptor activity" 0.276469632480569
-220 0.609050245533553 4 5 "GO:0005085;GO:0005088" "guanyl-nucleotide exchange factor activity" 0.950660906347201
-20 0.971227710040963 3 3 "GO:0005089" "Rho guanyl-nucleotide exchange factor activity" 0.998312536827024
322 0.411904770132746 3 6 "GO:0005096;GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 0.897820631927884
-103 0.527463158713989 2 35 "GO:0005102" "signaling receptor binding" 0.945124393665762
-77 0.820331493276955 4 8 "GO:0005164;GO:0032813;GO:0005126" "tumor necrosis factor receptor superfamily binding" 0.998312536827024
327 0.0633765948143073 1 30 "GO:0005198" "structural molecule activity" 0.624712148883886
260 0.393738963994561 2 10 "GO:0005200" "structural constituent of cytoskeleton" 0.897820631927884
-106 0.300542699629579 3 90 "GO:0005230;GO:0015276;GO:0005216;GO:0022834;GO:0015267;GO:0022836;GO:0022803" "passive transmembrane transporter activity" 0.857056770048677
268 0.693976599247318 4 2 "GO:0005248;GO:0005272" "sodium channel activity" 0.977232354042142
94 0.523975389427735 3 43 "GO:0005261" "cation channel activity" 0.945124393665762
75 0.912367962759807 2 2 "GO:0005496" "steroid binding" 0.998312536827024
-571 0.0119139783013797 2 18 "GO:0005506" "iron ion binding" 0.408951149361698
-795 0.098243748319911 3 4 "GO:0005507" "copper ion binding" 0.647458471341355
60 0.582324408762484 2 79 "GO:0005509" "calcium ion binding" 0.950660906347201
-62 0.120224725437731 2 760 "GO:0005515" "protein binding" 0.658373496444717
5 0.99032986414773 3 6 "GO:0005516" "calmodulin binding" 0.998312536827024
-344 0.535800060097254 3 3 "GO:0005518" "collagen binding" 0.945124393665762
