"Module","Genes","meanEigenExpression","meanMethylation","propCpGsCovered","CpG_Treatment_P","CpG_Time_P","CpG_Interaction_P","Exp_CpG_slope","Exp_CpG_R2","Exp_CpG_P","DiffpH_Exp_slope","DiffpH_Exp_R2","DiffpH_Exp_P"
"paleturquoise",205,-0.00197190658859357,0.765767248369054,0.575609756097561,0.208357307611773,0.0220134746234094,0.937953133328165,0.0367110353879177,0.0739792500575056,0.117404198735947,0.463649504899558,0.0187889553516801,0.250250754594354
"mediumpurple2",36,-0.00328136230551548,0.77769582033612,0.638888888888889,0.916101462295941,0.376166009719208,0.379324769071794,-0.012249363477401,-0.0258539314217108,0.50051940942517,1.10258472145487,0.337655332347583,0.00270487503838964
"darkred",253,0.0012667269649707,0.769469754436086,0.569169960474308,0.123400225651601,0.093480764694702,0.653237094797912,-0.0355033322512884,0.0149581954960982,0.2643417918514,0.808151453082464,0.159231565346757,0.0372937967665766
"turquoise",5059,0.00529545865558245,0.777641288938293,0.554062067602293,0.0128118272934807,0.0528502558204706,0.333156377709875,-0.00900504941926657,-0.0476106950631672,0.833040513427868,0.796863713891628,0.150704044182043,0.041883283434765
"plum",47,-0.00173072549122328,0.795547606414264,0.617021276595745,0.0556346308595705,0.119332477047438,0.551117352420162,0.0403448303758483,0.0504040468963421,0.161407862348781,0.281010222250052,-0.0247198333120244,0.49050710114839
"steelblue",206,-0.00262808540209934,0.780602315297281,0.58252427184466,0.0274251685066358,0.441106472474158,0.52042762998299,0.0205299819721123,-0.023856720937536,0.483102141462397,0.110735325522516,-0.0460821629964394,0.787131161636969
"thistle1",102,-0.00140224546622808,0.791405222291504,0.735294117647059,0.824012062730061,0.417799025406207,0.147489554874317,-0.00259688804520105,-0.0496162094466626,0.932701550613176,-0.299394270407839,-0.0212889482354335,0.462084680520481
"antiquewhite4",327,-0.00371218652036042,0.812655928118046,0.262996941896024,0.00642592224551209,0.191780456595279,0.421281815042441,-0.0126196420858026,-0.0468300924194489,0.808117827943434,0.340710520708045,-0.0130404513635689,0.403104455207926
"darkorange",232,-0.00830719468669193,0.805708737206316,0.396551724137931,0.00722547837667756,0.180054145191609,0.686677216732414,0.047952622363177,0.0292329003685516,0.216006503632675,-0.240834405140702,-0.0320528554249273,0.561967978931703
"lightgreen",263,-0.00462658542624635,0.787100929751787,0.509505703422053,0.0276357385914377,0.0363292611864257,0.792959340094924,0.0965466275610158,0.299946582105579,0.00490401703328,-0.699151218088308,0.105026929911381,0.0774676877907759
"coral1",63,-0.00610661422413476,0.823868421556438,0.714285714285714,0.00363074278045166,0.108410403832898,0.218506909741652,0.0442342315611442,0.213976512107338,0.0174381255032664,-0.661929922302009,0.0878305285074457,0.0975128569396597
"darkgrey",447,-0.000506526378546209,0.774231744686438,0.445190156599553,0.0257473036205631,0.0187074307444059,0.766684970689521,0.0172875431539901,-0.0350766894030416,0.597202594660932,-0.112470766776845,-0.0459447524302399,0.783514777354705
"mediumorchid",60,0.006251764412947,0.790074332864596,0.783333333333333,0.0581270615074187,0.801502492715804,0.880409714825513,0.0260172267518727,0.0706406739124277,0.122789372098544,0.143832763674084,-0.0434981779356365,0.727774493070026
"pink",338,0.0055786407582203,0.790309502151076,0.443786982248521,0.0536101416695163,0.0891362636415036,0.614380522988894,0.0858238852223002,0.0920144667036573,0.0922026768417793,-0.308351639979603,-0.0199950044373833,0.452023459307271
"cyan",1248,0.0017442042991815,0.788746406453042,0.380608974358974,0.0350028769262614,0.222738087288929,0.399559654680859,0.0848801348716235,0.096024109536926,0.0873862792711014,-0.886646381174732,0.201667004271652,0.0207429898942203
"darkorange2",273,-0.0054320848191571,0.783882228208027,0.608058608058608,0.0252438560646993,0.14556761366591,0.396509229415794,0.0322782735133099,-0.0127266877572758,0.401078839661737,-0.481103950680935,0.0231036438587543,0.23540635402941
"brown4",125,-0.00322278366585854,0.79011342617245,0.52,0.158529449951792,0.233924292305792,0.954997316652488,0.0864506803707368,0.321661119522231,0.00349294049182118,-0.652733246739503,0.0858868611541989,0.100083498336125
"greenyellow",406,-0.0139920386320516,0.794206359683784,0.389162561576355,0.0249019193921266,0.306647307174946,0.270891095463028,0.0166811401403669,-0.0412089732111094,0.685494780556586,-0.54832800223766,0.036849956671939,0.194338259935348
"skyblue",208,-0.00755939162921134,0.789627755208597,0.519230769230769,0.110116622795339,0.137029510768455,0.774168525788378,0.0715847328415305,0.127071440557492,0.0576376297007827,-0.720278758810902,0.111529882411229,0.0710066156078401
"coral2",60,-0.00235114324548376,0.774595138566649,0.533333333333333,0.0174880182282941,0.150092987268917,0.20851847423675,0.0120370936295896,-0.0359640055500712,0.608394082780082,-0.224874073796044,-0.0338319831824976,0.582189539383448
"darkturquoise",285,-0.00251648872463563,0.764892847221148,0.56140350877193,0.0192624181863578,0.386495159857367,0.192393265997551,-0.0165339246132323,-0.03975438616864,0.661856012893034,0.0205742864049311,-0.0498647148458606,0.960015542643687
"red",521,-0.00676587967465559,0.775236892484323,0.468330134357006,0.115007918469337,0.15735192561154,0.25930937688997,0.0370211027208367,0.00529733915498565,0.304255467465465,-0.723579247243307,0.113979157824719,0.0687137145344931
"violet",193,0.00978747300813734,0.79014131820285,0.352331606217617,0.0121271711182077,0.206460756606114,0.11541548720873,0.0804274786541077,0.121866377186931,0.0618139948712095,-0.679546747229677,0.0908817239503152,0.093610944635643
"lightpink4",83,0.00194179249331082,0.754283345949869,0.662650602409639,0.301209623968741,0.746857423023428,0.0467438835497539,0.038243887668076,0.111507358413131,0.0710280479412354,-0.01050475060736,-0.0499646868421366,0.979565762100559
"salmon",300,-0.000109120609868394,0.775839464388835,0.56,0.0538872415670709,0.427896312384901,0.290741809278361,-0.0339210969147851,-0.0149578469119152,0.41580006351347,0.00370104908140419,-0.0499956082104747,0.992793086761604
"lightcyan1",148,-0.00739287464710955,0.779196578831531,0.675675675675676,0.278262166531548,0.427718562450447,0.441641695127218,-0.00728013637992636,-0.0461532286759336,0.789028064639617,-0.363229213050007,-0.00886833685191668,0.377275687433807
"maroon",86,0.00437370580154277,0.783447089829443,0.755813953488372,0.116972560580217,0.34727138233617,0.580095671252373,-0.0360339775665807,0.0532720373475574,0.155237619245781,0.46471049386013,0.0185701669124353,0.251031678700045
"skyblue3",177,-0.00266037256932506,0.794305305040234,0.576271186440678,0.0597342835363761,0.204189839337263,0.847396893118796,-0.00642586478812287,-0.047365890048555,0.824817869156297,-0.330625148835105,-0.0150772765907432,0.416609438488946
"lightyellow",263,-0.00463638133603779,0.786828645048283,0.501901140684411,0.00757856880979581,0.109564194941256,0.382232717910012,-0.0496219310459769,0.0141368809717081,0.267482270870457,0.48977206530071,0.0260733904335941,0.225771884352352
"bisque4",1310,-0.000972426180536588,0.769338173841458,0.631297709923664,0.017541363573369,0.122692177658257,0.449953513716511,-0.0367055516028854,-0.0107871686296999,0.388864803496955,-0.35233875327849,-0.010216093841406,0.385365823511349
"tan",307,-0.00573794062417573,0.780717258155523,0.60586319218241,0.0887382916600971,0.0930978560218524,0.42796929197393,-0.0161066389004257,-0.0426450096702113,0.711160701262701,-0.138004107002372,-0.0439954234760269,0.738023193747942
"sienna3",186,-0.001767247127819,0.779339649532576,0.602150537634409,0.405093005952575,0.352186365142752,0.585484450873293,0.0180536654031574,-0.0356816719944166,0.604786271091948,0.0207341996985701,-0.0498623798163313,0.959672220870161
"honeydew1",81,0.00244197043943193,0.799059003483038,0.62962962962963,0.139982348467036,0.656615468573312,0.26940928394934,-0.0116870391947922,-0.0425969801296995,0.710258406070812,0.246353819593635,-0.0306000491301797,0.546409661063942
"black",488,0.00645075299584231,0.789423167851075,0.592213114754098,0.0276718719178675,0.120126089413812,0.516566287792795,-0.100488243697289,0.213400137540591,0.0175810850616245,0.402656966328488,0.000888872289392051,0.324887363411674
"lavenderblush3",81,0.00766997141015718,0.765815693029205,0.691358024691358,0.0380922467641335,0.557113905558602,0.202093891638745,-0.0501140311342048,0.135419134895121,0.0515080713243336,0.797326723692702,0.147762088015206,0.0435892796345974
