"cyan.gene_id","cyan.cpg_count","cyan.protein_id","cyan.chr","cyan.method","cyan.feature","cyan.start","cyan.end","cyan.score","cyan.strand","cyan.phase","cyan.CDS_ID","cyan.Parent","cyan.Description","cyan.GO.SLIM","cyan.Enzyme.Codes","cyan.Enzyme.Names","cyan.InterproScan.GO.ID"
"LOC111126157",4,"XP_022326296.1","NC_035782.1","Gnomon","CDS","33377781","33377825",".","-","0","cds15566","rna16952","LOW QUALITY PROTEIN: porphobilinogen deaminase-like","GO:0006464;GO:0009058;GO:0016765;GO:0034641;GO:0051186","EC:2.5.1.61","Hydroxymethylbilane synthase","GO:0004418;GO:0015994;GO:0018160;GO:0033014"
"LOC111124589",157,"XP_022323279.1","NC_035782.1","Gnomon","CDS","33648548","33648655",".","-","0","cds15588","rna16976","eukaryotic translation initiation factor 3 subunit G-like","C:GO:0005840; F:GO:0008135","","","GO:0003743;GO:0005840;GO:0005852;GO:0006446"
"LOC111123434",4569,"XP_022321455.1","NC_035782.1","Gnomon","CDS","34148302","34148478",".","+","0","cds15594","rna16990","LOW QUALITY PROTEIN: dynein heavy chain 8%2C axonemal-like","GO:0005856;GO:0008150;GO:0032991;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003777;GO:0005524;GO:0005874;GO:0007018;GO:0030286"
"LOC111124716",22,"XP_022323550.1","NC_035782.1","Gnomon","CDS","35764885","35764947",".","+","0","cds15671","rna17084","CD63 antigen-like","C:GO:0005575","","","GO:0016021"
"LOC111125295",NA,"XP_022324620.1","NC_035782.1","Gnomon","CDS","35916275","35917081",".","+","0","cds15689","rna17102","LOW QUALITY PROTEIN: carnosine synthase 1-like","GO:0006520;GO:0009058;GO:0016874;GO:0016887;GO:0034641;GO:0043167","EC:3.6.1.3; EC:6.3.2.11; EC:3.6.1.15","Adenosinetriphosphatase; Carnosine synthase; Nucleoside-triphosphate phosphatase","GO:0005524;GO:0006522;GO:0006525;GO:0006531;GO:0006547;GO:0006560;GO:0016887;GO:0019482;GO:0035499;GO:0046872;GO:0047730"
"LOC111126485",NA,"XP_022326878.1","NC_035782.1","Gnomon","CDS","36560904","36561872",".","-","0","cds15761","rna17181","transcription termination factor 4%2C mitochondrial-like","F:GO:0003677; P:GO:0009058; P:GO:0034641","","","GO:0003690;GO:0006355"
"LOC111126312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111123335",NA,"XP_022321305.1","NC_035782.1","Gnomon","CDS","37805658","37805750",".","-","0","cds15912","rna17341","phytanoyl-CoA dioxygenase domain-containing protein 1-like","","","",""
"LOC111126322",30,"XP_022326566.1","NC_035782.1","Gnomon","CDS","37927259","37927340",".","+","0","cds15928","rna17357","nuclear factor NF-kappa-B p100 subunit-like isoform X1","F:GO:0003674","","","GO:0005515"
"LOC111124662",25,"XP_022323450.1","NC_035782.1","Gnomon","CDS","38069973","38070103",".","+","2","cds15946","rna17376","exocyst complex component 1-like isoform X1","C:GO:0005737; P:GO:0016192; C:GO:0032991","","","GO:0000145;GO:0006887"
"LOC111124927",NA,"XP_022323941.1","NC_035782.1","Gnomon","CDS","38673692","38673724",".","+","0","cds16019","rna17450","sodium/potassium-transporting ATPase subunit alpha-like","GO:0005575;GO:0016887;GO:0022857;GO:0043167","EC:3.6.1.3; EC:3.6.3.12; EC:3.6.1.15","Adenosinetriphosphatase; Potassium-transporting ATPase; Nucleoside-triphosphate phosphatase","GO:0005524;GO:0006813;GO:0008556;GO:0016021"
"LOC111126601",NA,"XP_022327062.1","NC_035782.1","Gnomon","CDS","39000416","39001516",".","+","0","cds16085","rna17517","lachesin-like","","","",""
"LOC111127553",22,"XP_022328482.1","NC_035782.1","Gnomon","CDS","39428593","39428621",".","-","0","cds16150","rna17584","LOW QUALITY PROTEIN: TBC1 domain family member 23-like","P:GO:0016192","","","GO:0042147"
"LOC111124796",NA,"XP_022323695.1","NC_035782.1","Gnomon","CDS","39983452","39983493",".","-","0","cds16205","rna17644","uncharacterized protein LOC111124796","","","",""
"LOC111124797",3,"XP_022323696.1","NC_035782.1","Gnomon","CDS","40071888","40072012",".","-","0","cds16217","rna17657","zinc finger matrin-type protein 5-like","C:GO:0005634; F:GO:0043167","","","GO:0003676;GO:0005634;GO:0008270"
