General_ID,Location,CV_GeneCode,CV_Gene_name,OA_sensitivity,Species_List,Mantle_Tissue,Reference
Calbindin,LOC111136252,CB,calbindin-32-like,Yes,Pinctada Fucata,Yes,1
Calcineurin-binding protein,LOC111126382,CNBP,calcineurin-binding protein cabin-1-like,Unknown,P. martensii,Yes,10
Calmodulin,LOC111121912,CM,calmodulin-A-like,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111122108,CM,"calcium/calmodulin-dependent protein kinase type II delta chain-like, transcript variant X4",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111125333,CM,calmodulin-regulated spectrin-associated protein 1-like,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111126455,CM,"calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A-like, transcript variant X13",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111127966,CM,calmodulin-regulated spectrin-associated protein 1-like,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111128214,CM,calmodulin-like protein 12,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129023,CM,"calmodulin-like, transcript variant X3",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129433,CM,,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129434,CM,"calmodulin-like, transcript variant X2",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129435,CM,"calmodulin-like, transcript variant X2",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129443,CM,"calmodulin, transcript variant X1",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129444,CM,"calmodulin, transcript variant X2",Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129445,CM,calmodulin-like,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129447,CM,calmodulin-like,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129448,CM,,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129449,CM,,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129452,CM,calmodulin-like protein 12,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111129799,CM,calmodulin-like protein 12,Yes,Pinctada Fucata,Yes,"1,10,12"
Calmodulin,LOC111130847,CM,"calmodulin-lysine N-methyltransferase-like, transcript variant X3",Unknown,Pinctada Fucata,Yes,1
