"gene_id"	"InterproScan.GO.ID"
"LOC111138521"	"GO:0004731;GO:0006144;GO:0006206;GO:0006769;GO:0009116;GO:0046497"
"LOC111099031"	"unknown"
"LOC111099032"	"GO:0004930;GO:0007186;GO:0016021"
"LOC111099034"	"GO:0005515"
"LOC111099035"	"unknown"
"LOC111099033"	"GO:0016020;GO:0022857;GO:0055085"
"LOC111099036"	"GO:0016021;GO:0055085"
"LOC111099037"	"GO:0003676"
"LOC111099039"	"GO:0016021"
"LOC111099040"	"GO:0005515"
"LOC111099041"	"GO:0016021;GO:0055085"
"LOC111099043"	"GO:0005216;GO:0006811;GO:0016020;GO:0055085"
"LOC111099045"	"unknown"
"LOC111099044"	"GO:0006355;GO:0043565"
"LOC111099047"	"GO:0016020;GO:0022857;GO:0055085"
"LOC111099048"	"GO:0031409"
"LOC111099050"	"GO:0005515"
"LOC111099052"	"GO:0016831;GO:0019752;GO:0030170"
"LOC111099053"	"GO:0003743;GO:0005840;GO:0006446"
"LOC111099049"	"unknown"
"LOC111099054"	"GO:0003824"
"LOC111099055"	"GO:0004672;GO:0005524;GO:0006468;GO:0009190;GO:0016849;GO:0035556"
"LOC111099056"	"GO:0003676;GO:0006396;GO:0008173;GO:0009451"
"LOC111099057"	"GO:0005125;GO:0005576;GO:0007165"
"LOC111099058"	"GO:0004930;GO:0007166;GO:0007186;GO:0016021"
"LOC111099059"	"GO:0004888;GO:0007166;GO:0016021"
"LOC111099060"	"unknown"
"LOC111099061"	"unknown"
"LOC111099062"	"GO:0004672;GO:0005524;GO:0006468"
"LOC111099063"	"GO:0000413;GO:0003755;GO:0004842;GO:0006457;GO:0016567"
"LOC111099066"	"GO:0008168"
"LOC111099064"	"GO:0004521;GO:0005044;GO:0006955;GO:0007165;GO:0030247;GO:0051252"
"LOC111099067"	"GO:0005634;GO:0008649;GO:0031167"
"LOC111099068"	"unknown"
"LOC111099069"	"GO:0005515"
"LOC111099070"	"GO:0016021;GO:0022857;GO:0055085"
"LOC111099046"	"unknown"
"LOC111099072"	"GO:0016021;GO:0022857;GO:0055085"
"LOC111099073"	"GO:0008270"
"LOC111099074"	"unknown"
"LOC111099071"	"unknown"
"LOC111099076"	"unknown"
"LOC111099077"	"GO:0005515"
"LOC111099078"	"GO:0004672;GO:0005524;GO:0006468"
"LOC111099080"	"GO:0003676;GO:0005515"
"LOC111099081"	"GO:0000774;GO:0006457;GO:0042803;GO:0051087"
"LOC111099079"	"GO:0003730;GO:0005634;GO:0006378;GO:0050265"
"LOC111099082"	"unknown"
"LOC111099083"	"GO:0003677;GO:0005634;GO:0006915"
"LOC111099084"	"unknown"
"LOC111099087"	"GO:0005216;GO:0006811;GO:0016020;GO:0055085"
"LOC111099090"	"unknown"
"LOC111099088"	"unknown"
"LOC111099091"	"unknown"
"LOC111099092"	"GO:0005634"
"LOC111099093"	"unknown"
"LOC111099095"	"unknown"
"LOC111099096"	"unknown"
"LOC111099097"	"GO:0003676;GO:0006396;GO:0008173;GO:0009451"
"LOC111099098"	"GO:0005125;GO:0005576;GO:0007165"
"LOC111099099"	"GO:0007187;GO:0008528;GO:0016021"
"LOC111099101"	"GO:0004674;GO:0005524;GO:0006468;GO:0009069"
"LOC111099103"	"GO:0005328;GO:0006812;GO:0006836;GO:0016021"
"LOC111099102"	"unknown"
"LOC111099104"	"GO:0003723;GO:0005739;GO:0010738;GO:0034237"
"LOC111099105"	"GO:0016020;GO:0016757"
"LOC111099106"	"GO:0006308;GO:0045145"
"LOC111099107"	"unknown"
"LOC111099108"	"GO:0016598"
"LOC111099110"	"GO:0004725;GO:0006470;GO:0006570;GO:0008138"
"LOC111099111"	"GO:0031005;GO:0061181;GO:0061572"
"LOC111099112"	"GO:0003676;GO:0005515"
"LOC111099109"	"unknown"
"LOC111099115"	"GO:0016255;GO:0042765"
"LOC111099116"	"GO:0007187;GO:0008528;GO:0016021"
"LOC111099117"	"unknown"
"LOC111099118"	"unknown"
"LOC111099119"	"GO:0005515"
"LOC111099120"	"GO:0019825;GO:0020037"
"LOC111099122"	"unknown"
"LOC111099121"	"unknown"
"LOC111099123"	"GO:0000796;GO:0007076"
"LOC111099124"	"unknown"
"LOC111099125"	"unknown"
"LOC111099126"	"unknown"
"LOC111099127"	"GO:0004518;GO:0006281"
"LOC111099128"	"unknown"
"LOC111099130"	"unknown"
"LOC111099131"	"unknown"
"LOC111099133"	"unknown"
"LOC111099135"	"unknown"
"LOC111099134"	"unknown"
"LOC111099137"	"unknown"
"LOC111099138"	"unknown"
"LOC111099139"	"GO:0005515"
"LOC111099140"	"GO:0003676;GO:0004386;GO:0005524"
"LOC111099141"	"GO:0003676;GO:0015074"
"LOC111099145"	"unknown"
"LOC111099146"	"GO:0003676"
"LOC111099143"	"GO:0006006;GO:0016620;GO:0050661;GO:0051287;GO:0055114"
"LOC111099147"	"unknown"
"LOC111099148"	"GO:0007187;GO:0008528;GO:0016021"
"LOC111099150"	"GO:0003924;GO:0005525"
"LOC111099152"	"GO:0010181;GO:0016491;GO:0055114"
"LOC111099153"	"unknown"
"LOC111099151"	"GO:0004114;GO:0005515;GO:0006144;GO:0007165"
"LOC111099154"	"GO:0004888;GO:0005230;GO:0007165;GO:0016021;GO:0034220"
"LOC111099155"	"GO:0004197;GO:0006508;GO:0042981"
"LOC111099156"	"GO:0004197;GO:0006508"
"LOC111099157"	"GO:0005096;GO:0005515;GO:0051056"
"LOC111099158"	"unknown"
"LOC111099161"	"unknown"
"LOC111099162"	"unknown"
"LOC111099163"	"unknown"
"LOC111099164"	"unknown"
"LOC111099166"	"GO:0005247;GO:0006821;GO:0016020;GO:0055085"
"LOC111099168"	"GO:0009058;GO:0016740;GO:0016788"
"LOC111099165"	"GO:0003774;GO:0005515;GO:0005524;GO:0006355;GO:0016459"
"LOC111099169"	"GO:0003677"
"LOC111099170"	"GO:0005501;GO:0034632"
"LOC111099171"	"GO:0004930;GO:0007186;GO:0016021"
"LOC111099172"	"GO:0004222;GO:0006508;GO:0008270"
"LOC111099173"	"unknown"
"LOC111099175"	"GO:0003824"
"LOC111099176"	"unknown"
"LOC111099174"	"GO:0016891;GO:0042779;GO:0051252"
"LOC111099178"	"unknown"
"LOC111099179"	"unknown"
"LOC111099180"	"GO:0004177;GO:0005737;GO:0006508;GO:0008235;GO:0030145"
"LOC111099181"	"unknown"
"LOC111099182"	"GO:0050188"
"LOC111099183"	"GO:0005515"
"LOC111099184"	"GO:0003677;GO:0006355;GO:0046983"
"LOC111099185"	"GO:0004222;GO:0006508"
"LOC111099186"	"GO:0006355;GO:0043565"
"LOC111099188"	"unknown"
"LOC111099190"	"unknown"
"LOC111099192"	"GO:0005515"
"LOC111099193"	"GO:0005975;GO:0006807;GO:0016810"
"LOC111099191"	"unknown"
