"lavenderblush3.gene_id","lavenderblush3.cpg_count","lavenderblush3.protein_id","lavenderblush3.chr","lavenderblush3.method","lavenderblush3.feature","lavenderblush3.start","lavenderblush3.end","lavenderblush3.score","lavenderblush3.strand","lavenderblush3.phase","lavenderblush3.CDS_ID","lavenderblush3.Parent","lavenderblush3.Description","lavenderblush3.GO.SLIM","lavenderblush3.Enzyme.Codes","lavenderblush3.Enzyme.Names","lavenderblush3.InterproScan.GO.ID"
"LOC111124299",NA,"XP_022322859.1","NC_035782.1","Gnomon","CDS","51567371","51567432",".","+","0","cds17559","rna19069","probable palmitoyltransferase ZDHHC24","","","",""
"LOC111111059",NA,"XP_022303560.1","NC_035780.1","Gnomon","CDS","18429963","18430055",".","-","0","cds1725","rna1903","secretin receptor-like","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007166;GO:0007186;GO:0016021"
"LOC111122888",NA,"XP_022320624.1","NC_035782.1","Gnomon","CDS","70071276","70071393",".","-","0","cds19614","rna21330","dimethylaniline monooxygenase [N-oxide-forming] 5-like","GO:0016491;GO:0043167","EC:1.14.13.8; EC:1.14.13","Flavin-containing monooxygenase; Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)","GO:0004499;GO:0050660;GO:0050661;GO:0055114"
"LOC111130163",NA,"XP_022332621.1","NC_035783.1","Gnomon","CDS","4802668","4803186",".","-","2","cds20741","rna22564","cytochrome P450 2C8-like","GO:0016491;GO:0043167","EC:1.14.14","Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)","GO:0005506;GO:0006118;GO:0016712;GO:0020037;GO:0055114"
"LOC111129061",11,"XP_022330843.1","NC_035783.1","Gnomon","CDS","10133300","10133357",".","+","0","cds21327","rna23180","xanthine dehydrogenase/oxidase-like isoform X1","GO:0016491;GO:0034641;GO:0043167;GO:0044281","EC:1.17.3; EC:1.17.1; EC:1.17.1.4; EC:1.17.3.2","Acting on CH or CH(2) groups; Acting on CH or CH(2) groups; Xanthine dehydrogenase; Xanthine oxidase","GO:0004854;GO:0004855;GO:0005506;GO:0006118;GO:0006144;GO:0009055;GO:0043546;GO:0051537;GO:0055114;GO:0071949"
"LOC111130934",NA,"XP_022333932.1","NC_035783.1","Gnomon","CDS","13233031","13233231",".","-","0","cds21673","rna23540","cdc42 homolog","GO:0003924;GO:0005622;GO:0007165;GO:0043167","EC:3.6.1.15","Nucleoside-triphosphate phosphatase","GO:0003924;GO:0005525;GO:0005622;GO:0007264"
"LOC111128968",NA,"XP_022330659.1","NC_035783.1","Gnomon","CDS","15831577","15831606",".","+","0","cds22030","rna23918","uncharacterized protein LOC111128968","F:GO:0003674","","","GO:0030246"
"LOC111131016",NA,"XP_022334043.1","NC_035783.1","Gnomon","CDS","22992023","22992061",".","-","0","cds22822","rna24756","kynurenine 3-monooxygenase-like isoform X1","GO:0006520;GO:0009056;GO:0009058;GO:0016491;GO:0034641;GO:0043167","EC:1.14.13.9; EC:1.14.13","Kynurenine 3-monooxygenase; Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)","GO:0004502;GO:0006569;GO:0019805;GO:0071949"
"LOC111130930",NA,"XP_022333926.1","NC_035783.1","Gnomon","CDS","30966183","30966458",".","+","0","cds23639","rna25655","vesicular glutamate transporter 3-like","C:GO:0005575; P:GO:0055085","","","GO:0016021;GO:0055085"
"LOC111129607",NA,"XP_022331770.1","NC_035783.1","Gnomon","CDS","31370260","31371132",".","+","0","cds23693","rna25710","uncharacterized protein LOC111129607","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007186;GO:0016021"
