gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
gene0	rna0_gene0	118.00	0.00	0.00	0.00	0.00
gene1	rna1_gene1	2254.00	2032.65	40.00	2.37	1.66
gene10	rna11_gene10	889.00	667.65	0.00	0.00	0.00
gene100	rna162_gene100,rna163_gene100,rna164_gene100,rna165_gene100,rna166_gene100,rna167_gene100	3188.12	2966.78	366.00	14.84	10.42
gene1000	rna1733_gene1000	2331.00	2109.65	14.00	0.80	0.56
gene10000	rna16931_gene10000	1026.00	804.65	10.00	1.50	1.05
gene10001	rna16932_gene10001,rna16933_gene10001,rna16934_gene10001,rna16935_gene10001,rna16936_gene10001,rna16937_gene10001	3281.00	3059.65	15.00	0.59	0.41
gene10002	rna16938_gene10002,rna16939_gene10002	2996.00	2774.65	0.00	0.00	0.00
gene10003	rna16940_gene10003	2253.00	2031.65	304.00	18.00	12.64
gene10004	rna16941_gene10004	768.00	546.66	166.00	36.53	25.65
gene10005	rna16942_gene10005,rna16943_gene10005,rna16944_gene10005,rna16945_gene10005	5737.00	5515.65	253.26	5.52	3.88
gene10006	rna16946_gene10006	1439.00	1217.65	54.15	5.35	3.76
gene10007	rna16947_gene10007	488.00	267.03	162.00	72.99	51.25
gene10008	rna16948_gene10008	647.00	425.69	0.00	0.00	0.00
gene10009	rna16949_gene10009	2845.00	2623.65	52.74	2.42	1.70
gene1001	rna1734_gene1001	3958.00	3736.65	863.00	27.79	19.51
gene10010	rna16950_gene10010	2083.00	1861.65	59.85	3.87	2.72
gene10011	rna16951_gene10011	501.00	279.96	0.00	0.00	0.00
gene10012	rna16952_gene10012	3414.00	3192.65	459.00	17.30	12.14
gene10013	rna16953_gene10013,rna16954_gene10013,rna16955_gene10013	2652.00	2430.65	117.00	5.79	4.07
gene10014	rna16956_gene10014	2999.00	2777.65	7.00	0.30	0.21
gene10015	rna16957_gene10015	1960.00	1738.65	0.00	0.00	0.00
gene10016	rna16958_gene10016	2642.00	2420.65	220.00	10.93	7.68
gene10017	rna16959_gene10017	186.00	7.94	0.00	0.00	0.00
gene10018	rna16960_gene10018,rna16961_gene10018	1733.94	1512.59	215.00	17.10	12.01
gene10019	rna16962_gene10019	1964.00	1742.65	20.00	1.38	0.97
gene1002	rna1735_gene1002,rna1736_gene1002	953.00	731.65	36.00	5.92	4.16
gene10020	rna16963_gene10020	2026.00	1804.65	496.00	33.07	23.22
gene10021	rna16964_gene10021,rna16965_gene10021	1986.00	1764.65	4.00	0.27	0.19
gene10022	rna16966_gene10022	2461.00	2239.65	10.00	0.54	0.38
gene10023	rna16967_gene10023	970.00	748.65	5.00	0.80	0.56
gene10024	rna16968_gene10024	4014.00	3792.65	435.00	13.80	9.69
gene10025	rna16969_gene10025,rna16970_gene10025	2074.00	1852.65	30.00	1.95	1.37
gene10026	rna16971_gene10026,rna16972_gene10026	3493.00	3271.65	146.00	5.37	3.77
gene10027	rna16973_gene10027,rna16974_gene10027,rna16975_gene10027	2303.80	2082.45	492.00	28.43	19.96
gene10028	rna16976_gene10028	1246.00	1024.65	532.00	62.47	43.86
gene10029	rna16977_gene10029	4701.00	4479.65	1712.00	45.98	32.28
gene1003	rna1737_gene1003,rna1738_gene1003	923.00	701.65	1.00	0.17	0.12
gene10030	rna16978_gene10030	789.00	567.66	9.00	1.91	1.34
gene10031	rna16979_gene10031	3059.00	2837.65	4.00	0.17	0.12
gene10032	rna16980_gene10032	1615.00	1393.65	2.00	0.17	0.12
gene10033	rna16981_gene10033,rna16982_gene10033,rna16983_gene10033,rna16984_gene10033,rna16985_gene10033,rna16986_gene10033,rna16987_gene10033	1401.19	1179.84	39.00	3.98	2.79
gene10034	rna16988_gene10034,rna16989_gene10034	1388.20	1166.85	15.00	1.55	1.09
gene10035	rna16990_gene10035	14186.00	13964.65	389.00	3.35	2.35
gene10036	rna16991_gene10036,rna16992_gene10036,rna16993_gene10036	3276.13	3054.78	533.95	21.03	14.76
gene10037	rna16994_gene10037,rna16995_gene10037	2825.50	2604.15	0.00	0.00	0.00
gene10038	rna16996_gene10038	2041.00	1819.65	238.00	15.74	11.05
gene10039	rna16997_gene10039,rna16998_gene10039	1533.00	1311.65	0.00	0.00	0.00
gene1004	rna1739_gene1004	393.00	173.40	0.00	0.00	0.00
gene10040	rna16999_gene10040	1978.00	1756.65	2.00	0.14	0.10
gene10041	rna17000_gene10041	1428.00	1206.65	36.30	3.62	2.54
gene10042	rna17001_gene10042,rna17002_gene10042,rna17003_gene10042	575.51	354.41	2.29	0.78	0.54
gene10043	rna17004_gene10043	2184.00	1962.65	3.00	0.18	0.13
gene10044	rna17005_gene10044	464.00	243.20	0.00	0.00	0.00
gene10045	rna17006_gene10045	263.00	55.45	0.00	0.00	0.00
gene10046	gene10046_gene10046	1289.00	1067.65	23.31	2.63	1.84
gene10047	rna17007_gene10047,rna17008_gene10047	1370.45	1149.10	13.60	1.42	1.00
gene10048	rna17009_gene10048,rna17010_gene10048,rna17011_gene10048,rna17012_gene10048,rna17013_gene10048,rna17014_gene10048,rna17015_gene10048,rna17016_gene10048	3350.52	3129.17	356.00	13.69	9.61
gene10049	rna17017_gene10049	229.00	30.74	0.00	0.00	0.00
gene1005	rna1740_gene1005,rna1741_gene1005	450.00	229.34	2.00	1.05	0.74
gene10050	rna17018_gene10050	741.00	519.67	2.57	0.59	0.42
