"turquoise.gene_id","turquoise.cpg_count","turquoise.protein_id","turquoise.chr","turquoise.method","turquoise.feature","turquoise.start","turquoise.end","turquoise.score","turquoise.strand","turquoise.phase","turquoise.CDS_ID","turquoise.Parent","turquoise.Description","turquoise.GO.SLIM","turquoise.Enzyme.Codes","turquoise.Enzyme.Names","turquoise.InterproScan.GO.ID"
"LOC111128971",138,"XP_022330663.1","NC_035780.1","Gnomon","CDS","1958375","1959139",".","-","2","cds156","rna164","double-stranded RNA-specific editase 1-like isoform X1","GO:0003723;GO:0016810;GO:0034641;GO:0044281","EC:3.5.4.4","Adenosine deaminase","GO:0003723;GO:0004000;GO:0006144;GO:0006396"
"LOC111125122",37,"XP_022324312.1","NC_035782.1","Gnomon","CDS","33214964","33215121",".","-","0","cds15560","rna16945","GRAM domain-containing protein 1B-like isoform X1","","","",""
"LOC111125859",NA,"XP_022325763.1","NC_035782.1","Gnomon","CDS","33388661","33388706",".","-","0","cds15569","rna16955","cell wall protein DAN4-like","","","",""
"LOC111123545",NA,"XP_022321644.1","NC_035782.1","Gnomon","CDS","33442065","33443042",".","-","0","cds15575","rna16962","5-hydroxytryptamine receptor 4-like","F:GO:0003674; C:GO:0005575; P:GO:0007165","","","GO:0004930;GO:0007186;GO:0016021"
"LOC111123447",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111123438",86,"XP_022321463.1","NC_035782.1","Gnomon","CDS","34323937","34324072",".","-","0","cds15602","rna17000","uncharacterized protein LOC111123438","F:GO:0043167","","","GO:0008270"
"LOC111123439",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111114472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOC111123835",NA,"XP_022322169.1","NC_035782.1","Gnomon","CDS","35230253","35230328",".","+","0","cds15629","rna17040","sodium bicarbonate cotransporter 3-like isoform X1","C:GO:0005575; F:GO:0022857","","","GO:0005452;GO:0006821;GO:0015701;GO:0016021"
"LOC111122613",NA,"XP_022320132.1","NC_035782.1","Gnomon","CDS","35267498","35268508",".","-","0","cds15631","rna17042","uncharacterized protein LOC111122613","","","",""
"LOC111126460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
